#{"t_start": 1770199491.6164343, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,533,8.561311
1.0,636,9.790014
1.0,699,10.929994
6.0,1454,13.211063
7.0,1646,15.831986
0.0,516,16.611919
2.0,800,17.881519
0.0,531,18.680489
0.0,523,19.483783
0.0,524,20.189271
0.0,524,20.967549
0.0,515,21.730906
5.0,1422,24.046436
0.0,535,24.818382
5.0,1502,27.240229
0.0,503,27.937707
9.0,1632,32.32584
0.0,531,33.11899
5.0,1406,35.436559
5.0,1388,37.730742
1.0,700,38.802975
0.0,521,39.600289
3.0,1105,41.356268
3.0,996,42.903389
5.0,1410,45.173764
0.0,536,45.971696
6.0,1522,48.431032
2.0,808,49.696472
13.0,1864,54.204186
0.0,508,54.987618
1.0,688,56.035292
0.0,510,56.819207
5.0,1414,59.033782
1.0,653,60.089221
3.0,1072,61.8117
1.0,684,62.877752
2.0,800,64.106162
5.0,1410,66.410975
2.0,908,67.745233
0.0,531,68.538378
0.0,515,69.280756
5.0,1406,71.538471
2.0,822,72.777095
0.0,523,73.584929
0.0,532,74.381441
0.0,524,76.386972
0.0,516,77.148246
8.0,1507,79.604911
4.0,1200,81.512636
0.0,539,82.298994
3.0,945,83.717392
0.0,527,84.473337
9.0,1640,87.09502
0.0,524,87.876302
2.0,827,89.179524
4.0,1069,90.815559
4.0,1078,92.516423
0.0,516,93.277199
9.0,1640,95.875391
1.0,719,96.927028
2.0,820,100.054279
4.0,1201,102.026514
3.0,939,103.406506
2.0,832,104.696804
3.0,931,106.066583
2.0,809,107.339332
5.0,1339,109.425753
1.0,635,110.351811
7.0,1738,113.190714
1.0,651,114.12972
0.0,512,114.907852
0.0,520,115.697021
3.0,851,116.964311
7.0,1463,119.282553
13.0,2195,124.809714
10.0,1734,127.561295
7.0,1639,130.185159
3.0,1033,131.793778
4.0,1190,133.666945
13.0,1828,136.666773
6.0,1530,139.118021
10.0,1455,141.393803
10.0,1764,145.988222
8.0,1119,147.735474
3.0,951,149.140545
15.0,2458,153.070762
11.0,1796,155.843024
2.0,847,157.150084
10.0,1820,160.026541
2.0,843,161.344745
3.0,930,162.808527
3.0,880,164.114299
8.0,1794,169.401644
7.0,1505,171.770851
3.0,1108,173.492699
7.0,1004,175.034604
5.0,1247,176.931665
1.0,639,177.922742
4.0,1222,179.78022
2.0,820,180.959713
4.0,1292,183.02209
13.0,2202,186.490905
4.0,1060,188.090983
9.0,2087,193.871213
11.0,2095,197.143181
7.0,1003,198.598945
3.0,871,199.921064
4.0,1251,201.809145
4.0,1211,203.648158
9.0,2002,206.838885
12.0,2006,210.00595
8.0,1786,215.726066
17.0,1473,218.017461
6.0,1415,220.189426
6.0,1413,222.295227
6.0,1312,224.341405
3.0,1010,225.864216
8.0,1852,228.69886
9.0,1919,231.724283
5.0,1327,233.762652
6.0,1452,238.677663
3.0,1040,240.231935
12.0,2010,243.385482
2.0,755,244.498839
11.0,2320,248.116415
22.0,2083,251.372032
10.0,2192,254.860058
12.0,1933,260.733
15.0,2126,264.027411
15.0,1823,266.900232
5.0,1420,269.013309
7.0,1753,271.70391
15.0,2268,275.281718
10.0,1814,278.0584
13.0,2204,284.847025
18.0,2500,288.745186
12.0,2036,291.914713
18.0,2542,295.913721
