#{"t_start": 1771514584.7685657, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,0.628487
-500.0,500,0.767446
-500.0,500,0.906674
-500.0,500,1.045245
-500.0,500,1.762682
-500.0,500,1.903034
-500.0,500,2.044066
-500.0,500,2.184673
-500.0,500,2.909348
-500.0,500,3.050714
-500.0,500,3.193541
-500.0,500,3.335582
-500.0,500,4.042964
-500.0,500,4.184195
-500.0,500,4.325261
-500.0,500,4.466257
-500.0,500,5.180016
-500.0,500,5.321965
-500.0,500,5.463377
-500.0,500,5.60439
-500.0,500,6.304954
-500.0,500,6.446844
-500.0,500,6.588557
-500.0,500,6.730318
-500.0,500,7.437896
-500.0,500,7.581036
-500.0,500,7.72437
-500.0,500,7.867011
-500.0,500,8.566477
-500.0,500,8.709782
-500.0,500,8.852373
-500.0,500,8.994227
-500.0,500,9.687485
-446.0,447,9.816363
-500.0,500,9.958922
-500.0,500,10.1024
-500.0,500,10.797739
-500.0,500,10.941022
-500.0,500,11.083796
-500.0,500,11.227136
-500.0,500,11.370313
-372.0,373,12.025382
-425.0,426,12.147718
-500.0,500,12.291759
-318.0,319,12.382795
-386.0,387,12.493772
-427.0,428,13.165591
-404.0,405,13.281282
-267.0,268,13.357975
-391.0,392,13.469904
-398.0,399,13.583866
-241.0,242,14.201489
-255.0,256,14.274457
-260.0,261,14.34831
-235.0,236,14.415111
-275.0,276,14.49341
-255.0,256,14.565656
-230.0,231,14.631053
-256.0,257,14.704024
-244.0,245,14.77361
-248.0,249,15.394998
-203.0,204,15.453618
-232.0,233,15.520375
-200.0,201,15.577747
-173.0,174,15.627559
-251.0,252,15.699614
-208.0,209,15.759546
-155.0,156,15.804088
-190.0,191,15.858629
-189.0,190,15.912988
-218.0,219,16.531683
-155.0,156,16.576497
-200.0,201,16.634341
-138.0,139,16.674033
-238.0,239,16.742676
-224.0,225,16.807272
-173.0,174,16.857114
-181.0,182,16.909188
-189.0,190,16.963517
-118.0,119,16.997549
-153.0,154,17.041634
-197.0,198,17.697273
-147.0,148,17.739695
-117.0,118,17.773306
-219.0,220,17.836071
-316.0,317,17.926496
-130.0,131,17.96408
-178.0,179,18.015155
-152.0,153,18.058846
-160.0,161,18.104615
-159.0,160,18.150413
-187.0,188,18.204041
-119.0,120,18.238293
-127.0,128,18.835339
-207.0,208,18.894985
-143.0,144,18.936576
-111.0,112,18.968823
-126.0,127,19.00534
-185.0,186,19.058667
-161.0,162,19.10533
-156.0,157,19.150712
-122.0,123,19.186315
-132.0,133,19.224533
-102.0,103,19.254098
-148.0,149,19.296894
-109.0,110,19.328399
-113.0,114,19.361206
-137.0,138,19.977393
-160.0,161,20.023809
-151.0,152,20.067643
-180.0,181,20.119707
-96.0,97,20.147641
-149.0,150,20.192158
-97.0,98,20.220701
-142.0,143,20.261885
-146.0,147,20.304068
-142.0,143,20.345193
-125.0,126,20.381465
-113.0,114,20.414183
-153.0,154,20.458434
-109.0,110,20.490057
-173.0,174,20.540049
-133.0,134,21.138396
-128.0,129,21.175635
-119.0,120,21.210109
-147.0,148,21.252785
-94.0,95,21.279792
-115.0,116,21.312922
-126.0,127,21.349333
-114.0,115,21.382226
-137.0,138,21.421641
-160.0,161,21.467708
-138.0,139,21.50748
-121.0,122,21.542301
-102.0,103,21.571722
-86.0,87,21.596685
-116.0,117,21.6302
-165.0,166,21.677533
-100.0,101,22.264272
-89.0,90,22.290662
-102.0,103,22.320233
-130.0,131,22.357818
-82.0,83,22.381625
-125.0,126,22.417631
-89.0,90,22.443274
-102.0,103,22.472794
-90.0,91,22.498863
-95.0,96,22.526337
-107.0,108,22.557372
-124.0,125,22.593313
-108.0,109,22.624504
-216.0,217,22.686685
-112.0,113,22.719119
-106.0,107,22.750091
-115.0,116,22.783434
-115.0,116,22.816653
-116.0,117,22.850303
-126.0,127,23.450439
-133.0,134,23.488706
-117.0,118,23.522137
-94.0,95,23.549195
-78.0,79,23.571674
-97.0,98,23.599493
-104.0,105,23.629502
-97.0,98,23.657483
-219.0,220,23.720034
-140.0,141,23.759826
-95.0,96,23.787007
-132.0,133,23.826053
-131.0,132,23.86362
-90.0,91,23.889559
-88.0,89,23.914854
-313.0,314,24.562523
-95.0,96,24.590282
-93.0,94,24.617337
-248.0,249,24.688965
-67.0,68,24.708518
-109.0,110,24.740306
-115.0,116,24.773854
-141.0,142,24.814586
-76.0,77,24.836679
-75.0,76,24.858513
-73.0,74,24.879938
-104.0,105,24.91015
-105.0,106,24.940508
-98.0,99,24.968829
-96.0,97,24.996682
-96.0,97,25.024559
-97.0,98,25.052619
-91.0,92,25.078896
-193.0,194,25.134604
-161.0,162,25.751517
-86.0,87,25.776538
-102.0,103,25.806496
-64.0,65,25.825181
-115.0,116,25.858436
-80.0,81,25.881699
-81.0,82,25.905238
-169.0,170,25.953931
-98.0,99,25.982351
-108.0,109,26.013534
-91.0,92,26.040045
-69.0,70,26.060845
-107.0,108,26.091893
-94.0,95,26.119406
-101.0,102,26.148701
-138.0,139,26.188499
-167.0,168,26.236601
-96.0,97,26.264415
-97.0,98,26.29253
-88.0,89,26.89608
-100.0,101,26.925371
-90.0,91,26.951805
-107.0,108,26.983064
-101.0,102,27.01251
-108.0,109,27.043824
-94.0,95,27.071306
-92.0,93,27.09826
-85.0,86,27.12308
-85.0,86,27.14811
-77.0,78,27.170683
-100.0,101,27.199888
-90.0,91,27.226256
-83.0,84,27.250633
-86.0,87,27.275763
-86.0,87,27.300915
-79.0,80,27.324034
-96.0,97,27.352062
-85.0,86,27.377024
-80.0,81,27.400438
-76.0,77,27.422786
-115.0,116,27.456507
-85.0,86,28.050285
-74.0,75,28.072162
-88.0,89,28.097806
-86.0,87,28.122991
-142.0,143,28.164325
-84.0,85,28.189131
-91.0,92,28.21578
-101.0,102,28.245328
-93.0,94,28.272713
-72.0,73,28.2938
-93.0,94,28.32091
-92.0,93,28.347692
-73.0,74,28.369145
-85.0,86,28.393913
-72.0,73,28.414949
-78.0,79,28.437846
-124.0,125,28.474115
-73.0,74,28.49563
-86.0,87,28.520742
-75.0,76,28.542677
-82.0,83,28.566691
-85.0,86,28.591665
-114.0,115,28.624912
