#{"t_start": 1771929440.821107, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,0.625281
-500.0,500,0.778315
-500.0,500,0.930991
-500.0,500,1.08194
-500.0,500,1.998936
-500.0,500,2.148537
-500.0,500,2.298001
-500.0,500,2.447374
-500.0,500,3.265289
-500.0,500,3.41657
-500.0,500,3.567359
-500.0,500,3.71893
-500.0,500,4.770314
-500.0,500,4.91955
-500.0,500,5.069981
-500.0,500,5.221009
-500.0,500,6.055816
-500.0,500,6.21025
-500.0,500,6.363449
-500.0,500,6.51668
-500.0,500,7.447142
-500.0,500,7.600179
-500.0,500,7.753664
-500.0,500,7.907768
-500.0,500,8.827787
-500.0,500,8.980572
-500.0,500,9.132725
-500.0,500,9.284431
-500.0,500,10.134217
-500.0,500,10.284882
-500.0,500,10.43522
-500.0,500,10.586666
-500.0,500,11.383588
-446.0,447,11.517935
-500.0,500,11.667803
-500.0,500,11.816977
-500.0,500,12.684352
-500.0,500,12.837915
-500.0,500,12.985608
-378.0,379,13.097677
-500.0,500,13.246238
-413.0,414,14.015341
-418.0,419,14.14121
-397.0,398,14.262888
-500.0,500,14.416007
-334.0,335,14.517366
-298.0,299,15.467699
-314.0,315,15.566473
-331.0,332,15.666873
-303.0,304,15.759683
-223.0,224,15.827307
-500.0,500,15.97832
-314.0,315,20.977453
-289.0,290,21.066362
-285.0,286,21.154557
-237.0,238,21.227161
-244.0,245,21.301909
-200.0,201,21.363158
-237.0,238,21.436517
-213.0,214,21.504288
-285.0,286,24.054158
-204.0,205,24.116297
-238.0,239,24.187408
-208.0,209,24.249839
-192.0,193,24.308695
-191.0,192,24.3661
-193.0,194,24.424118
-251.0,252,24.500149
-174.0,175,24.55329
-214.0,215,24.6184
-206.0,207,25.328775
-182.0,183,25.384873
-109.0,110,25.41817
-130.0,131,25.458093
-214.0,215,25.523651
-184.0,185,25.580382
-157.0,158,25.628476
-172.0,173,25.68207
-153.0,154,25.729816
-195.0,196,25.78981
-159.0,160,25.838809
-158.0,159,25.887791
-155.0,156,26.590602
-176.0,177,26.647406
-134.0,135,26.687421
-180.0,181,26.741026
-155.0,156,26.787174
-114.0,115,26.820961
-157.0,158,26.868128
-162.0,163,26.91709
-148.0,149,26.961676
-141.0,142,27.004448
-144.0,145,27.048009
-125.0,126,27.08583
-163.0,164,27.135523
-156.0,157,27.182752
-153.0,154,27.9115
-146.0,147,27.955577
-117.0,118,27.990879
-156.0,157,28.038731
-139.0,140,28.080315
-145.0,146,28.123842
-125.0,126,28.16085
-163.0,164,28.209415
-105.0,106,28.240368
-161.0,162,28.288311
-121.0,122,28.324335
-140.0,141,28.36656
-137.0,138,28.408131
-129.0,130,28.447391
-155.0,156,28.494409
-115.0,116,29.32441
-96.0,97,29.352955
-100.0,101,29.382428
-148.0,149,29.426902
-155.0,156,29.473376
-116.0,117,29.508545
-139.0,140,29.550672
-96.0,97,29.579556
-153.0,154,29.626091
-141.0,142,29.668803
-128.0,129,29.707438
-103.0,104,29.738473
-133.0,134,29.778829
-131.0,132,29.81845
-130.0,131,29.857823
-205.0,206,30.705446
-135.0,136,30.747291
-132.0,133,30.787044
-114.0,115,30.821208
-122.0,123,30.857752
-106.0,107,30.889017
-107.0,108,30.920918
-119.0,120,30.956436
-119.0,120,30.991741
-131.0,132,31.030719
-138.0,139,31.071685
-138.0,139,31.112732
-133.0,134,31.152313
-143.0,144,31.194731
-110.0,111,31.227355
-128.0,129,31.26536
-120.0,121,33.087804
-86.0,87,33.123144
-102.0,103,33.154357
-122.0,123,33.192226
-100.0,101,33.222386
-122.0,123,33.259624
-103.0,104,33.290544
-117.0,118,33.326401
-97.0,98,33.355659
-99.0,100,33.385325
-135.0,136,33.426561
-94.0,95,33.455069
-101.0,102,33.485439
-141.0,142,33.529068
-103.0,104,33.560324
-179.0,180,33.615134
-118.0,119,33.651037
-129.0,130,33.690203
-115.0,116,34.417516
-95.0,96,34.446979
-76.0,77,34.470652
-112.0,113,34.504646
-152.0,153,34.550549
-89.0,90,34.577229
-137.0,138,34.618015
-113.0,114,34.65165
-117.0,118,34.686566
-104.0,105,34.717593
-113.0,114,34.753052
-163.0,164,34.804013
-189.0,190,34.862861
-181.0,182,34.918678
-155.0,156,34.966638
-93.0,94,34.995177
-132.0,133,35.698249
-159.0,160,35.746763
-76.0,77,35.769272
-98.0,99,35.797956
-104.0,105,35.828438
-83.0,84,35.852825
-107.0,108,35.8855
-80.0,81,35.909119
-98.0,99,35.937922
-182.0,183,35.992237
-89.0,90,36.019073
-94.0,95,36.047116
-117.0,118,36.08237
-110.0,111,36.115676
-104.0,105,36.147089
-101.0,102,36.17786
-79.0,80,36.201507
-85.0,86,36.227034
-86.0,87,36.252595
-130.0,131,36.2922
-74.0,75,37.062398
-90.0,91,37.089716
-79.0,80,37.113593
-94.0,95,37.141892
-78.0,79,37.165631
-93.0,94,37.194588
-161.0,162,37.243631
-123.0,124,37.280899
-98.0,99,37.310467
-215.0,216,37.375837
-95.0,96,37.404555
-132.0,133,37.444772
-99.0,100,37.47479
-95.0,96,37.503367
-95.0,96,37.531764
-102.0,103,37.562435
-88.0,89,37.590048
-86.0,87,37.61584
-107.0,108,37.648686
-100.0,101,38.488019
-107.0,108,38.521567
-116.0,117,38.55763
-77.0,78,38.581446
-108.0,109,38.614963
-100.0,101,38.64585
-85.0,86,38.672027
-132.0,133,38.713635
-79.0,80,38.738075
-81.0,82,38.762811
-70.0,71,38.784506
-80.0,81,38.809217
-123.0,124,38.847814
-108.0,109,38.880966
-98.0,99,38.910953
-96.0,97,38.939841
-253.0,254,39.017546
-86.0,87,39.043818
-85.0,86,39.069776
-95.0,96,39.777201
-73.0,74,39.80116
-98.0,99,39.831469
-87.0,88,39.858218
-112.0,113,39.89364
-103.0,104,39.925283
-116.0,117,39.961301
-143.0,144,40.005015
-103.0,104,40.036201
-235.0,236,40.108238
-100.0,101,40.138344
-74.0,75,40.160681
-105.0,106,40.192315
-100.0,101,40.222427
-72.0,73,40.245065
-100.0,101,40.274915
-104.0,105,40.305817
-99.0,100,40.335467
-161.0,162,40.384953
