#{"t_start": 1771515927.9081361, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,0.742321
-500.0,500,0.887425
-500.0,500,1.032424
-500.0,500,1.17785
-500.0,500,1.901393
-500.0,500,2.048835
-500.0,500,2.196466
-500.0,500,2.344071
-500.0,500,3.059475
-500.0,500,3.208123
-500.0,500,3.356005
-500.0,500,3.505504
-500.0,500,4.226298
-500.0,500,4.375321
-500.0,500,4.524924
-500.0,500,4.674378
-500.0,500,5.418435
-500.0,500,5.56703
-500.0,500,5.715536
-500.0,500,5.864489
-500.0,500,6.636662
-500.0,500,6.786508
-500.0,500,6.935645
-500.0,500,7.085492
-500.0,500,7.806019
-500.0,500,7.953275
-500.0,500,8.100261
-500.0,500,8.248055
-500.0,500,8.97987
-500.0,500,9.130162
-500.0,500,9.279706
-500.0,500,9.429711
-500.0,500,10.162703
-446.0,447,10.297297
-500.0,500,10.447109
-500.0,500,10.597558
-500.0,500,11.314312
-500.0,500,11.463825
-500.0,500,11.613477
-500.0,500,11.763452
-500.0,500,11.913432
-372.0,373,12.620023
-425.0,426,12.745966
-500.0,500,12.893155
-318.0,319,12.989283
-386.0,387,13.105139
-427.0,428,13.806573
-404.0,405,13.928407
-267.0,268,14.009205
-391.0,392,14.127446
-398.0,399,14.247863
-241.0,242,14.898058
-255.0,256,14.975198
-260.0,261,15.053564
-235.0,236,15.124553
-275.0,276,15.207847
-255.0,256,15.284803
-230.0,231,15.354526
-256.0,257,15.431674
-244.0,245,15.505595
-248.0,249,16.14322
-203.0,204,16.204773
-232.0,233,16.274386
-200.0,201,16.334271
-173.0,174,16.386784
-251.0,252,16.462937
-208.0,209,16.525933
-155.0,156,16.573099
-190.0,191,16.630557
-189.0,190,16.687295
-218.0,219,17.344887
-155.0,156,17.392124
-200.0,201,17.452847
-138.0,139,17.494773
-238.0,239,17.566554
-224.0,225,17.634362
-173.0,174,17.686853
-181.0,182,17.74166
-189.0,190,17.798725
-118.0,119,17.834613
-153.0,154,17.881066
-197.0,198,18.536587
-147.0,148,18.581044
-117.0,118,18.616359
-219.0,220,18.6826
-316.0,317,18.777464
-130.0,131,18.816839
-178.0,179,18.870592
-152.0,153,18.91657
-160.0,161,18.964703
-159.0,160,19.012832
-187.0,188,19.069271
-119.0,120,19.105149
-127.0,128,19.705549
-207.0,208,19.768464
-143.0,144,19.811664
-111.0,112,19.84573
-126.0,127,19.884305
-185.0,186,19.940251
-161.0,162,19.989192
-156.0,157,20.036383
-122.0,123,20.073416
-132.0,133,20.113251
-102.0,103,20.144576
-148.0,149,20.189951
-109.0,110,20.223134
-113.0,114,20.257581
-137.0,138,20.887017
-160.0,161,20.935727
-151.0,152,20.981364
-180.0,181,21.03564
-96.0,97,21.064857
-149.0,150,21.109955
-97.0,98,21.139298
-142.0,143,21.182104
-146.0,147,21.226103
-142.0,143,21.268949
-125.0,126,21.306825
-113.0,114,21.341218
-153.0,154,21.38736
-109.0,110,21.420493
-173.0,174,21.472673
-133.0,134,22.116101
-128.0,129,22.157008
-119.0,120,22.193504
-147.0,148,22.238309
-94.0,95,22.266908
-115.0,116,22.301848
-126.0,127,22.340168
-114.0,115,22.374571
-137.0,138,22.415858
-160.0,161,22.464647
-138.0,139,22.506749
-121.0,122,22.54363
-102.0,103,22.574713
-86.0,87,22.601008
-116.0,117,22.636304
-165.0,166,22.686114
-100.0,101,23.293941
-89.0,90,23.32123
-102.0,103,23.352246
-130.0,131,23.391901
-82.0,83,23.416875
-125.0,126,23.454897
-89.0,90,23.482064
-102.0,103,23.51298
-90.0,91,23.5403
-95.0,96,23.569206
-107.0,108,23.601711
-124.0,125,23.639281
-108.0,109,23.672016
-216.0,217,23.737061
-112.0,113,23.771077
-106.0,107,23.8033
-115.0,116,23.838149
-115.0,116,23.873004
-116.0,117,23.908209
-126.0,127,24.528418
-133.0,134,24.56886
-117.0,118,24.604426
-94.0,95,24.632974
-78.0,79,24.656881
-97.0,98,24.686691
-104.0,105,24.718268
-97.0,98,24.747809
-219.0,220,24.814199
-140.0,141,24.856424
-95.0,96,24.885428
-132.0,133,24.925257
-131.0,132,24.96495
-90.0,91,24.992575
-88.0,89,25.019398
-313.0,314,25.701892
-95.0,96,25.7312
-93.0,94,25.759654
-248.0,249,25.835058
-67.0,68,25.855608
-109.0,110,25.888973
-115.0,116,25.924222
-141.0,142,25.967147
-76.0,77,25.990511
-75.0,76,26.013551
-73.0,74,26.036137
-104.0,105,26.067948
-105.0,106,26.100098
-98.0,99,26.130198
-96.0,97,26.159571
-96.0,97,26.189084
-97.0,98,26.21888
-91.0,92,26.246859
-193.0,194,26.305585
-161.0,162,26.912075
-86.0,87,26.938507
-102.0,103,26.9696
-64.0,65,26.989187
-115.0,116,27.02423
-80.0,81,27.048672
-81.0,82,27.073523
-169.0,170,27.124716
-98.0,99,27.154379
-108.0,109,27.187404
-91.0,92,27.215001
-69.0,70,27.2362
-107.0,108,27.268821
-94.0,95,27.297579
-101.0,102,27.328423
-138.0,139,27.37026
-167.0,168,27.420905
-96.0,97,27.450434
-97.0,98,27.480196
-88.0,89,28.079883
-100.0,101,28.110485
-90.0,91,28.137912
-107.0,108,28.17031
-101.0,102,28.200938
-108.0,109,28.233779
-94.0,95,28.262326
-92.0,93,28.290329
-85.0,86,28.316189
-85.0,86,28.341962
-77.0,78,28.365411
-100.0,101,28.395633
-90.0,91,28.423065
-83.0,84,28.44839
-86.0,87,28.474767
-86.0,87,28.500968
-79.0,80,28.525314
-96.0,97,28.554686
-85.0,86,28.580828
-80.0,81,28.605184
-76.0,77,28.628307
-115.0,116,28.663144
-85.0,86,29.395294
-74.0,75,29.418643
-88.0,89,29.446263
-86.0,87,29.473489
-142.0,143,29.518072
-84.0,85,29.544449
-91.0,92,29.572783
-101.0,102,29.60406
-93.0,94,29.632622
-72.0,73,29.654902
-93.0,94,29.683567
-92.0,93,29.712255
-73.0,74,29.734631
-85.0,86,29.76053
-72.0,73,29.782734
-78.0,79,29.806952
-124.0,125,29.845142
-73.0,74,29.867659
-86.0,87,29.894125
-75.0,76,29.917213
-82.0,83,29.942255
-85.0,86,29.968562
-114.0,115,30.003429
