#{"t_start": 1771573872.6899853, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,0.708107
-500.0,500,0.85228
-500.0,500,0.996154
-500.0,500,1.139908
-500.0,500,1.753957
-500.0,500,1.899654
-500.0,500,2.044989
-500.0,500,2.190255
-500.0,500,2.787443
-500.0,500,2.933087
-500.0,500,3.077682
-500.0,500,3.221799
-500.0,500,3.817278
-500.0,500,3.963085
-500.0,500,4.107794
-500.0,500,4.254368
-500.0,500,4.851378
-500.0,500,4.99702
-500.0,500,5.1418
-500.0,500,5.287634
-500.0,500,5.883853
-500.0,500,6.030078
-500.0,500,6.175554
-500.0,500,6.321265
-500.0,500,6.917899
-500.0,500,7.064168
-500.0,500,7.210222
-500.0,500,7.355559
-500.0,500,7.954566
-500.0,500,8.102471
-500.0,500,8.250192
-500.0,500,8.396535
-500.0,500,8.993448
-446.0,447,9.124258
-500.0,500,9.270159
-500.0,500,9.417514
-500.0,500,10.021549
-500.0,500,10.167493
-500.0,500,10.314569
-500.0,500,10.460615
-500.0,500,10.605643
-372.0,373,11.178509
-500.0,500,11.323164
-317.0,318,11.415592
-314.0,315,11.5066
-410.0,411,11.625443
-347.0,348,12.206372
-500.0,500,12.352468
-258.0,259,12.427987
-346.0,347,12.52868
-254.0,255,12.603205
-253.0,254,12.676837
-389.0,390,13.249972
-249.0,250,13.323688
-320.0,321,13.417691
-208.0,209,13.478592
-304.0,305,13.567269
-210.0,211,13.62875
-262.0,263,13.705412
-157.0,158,13.751807
-254.0,255,14.800483
-177.0,178,14.85369
-262.0,263,14.928659
-269.0,270,15.006142
-500.0,500,15.148407
-166.0,167,15.196395
-189.0,190,15.250658
-191.0,192,15.306431
-171.0,172,15.356002
-200.0,201,16.499946
-161.0,162,16.546706
-157.0,158,16.592029
-217.0,218,16.655246
-324.0,325,16.749831
-147.0,148,16.792981
-209.0,210,16.85402
-116.0,117,16.888176
-172.0,173,16.938797
-112.0,113,16.971961
-140.0,141,17.013058
-194.0,195,18.158825
-177.0,178,18.210381
-141.0,142,18.251155
-176.0,177,18.302185
-175.0,176,18.352792
-124.0,125,18.388657
-179.0,180,18.440061
-149.0,150,18.482944
-155.0,156,18.527828
-126.0,127,18.564121
-343.0,344,18.663562
-273.0,274,19.204393
-119.0,120,19.24
-190.0,191,19.295747
-154.0,155,19.341071
-139.0,140,19.381849
-126.0,127,19.418851
-161.0,162,19.46624
-94.0,95,19.494081
-160.0,161,19.54104
-136.0,137,19.581027
-157.0,158,19.626961
-156.0,157,19.672807
-115.0,116,19.706679
-303.0,304,20.259921
-118.0,119,20.295073
-99.0,100,20.324448
-127.0,128,20.362623
-138.0,139,20.405416
-149.0,150,20.449649
-102.0,103,20.479396
-238.0,239,20.553102
-148.0,149,20.600889
-95.0,96,20.628893
-152.0,153,20.673909
-133.0,134,20.713014
-113.0,114,20.747467
-132.0,133,20.786514
-204.0,205,20.846165
-90.0,91,21.331656
-99.0,100,21.364445
-131.0,132,21.405771
-114.0,115,21.43896
-143.0,144,21.480631
-118.0,119,21.514858
-288.0,289,21.597993
-192.0,193,21.653749
-218.0,219,21.716597
-165.0,166,21.764353
-130.0,131,21.802661
-114.0,115,21.836112
-121.0,122,21.871847
-119.0,120,21.907202
-118.0,119,22.398698
-115.0,116,22.432703
-85.0,86,22.457851
-216.0,217,22.521002
-116.0,117,22.555119
-126.0,127,22.592099
-103.0,104,22.622661
-146.0,147,22.665485
-137.0,138,22.705619
-106.0,107,22.73675
-455.0,456,22.868652
-114.0,115,22.902127
-100.0,101,22.93153
-123.0,124,22.967542
-92.0,93,23.450061
-96.0,97,23.478749
-118.0,119,23.513566
-146.0,147,23.556376
-97.0,98,23.58512
-104.0,105,23.615704
-101.0,102,23.64524
-96.0,97,23.673556
-98.0,99,23.702486
-117.0,118,23.736953
-92.0,93,23.764047
-99.0,100,23.793177
-85.0,86,23.818195
-112.0,113,23.851033
-134.0,135,23.890271
-134.0,135,23.929576
-209.0,210,23.990754
-100.0,101,24.020165
-108.0,109,24.52645
-103.0,104,24.556948
-103.0,104,24.58722
-92.0,93,24.61416
-144.0,145,24.656102
-80.0,81,24.679431
-90.0,91,24.705759
-92.0,93,24.732651
-83.0,84,24.757011
-84.0,85,24.781653
-101.0,102,24.811064
-91.0,92,24.83758
-89.0,90,24.863631
-69.0,70,24.883952
-111.0,112,24.916461
-133.0,134,24.955351
-78.0,79,24.978304
-68.0,69,24.998564
-72.0,73,25.019815
-82.0,83,25.044026
-102.0,103,25.074128
-68.0,69,25.094115
-91.0,92,25.578022
-72.0,73,25.59943
-92.0,93,25.626637
-79.0,80,25.65008
-118.0,119,25.684686
-79.0,80,25.708021
-88.0,89,25.733886
-80.0,81,25.757615
-112.0,113,25.790636
-117.0,118,25.824853
-111.0,112,25.857336
-93.0,94,25.884659
-189.0,190,25.939566
-89.0,90,25.965482
-94.0,95,25.992932
-86.0,87,26.018126
-111.0,112,26.050515
-103.0,104,26.080499
-92.0,93,26.107417
-87.0,88,26.132967
-128.0,129,26.625134
-90.0,91,26.651978
-116.0,117,26.686332
-88.0,89,26.712564
-95.0,96,26.74069
-74.0,75,26.762583
-108.0,109,26.794436
-500.0,500,26.93984
-76.0,77,26.962643
-76.0,77,26.98508
-77.0,78,27.007896
-155.0,156,27.053125
-77.0,78,27.075754
-88.0,89,27.101457
-86.0,87,27.126796
-76.0,77,27.149275
-85.0,86,27.174313
-112.0,113,27.66412
-89.0,90,27.690494
-81.0,82,27.714355
-103.0,104,27.744804
-121.0,122,27.78038
-84.0,85,27.804941
-79.0,80,27.828306
-218.0,219,27.891467
-82.0,83,27.915548
-99.0,100,27.94456
-99.0,100,27.97348
-133.0,134,28.012226
-63.0,64,28.030842
-94.0,95,28.058464
-68.0,69,28.078495
-107.0,108,28.109587
-85.0,86,28.134301
-71.0,72,28.155365
-96.0,97,28.183361
-90.0,91,28.209731
-84.0,85,28.234325
