#{"t_start": 1771577634.5562546, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,0.677025
-500.0,500,0.830778
-500.0,500,0.980814
-500.0,500,1.131079
-500.0,500,2.422041
-500.0,500,2.57579
-500.0,500,2.727595
-500.0,500,2.879586
-500.0,500,3.521914
-500.0,500,3.674243
-500.0,500,3.827576
-500.0,500,3.979174
-500.0,500,4.619067
-500.0,500,4.771378
-500.0,500,4.924436
-500.0,500,5.077016
-500.0,500,5.720762
-500.0,500,5.875021
-500.0,500,6.029933
-500.0,500,6.180266
-500.0,500,6.824135
-500.0,500,6.977584
-500.0,500,7.131261
-500.0,500,7.287554
-500.0,500,8.546512
-500.0,500,8.700831
-500.0,500,8.854556
-500.0,500,9.008439
-500.0,500,9.647282
-500.0,500,9.800239
-500.0,500,9.95313
-500.0,500,10.109078
-500.0,500,11.322909
-446.0,447,11.460751
-500.0,500,11.614218
-500.0,500,11.768049
-500.0,500,12.406159
-500.0,500,12.562824
-500.0,500,12.716046
-378.0,379,12.832179
-500.0,500,12.985008
-413.0,414,13.601859
-416.0,417,13.729753
-496.0,497,13.881695
-411.0,412,14.007586
-379.0,380,14.124566
-249.0,250,14.689108
-500.0,500,14.843055
-375.0,376,14.958774
-409.0,410,15.084611
-283.0,284,15.171617
-306.0,307,15.265779
-326.0,327,15.851446
-216.0,217,15.918276
-258.0,259,15.997487
-354.0,355,16.10657
-210.0,211,16.171317
-500.0,500,16.323933
-268.0,269,16.893257
-205.0,206,16.956859
-337.0,338,17.060509
-283.0,284,17.147042
-208.0,209,17.210925
-206.0,207,17.274321
-213.0,214,17.339818
-223.0,224,17.408291
-358.0,359,18.003093
-246.0,247,18.079633
-242.0,243,18.154724
-198.0,199,18.216662
-156.0,157,18.265055
-500.0,500,18.418648
-163.0,164,18.46954
-154.0,155,18.518099
-155.0,156,18.567412
-188.0,189,19.114771
-177.0,178,19.169711
-155.0,156,19.217585
-374.0,375,19.331975
-152.0,153,19.379111
-142.0,143,19.422651
-163.0,164,19.47296
-149.0,150,19.518985
-171.0,172,19.571686
-134.0,135,19.61274
-118.0,119,19.649415
-174.0,175,19.703037
-137.0,138,20.235101
-145.0,146,20.280214
-150.0,151,20.327873
-201.0,202,20.390428
-139.0,140,20.433331
-120.0,121,20.470318
-170.0,171,20.522613
-144.0,145,20.572596
-170.0,171,20.624031
-161.0,162,20.673971
-142.0,143,20.718204
-157.0,158,20.767282
-141.0,142,20.810905
-129.0,130,20.850765
-104.0,105,21.847389
-122.0,123,21.884654
-82.0,83,21.910005
-125.0,126,21.948171
-141.0,142,21.991239
-112.0,113,22.025445
-139.0,140,22.067634
-159.0,160,22.117309
-151.0,152,22.164215
-108.0,109,22.19782
-134.0,135,22.239459
-149.0,150,22.285581
-124.0,125,22.324301
-176.0,177,22.379299
-171.0,172,22.432921
-135.0,136,22.963045
-84.0,85,22.989806
-110.0,111,23.024024
-133.0,134,23.065946
-111.0,112,23.101878
-119.0,120,23.140153
-107.0,108,23.174338
-134.0,135,23.216223
-103.0,104,23.248259
-105.0,106,23.280839
-119.0,120,23.317904
-130.0,131,23.358401
-104.0,105,23.390783
-111.0,112,23.425318
-116.0,117,23.461236
-129.0,130,23.501276
-93.0,94,23.530329
-122.0,123,23.568226
-109.0,110,24.092656
-97.0,98,24.12313
-114.0,115,24.158734
-113.0,114,24.193779
-119.0,120,24.230695
-116.0,117,24.266946
-126.0,127,24.306189
-105.0,106,24.338974
-106.0,107,24.372151
-105.0,106,24.404768
-148.0,149,24.450592
-126.0,127,24.489884
-107.0,108,24.523182
-93.0,94,24.552794
-126.0,127,24.591968
-100.0,101,24.622994
-113.0,114,24.658485
-184.0,185,25.203728
-77.0,78,25.228221
-107.0,108,25.261544
-121.0,122,25.29931
-138.0,139,25.342423
-94.0,95,25.371842
-109.0,110,25.405722
-94.0,95,25.434938
-93.0,94,25.463974
-115.0,116,25.499649
-124.0,125,25.538166
-134.0,135,25.579946
-111.0,112,25.614366
-110.0,111,25.648879
-107.0,108,25.682358
-253.0,254,25.761122
-126.0,127,25.800312
-86.0,87,26.312749
-117.0,118,26.349316
-97.0,98,26.3797
-99.0,100,26.410551
-125.0,126,26.449432
-76.0,77,26.473118
-182.0,183,26.529481
-223.0,224,26.599848
-200.0,201,26.662505
-93.0,94,26.691705
-95.0,96,26.721471
-123.0,124,26.760246
-102.0,103,26.792017
-130.0,131,26.83239
-83.0,84,26.858205
-103.0,104,26.890379
-118.0,119,26.926883
-257.0,258,27.566225
-91.0,92,27.594588
-118.0,119,27.631637
-128.0,129,27.671457
-98.0,99,27.701865
-100.0,101,27.732992
-93.0,94,27.762539
-93.0,94,27.791456
-197.0,198,27.852421
-111.0,112,27.886618
-85.0,86,27.913225
-79.0,80,27.937778
-125.0,126,27.976454
-93.0,94,28.00529
-94.0,95,28.03441
-113.0,114,28.069579
-97.0,98,28.101224
-111.0,112,28.625031
-122.0,123,28.663931
-92.0,93,28.692953
-79.0,80,28.71831
-84.0,85,28.744716
-205.0,206,28.809119
-109.0,110,28.84306
-79.0,80,28.868195
-151.0,152,28.915101
-91.0,92,28.943601
-120.0,121,28.982805
-212.0,213,29.048697
-81.0,82,29.074006
-73.0,74,29.097263
-88.0,89,29.125025
-65.0,66,29.145436
-79.0,80,29.170355
-98.0,99,29.201059
-94.0,95,29.230489
-79.0,80,29.255175
-379.0,380,29.862187
-80.0,81,29.887167
-79.0,80,29.911744
-78.0,79,29.936105
-88.0,89,29.963667
-79.0,80,29.988432
-80.0,81,30.0133
-79.0,80,30.037777
-72.0,73,30.060196
-102.0,103,30.091807
-79.0,80,30.117286
-189.0,190,30.175732
-79.0,80,30.200661
-106.0,107,30.233531
-101.0,102,30.264896
-90.0,91,30.292953
-85.0,86,30.319352
-65.0,66,30.339888
-94.0,95,30.369739
