#{"t_start": 1771593621.1132262, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,0.532301
-500.0,500,0.67999
-500.0,500,0.825314
-500.0,500,0.969272
-500.0,500,1.594529
-500.0,500,1.74012
-500.0,500,1.885126
-500.0,500,2.029155
-500.0,500,2.641814
-500.0,500,2.787041
-500.0,500,2.934247
-500.0,500,3.080048
-500.0,500,3.689013
-500.0,500,3.834599
-500.0,500,3.980167
-500.0,500,4.126223
-500.0,500,4.733846
-500.0,500,4.879588
-500.0,500,5.025187
-500.0,500,5.170327
-500.0,500,5.779936
-500.0,500,5.925836
-500.0,500,6.070826
-500.0,500,6.217145
-500.0,500,6.840619
-500.0,500,6.990258
-500.0,500,7.135352
-500.0,500,7.280555
-500.0,500,7.93081
-500.0,500,8.087301
-500.0,500,8.237864
-500.0,500,8.385849
-500.0,500,9.009341
-446.0,447,9.140392
-500.0,500,9.287279
-500.0,500,9.436229
-500.0,500,10.069708
-500.0,500,10.218084
-500.0,500,10.366119
-378.0,379,10.47799
-500.0,500,10.62589
-413.0,414,11.239339
-416.0,417,11.36358
-496.0,497,11.509488
-411.0,412,11.631
-379.0,380,11.742514
-249.0,250,12.290221
-500.0,500,12.437118
-375.0,376,12.546488
-409.0,410,12.667077
-283.0,284,12.750315
-306.0,307,12.840336
-326.0,327,13.419562
-216.0,217,13.492952
-258.0,259,13.570847
-354.0,355,13.672846
-210.0,211,13.733156
-500.0,500,13.876624
-268.0,269,15.041157
-205.0,206,15.103422
-337.0,338,15.205261
-283.0,284,15.290353
-208.0,209,15.352963
-206.0,207,15.415
-213.0,214,15.479322
-223.0,224,15.546152
-358.0,359,16.667765
-246.0,247,16.745383
-242.0,243,16.81714
-198.0,199,16.875552
-156.0,157,16.921754
-500.0,500,17.068297
-163.0,164,17.116815
-154.0,155,17.162531
-155.0,156,17.208689
-188.0,189,18.375309
-177.0,178,18.430264
-155.0,156,18.476474
-374.0,375,18.587547
-152.0,153,18.633087
-142.0,143,18.675827
-163.0,164,18.724859
-149.0,150,18.769158
-171.0,172,18.820488
-134.0,135,18.860587
-118.0,119,18.896249
-174.0,175,18.948383
-137.0,138,19.474063
-145.0,146,19.518559
-150.0,151,19.564263
-201.0,202,19.625067
-139.0,140,19.667217
-120.0,121,19.703747
-170.0,171,19.755215
-144.0,145,19.79918
-170.0,171,19.850514
-161.0,162,19.900971
-142.0,143,19.945266
-157.0,158,19.992991
-141.0,142,20.035701
-129.0,130,20.074684
-104.0,105,20.586856
-122.0,123,20.623928
-82.0,83,20.649335
-125.0,126,20.68708
-141.0,142,20.729445
-112.0,113,20.763767
-139.0,140,20.805049
-159.0,160,20.851974
-151.0,152,20.897296
-108.0,109,20.930241
-134.0,135,20.970036
-149.0,150,21.01462
-124.0,125,21.051147
-176.0,177,21.10294
-171.0,172,21.153935
-135.0,136,21.661419
-84.0,85,21.686493
-110.0,111,21.718828
-133.0,134,21.757946
-111.0,112,21.791059
-119.0,120,21.826347
-107.0,108,21.857867
-134.0,135,21.898066
-103.0,104,21.928869
-105.0,106,21.960046
-119.0,120,21.996221
-130.0,131,22.035288
-104.0,105,22.066123
-111.0,112,22.098931
-116.0,117,22.133615
