r,l
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-446.0,447
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-378.0,379
-500.0,500
-413.0,414
-418.0,419
-397.0,398
-500.0,500
-334.0,335
-298.0,299
-314.0,315
-331.0,332
-303.0,304
-223.0,224
-500.0,500
-314.0,315
-216.0,217
-500.0,500
-318.0,319
-185.0,186
-234.0,235
-257.0,258
-272.0,273
-273.0,274
-241.0,242
-145.0,146
-246.0,247
-140.0,141
-223.0,224
-255.0,256
-171.0,172
-214.0,215
-193.0,194
-167.0,168
-159.0,160
-198.0,199
-171.0,172
-158.0,159
-171.0,172
-181.0,182
-500.0,500
-158.0,159
-145.0,146
-171.0,172
-160.0,161
-175.0,176
-186.0,187
-119.0,120
-149.0,150
-175.0,176
-194.0,195
-171.0,172
-143.0,144
-152.0,153
-181.0,182
-115.0,116
-136.0,137
-100.0,101
-101.0,102
-137.0,138
-139.0,140
-156.0,157
-153.0,154
-119.0,120
-168.0,169
-132.0,133
-149.0,150
-172.0,173
-122.0,123
-140.0,141
-146.0,147
-133.0,134
-131.0,132
-279.0,280
-161.0,162
-88.0,89
-123.0,124
-155.0,156
-141.0,142
-96.0,97
-135.0,136
-125.0,126
-120.0,121
-136.0,137
-165.0,166
-136.0,137
-101.0,102
-101.0,102
-116.0,117
-106.0,107
-96.0,97
-123.0,124
-102.0,103
-137.0,138
-151.0,152
-113.0,114
-128.0,129
-135.0,136
-132.0,133
-137.0,138
-114.0,115
-85.0,86
-114.0,115
-96.0,97
-116.0,117
-102.0,103
-107.0,108
-115.0,116
-114.0,115
-161.0,162
-109.0,110
-147.0,148
-108.0,109
-105.0,106
-125.0,126
-136.0,137
-95.0,96
-137.0,138
-104.0,105
-84.0,85
-104.0,105
-86.0,87
-108.0,109
-191.0,192
-128.0,129
-109.0,110
-105.0,106
-101.0,102
-96.0,97
-107.0,108
-115.0,116
-91.0,92
-135.0,136
-90.0,91
-132.0,133
-118.0,119
-107.0,108
-77.0,78
-84.0,85
-108.0,109
-113.0,114
-120.0,121
-105.0,106
-122.0,123
-106.0,107
-94.0,95
-71.0,72
-109.0,110
-96.0,97
-121.0,122
-84.0,85
-109.0,110
-138.0,139
-101.0,102
-90.0,91
-104.0,105
-111.0,112
-84.0,85
-82.0,83
-69.0,70
-107.0,108
-99.0,100
-84.0,85
-112.0,113
-84.0,85
-85.0,86
-100.0,101
-143.0,144
-94.0,95
-85.0,86
-84.0,85
-95.0,96
-95.0,96
-101.0,102
-93.0,94
-92.0,93
-91.0,92
-86.0,87
-97.0,98
-110.0,111
-94.0,95
-78.0,79
-103.0,104
-88.0,89
-111.0,112
-83.0,84
-100.0,101
-97.0,98
-94.0,95
-94.0,95
-99.0,100
-79.0,80
-94.0,95
-94.0,95
-98.0,99
-108.0,109
-87.0,88
-77.0,78
-77.0,78
-104.0,105
-96.0,97
-88.0,89
-72.0,73
-86.0,87
-78.0,79
-94.0,95
-92.0,93
-192.0,193
-75.0,76
-95.0,96
-86.0,87
-170.0,171
-83.0,84
-127.0,128
-81.0,82
-102.0,103
-86.0,87
-86.0,87
-114.0,115
