r,l
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-446.0,447
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-378.0,379
-500.0,500
-413.0,414
-418.0,419
-397.0,398
-500.0,500
-334.0,335
-298.0,299
-314.0,315
-331.0,332
-303.0,304
-223.0,224
-500.0,500
-314.0,315
-361.0,362
-342.0,343
-343.0,344
-200.0,201
-338.0,339
-174.0,175
-323.0,324
-238.0,239
-234.0,235
-198.0,199
-350.0,351
-338.0,339
-196.0,197
-156.0,157
-214.0,215
-244.0,245
-168.0,169
-154.0,155
-172.0,173
-234.0,235
-186.0,187
-188.0,189
-220.0,221
-231.0,232
-180.0,181
-212.0,213
-149.0,150
-174.0,175
-165.0,166
-127.0,128
-188.0,189
-155.0,156
-120.0,121
-142.0,143
-166.0,167
-143.0,144
-132.0,133
-147.0,148
-146.0,147
-120.0,121
-125.0,126
-125.0,126
-102.0,103
-124.0,125
-146.0,147
-145.0,146
-121.0,122
-105.0,106
-130.0,131
-105.0,106
-148.0,149
-118.0,119
-159.0,160
-142.0,143
-128.0,129
-111.0,112
-136.0,137
-132.0,133
-108.0,109
-90.0,91
-153.0,154
-79.0,80
-136.0,137
-122.0,123
-97.0,98
-118.0,119
-103.0,104
-109.0,110
-150.0,151
-269.0,270
-87.0,88
-110.0,111
-151.0,152
-149.0,150
-121.0,122
-124.0,125
-102.0,103
-304.0,305
-116.0,117
-117.0,118
-127.0,128
-115.0,116
-89.0,90
-117.0,118
-150.0,151
-135.0,136
-112.0,113
-81.0,82
-105.0,106
-117.0,118
-110.0,111
-88.0,89
-104.0,105
-120.0,121
-154.0,155
-103.0,104
-136.0,137
-127.0,128
-82.0,83
-101.0,102
-131.0,132
-106.0,107
-164.0,165
-94.0,95
-110.0,111
-70.0,71
-95.0,96
-110.0,111
-92.0,93
-124.0,125
-89.0,90
-89.0,90
-154.0,155
-177.0,178
-90.0,91
-86.0,87
-123.0,124
-99.0,100
-98.0,99
-99.0,100
-105.0,106
-101.0,102
-91.0,92
-83.0,84
-95.0,96
-101.0,102
-84.0,85
-91.0,92
-98.0,99
-98.0,99
-85.0,86
-86.0,87
-147.0,148
-78.0,79
-95.0,96
-70.0,71
-111.0,112
-96.0,97
-98.0,99
-93.0,94
-95.0,96
-116.0,117
-206.0,207
-85.0,86
-96.0,97
-93.0,94
-101.0,102
-95.0,96
-108.0,109
-73.0,74
-98.0,99
-90.0,91
-64.0,65
-82.0,83
-115.0,116
-94.0,95
-73.0,74
-101.0,102
-94.0,95
-77.0,78
-93.0,94
-97.0,98
-101.0,102
-106.0,107
-89.0,90
-71.0,72
-200.0,201
-81.0,82
-76.0,77
-98.0,99
-74.0,75
-89.0,90
-127.0,128
-91.0,92
-69.0,70
-274.0,275
-83.0,84
-93.0,94
-80.0,81
-80.0,81
-103.0,104
-124.0,125
-221.0,222
-90.0,91
-95.0,96
-107.0,108
-86.0,87
-107.0,108
-85.0,86
-84.0,85
-131.0,132
-286.0,287
-106.0,107
-70.0,71
-104.0,105
-77.0,78
-105.0,106
-82.0,83
-82.0,83
-97.0,98
-81.0,82
