r,l
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-446.0,447
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-378.0,379
-500.0,500
-413.0,414
-416.0,417
-496.0,497
-411.0,412
-379.0,380
-249.0,250
-500.0,500
-375.0,376
-409.0,410
-283.0,284
-306.0,307
-326.0,327
-216.0,217
-258.0,259
-354.0,355
-210.0,211
-500.0,500
-268.0,269
-209.0,210
-283.0,284
-148.0,149
-243.0,244
-252.0,253
-311.0,312
-236.0,237
-159.0,160
-149.0,150
-195.0,196
-243.0,244
-210.0,211
-236.0,237
-246.0,247
-161.0,162
-194.0,195
-224.0,225
-167.0,168
-172.0,173
-152.0,153
-118.0,119
-229.0,230
-168.0,169
-149.0,150
-158.0,159
-141.0,142
-327.0,328
-202.0,203
-155.0,156
-367.0,368
-111.0,112
-137.0,138
-131.0,132
-150.0,151
-129.0,130
-117.0,118
-119.0,120
-142.0,143
-143.0,144
-166.0,167
-138.0,139
-147.0,148
-121.0,122
-144.0,145
-132.0,133
-189.0,190
-135.0,136
-139.0,140
-114.0,115
-129.0,130
-98.0,99
-131.0,132
-106.0,107
-150.0,151
-114.0,115
-125.0,126
-201.0,202
-258.0,259
-106.0,107
-96.0,97
-173.0,174
-112.0,113
-130.0,131
-108.0,109
-130.0,131
-135.0,136
-122.0,123
-115.0,116
-100.0,101
-145.0,146
-138.0,139
-115.0,116
-104.0,105
-95.0,96
-115.0,116
-107.0,108
-119.0,120
-115.0,116
-104.0,105
-100.0,101
-114.0,115
-108.0,109
-96.0,97
-128.0,129
-117.0,118
-131.0,132
-95.0,96
-118.0,119
-121.0,122
-136.0,137
-129.0,130
-105.0,106
-80.0,81
-89.0,90
-92.0,93
-111.0,112
-89.0,90
-183.0,184
-113.0,114
-120.0,121
-132.0,133
-119.0,120
-104.0,105
-94.0,95
-102.0,103
-88.0,89
-80.0,81
-87.0,88
-126.0,127
-108.0,109
-232.0,233
-161.0,162
-113.0,114
-85.0,86
-102.0,103
-107.0,108
-140.0,141
-80.0,81
-92.0,93
-173.0,174
-191.0,192
-134.0,135
-86.0,87
-92.0,93
-106.0,107
-80.0,81
-187.0,188
-87.0,88
-109.0,110
-94.0,95
-108.0,109
-107.0,108
-100.0,101
-106.0,107
-136.0,137
-87.0,88
-95.0,96
-73.0,74
-128.0,129
-136.0,137
-78.0,79
-93.0,94
-119.0,120
-107.0,108
-86.0,87
-84.0,85
-99.0,100
-94.0,95
-88.0,89
-110.0,111
-101.0,102
-95.0,96
-103.0,104
-75.0,76
-72.0,73
-98.0,99
-103.0,104
-90.0,91
-102.0,103
-83.0,84
-96.0,97
-79.0,80
-96.0,97
-79.0,80
-73.0,74
-95.0,96
-333.0,334
-73.0,74
-110.0,111
-78.0,79
-82.0,83
-78.0,79
-85.0,86
-97.0,98
-100.0,101
-110.0,111
-94.0,95
-118.0,119
-80.0,81
-178.0,179
-97.0,98
-87.0,88
-115.0,116
-100.0,101
-86.0,87
-89.0,90
-76.0,77
-80.0,81
