r,l
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-446.0,447
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-391.0,392
-500.0,500
-500.0,500
-318.0,319
-393.0,394
-500.0,500
-292.0,293
-381.0,382
-361.0,362
-187.0,188
-500.0,500
-335.0,336
-350.0,351
-304.0,305
-299.0,300
-393.0,394
-247.0,248
-213.0,214
-335.0,336
-286.0,287
-254.0,255
-271.0,272
-286.0,287
-289.0,290
-268.0,269
-297.0,298
-190.0,191
-187.0,188
-245.0,246
-215.0,216
-226.0,227
-232.0,233
-185.0,186
-137.0,138
-184.0,185
-171.0,172
-177.0,178
-153.0,154
-272.0,273
-164.0,165
-139.0,140
-228.0,229
-148.0,149
-151.0,152
-142.0,143
-127.0,128
-147.0,148
-151.0,152
-193.0,194
-169.0,170
-107.0,108
-325.0,326
-175.0,176
-120.0,121
-171.0,172
-163.0,164
-132.0,133
-165.0,166
-142.0,143
-124.0,125
-143.0,144
-109.0,110
-324.0,325
-169.0,170
-142.0,143
-176.0,177
-141.0,142
-109.0,110
-184.0,185
-102.0,103
-135.0,136
-140.0,141
-169.0,170
-157.0,158
-121.0,122
-106.0,107
-176.0,177
-184.0,185
-163.0,164
-128.0,129
-106.0,107
-146.0,147
-130.0,131
-500.0,500
-106.0,107
-119.0,120
-156.0,157
-98.0,99
-96.0,97
-147.0,148
-106.0,107
-149.0,150
-114.0,115
-162.0,163
-119.0,120
-137.0,138
-118.0,119
-142.0,143
-110.0,111
-107.0,108
-114.0,115
-140.0,141
-101.0,102
-100.0,101
-124.0,125
-117.0,118
-118.0,119
-107.0,108
-104.0,105
-103.0,104
-86.0,87
-134.0,135
-117.0,118
-137.0,138
-106.0,107
-124.0,125
-92.0,93
-372.0,373
-80.0,81
-105.0,106
-78.0,79
-87.0,88
-86.0,87
-116.0,117
-111.0,112
-130.0,131
-88.0,89
-122.0,123
-278.0,279
-84.0,85
-92.0,93
-176.0,177
-92.0,93
-118.0,119
-113.0,114
-88.0,89
-87.0,88
-82.0,83
-122.0,123
-114.0,115
-95.0,96
-92.0,93
-139.0,140
-118.0,119
-72.0,73
-152.0,153
-128.0,129
-81.0,82
-134.0,135
-103.0,104
-112.0,113
-84.0,85
-103.0,104
-101.0,102
-177.0,178
-95.0,96
-89.0,90
-89.0,90
-91.0,92
-85.0,86
-107.0,108
-95.0,96
-92.0,93
-99.0,100
-96.0,97
-94.0,95
-159.0,160
-97.0,98
-114.0,115
-81.0,82
-69.0,70
-108.0,109
-141.0,142
-158.0,159
-82.0,83
-99.0,100
-110.0,111
-113.0,114
-95.0,96
-92.0,93
-87.0,88
-91.0,92
-104.0,105
-88.0,89
-83.0,84
-108.0,109
-75.0,76
-80.0,81
-120.0,121
-78.0,79
