r,l
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-446.0,447
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-378.0,379
-500.0,500
-413.0,414
-416.0,417
-496.0,497
-411.0,412
-379.0,380
-249.0,250
-500.0,500
-375.0,376
-409.0,410
-283.0,284
-306.0,307
-326.0,327
-216.0,217
-258.0,259
-354.0,355
-210.0,211
-500.0,500
-268.0,269
-249.0,250
-220.0,221
-184.0,185
-221.0,222
-288.0,289
-191.0,192
-185.0,186
-282.0,283
-266.0,267
-192.0,193
-237.0,238
-179.0,180
-185.0,186
-296.0,297
-162.0,163
-174.0,175
-243.0,244
-131.0,132
-178.0,179
-272.0,273
-205.0,206
-201.0,202
-226.0,227
-160.0,161
-174.0,175
-161.0,162
-156.0,157
-122.0,123
-218.0,219
-218.0,219
-171.0,172
-148.0,149
-170.0,171
-167.0,168
-138.0,139
-104.0,105
-129.0,130
-142.0,143
-115.0,116
-148.0,149
-143.0,144
-118.0,119
-162.0,163
-273.0,274
-147.0,148
-249.0,250
-153.0,154
-167.0,168
-120.0,121
-155.0,156
-130.0,131
-108.0,109
-142.0,143
-166.0,167
-126.0,127
-143.0,144
-119.0,120
-190.0,191
-141.0,142
-160.0,161
-141.0,142
-252.0,253
-500.0,500
-143.0,144
-148.0,149
-178.0,179
-108.0,109
-117.0,118
-116.0,117
-174.0,175
-140.0,141
-116.0,117
-83.0,84
-95.0,96
-101.0,102
-136.0,137
-138.0,139
-134.0,135
-103.0,104
-163.0,164
-163.0,164
-101.0,102
-108.0,109
-129.0,130
-81.0,82
-113.0,114
-101.0,102
-109.0,110
-97.0,98
-119.0,120
-102.0,103
-115.0,116
-108.0,109
-113.0,114
-89.0,90
-113.0,114
-107.0,108
-118.0,119
-119.0,120
-99.0,100
-123.0,124
-89.0,90
-99.0,100
-100.0,101
-127.0,128
-100.0,101
-94.0,95
-108.0,109
-103.0,104
-86.0,87
-107.0,108
-91.0,92
-78.0,79
-123.0,124
-85.0,86
-105.0,106
-110.0,111
-133.0,134
-100.0,101
-106.0,107
-93.0,94
-92.0,93
-213.0,214
-102.0,103
-102.0,103
-98.0,99
-89.0,90
-114.0,115
-73.0,74
-83.0,84
-71.0,72
-91.0,92
-86.0,87
-108.0,109
-78.0,79
-105.0,106
-84.0,85
-94.0,95
-91.0,92
-97.0,98
-500.0,500
-100.0,101
-90.0,91
-81.0,82
-92.0,93
-287.0,288
-65.0,66
-92.0,93
-80.0,81
-81.0,82
-98.0,99
-71.0,72
-79.0,80
-67.0,68
-67.0,68
-82.0,83
-110.0,111
-176.0,177
-96.0,97
-97.0,98
-89.0,90
-92.0,93
-103.0,104
-107.0,108
-92.0,93
-81.0,82
-78.0,79
-88.0,89
-86.0,87
-74.0,75
-65.0,66
-143.0,144
-79.0,80
-86.0,87
-116.0,117
-100.0,101
-74.0,75
-88.0,89
-96.0,97
-99.0,100
