r,l
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-446.0,447
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-372.0,373
-500.0,500
-317.0,318
-314.0,315
-410.0,411
-347.0,348
-500.0,500
-258.0,259
-346.0,347
-254.0,255
-253.0,254
-389.0,390
-249.0,250
-320.0,321
-208.0,209
-304.0,305
-210.0,211
-262.0,263
-157.0,158
-254.0,255
-177.0,178
-262.0,263
-269.0,270
-262.0,263
-225.0,226
-151.0,152
-143.0,144
-155.0,156
-160.0,161
-276.0,277
-214.0,215
-159.0,160
-132.0,133
-151.0,152
-173.0,174
-139.0,140
-192.0,193
-159.0,160
-119.0,120
-208.0,209
-131.0,132
-129.0,130
-161.0,162
-156.0,157
-125.0,126
-154.0,155
-123.0,124
-107.0,108
-138.0,139
-144.0,145
-141.0,142
-103.0,104
-113.0,114
-128.0,129
-118.0,119
-142.0,143
-157.0,158
-118.0,119
-99.0,100
-139.0,140
-106.0,107
-125.0,126
-128.0,129
-152.0,153
-124.0,125
-105.0,106
-109.0,110
-131.0,132
-137.0,138
-143.0,144
-171.0,172
-105.0,106
-124.0,125
-94.0,95
-125.0,126
-116.0,117
-111.0,112
-132.0,133
-115.0,116
-98.0,99
-144.0,145
-91.0,92
-124.0,125
-107.0,108
-107.0,108
-123.0,124
-109.0,110
-167.0,168
-108.0,109
-132.0,133
-105.0,106
-115.0,116
-96.0,97
-153.0,154
-116.0,117
-88.0,89
-106.0,107
-118.0,119
-126.0,127
-120.0,121
-92.0,93
-90.0,91
-130.0,131
-122.0,123
-135.0,136
-124.0,125
-111.0,112
-91.0,92
-100.0,101
-118.0,119
-102.0,103
-98.0,99
-113.0,114
-120.0,121
-113.0,114
-100.0,101
-150.0,151
-101.0,102
-143.0,144
-121.0,122
-83.0,84
-118.0,119
-98.0,99
-109.0,110
-128.0,129
-86.0,87
-117.0,118
-129.0,130
-99.0,100
-103.0,104
-103.0,104
-94.0,95
-86.0,87
-91.0,92
-105.0,106
-129.0,130
-112.0,113
-84.0,85
-95.0,96
-184.0,185
-96.0,97
-101.0,102
-99.0,100
-99.0,100
-85.0,86
-120.0,121
-122.0,123
-83.0,84
-155.0,156
-91.0,92
-182.0,183
-70.0,71
-87.0,88
-81.0,82
-96.0,97
-115.0,116
-89.0,90
-102.0,103
-83.0,84
-111.0,112
-94.0,95
-90.0,91
-206.0,207
-94.0,95
-78.0,79
-72.0,73
-127.0,128
-102.0,103
-91.0,92
-94.0,95
-89.0,90
-97.0,98
-83.0,84
-92.0,93
-94.0,95
-105.0,106
-76.0,77
-92.0,93
-92.0,93
-90.0,91
-85.0,86
-140.0,141
-98.0,99
-76.0,77
-103.0,104
-90.0,91
-99.0,100
-95.0,96
-63.0,64
-94.0,95
-99.0,100
-91.0,92
-99.0,100
-76.0,77
-78.0,79
-90.0,91
-98.0,99
-100.0,101
-83.0,84
-82.0,83
-78.0,79
-110.0,111
-87.0,88
-74.0,75
-99.0,100
-94.0,95
-101.0,102
-102.0,103
-82.0,83
-78.0,79
-108.0,109
-79.0,80
-82.0,83
-85.0,86
-79.0,80
-101.0,102
-82.0,83
-75.0,76
-109.0,110
-94.0,95
-81.0,82
-93.0,94
-63.0,64
-81.0,82
-73.0,74
-89.0,90
-100.0,101
-96.0,97
-93.0,94
-118.0,119
-103.0,104
