r,l
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-446.0,447
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-378.0,379
-500.0,500
-413.0,414
-418.0,419
-397.0,398
-500.0,500
-334.0,335
-418.0,419
-332.0,333
-236.0,237
-311.0,312
-286.0,287
-287.0,288
-317.0,318
-362.0,363
-247.0,248
-186.0,187
-200.0,201
-243.0,244
-287.0,288
-230.0,231
-322.0,323
-244.0,245
-164.0,165
-250.0,251
-228.0,229
-281.0,282
-282.0,283
-178.0,179
-130.0,131
-173.0,174
-249.0,250
-166.0,167
-168.0,169
-173.0,174
-160.0,161
-189.0,190
-160.0,161
-150.0,151
-202.0,203
-198.0,199
-173.0,174
-155.0,156
-127.0,128
-147.0,148
-197.0,198
-152.0,153
-155.0,156
-151.0,152
-130.0,131
-250.0,251
-146.0,147
-159.0,160
-162.0,163
-177.0,178
-158.0,159
-122.0,123
-132.0,133
-93.0,94
-111.0,112
-119.0,120
-139.0,140
-149.0,150
-120.0,121
-121.0,122
-113.0,114
-153.0,154
-129.0,130
-160.0,161
-137.0,138
-113.0,114
-158.0,159
-116.0,117
-104.0,105
-138.0,139
-99.0,100
-139.0,140
-122.0,123
-282.0,283
-108.0,109
-120.0,121
-126.0,127
-112.0,113
-136.0,137
-97.0,98
-131.0,132
-131.0,132
-90.0,91
-104.0,105
-119.0,120
-85.0,86
-95.0,96
-113.0,114
-117.0,118
-109.0,110
-143.0,144
-118.0,119
-146.0,147
-115.0,116
-124.0,125
-112.0,113
-99.0,100
-123.0,124
-92.0,93
-117.0,118
-103.0,104
-107.0,108
-98.0,99
-77.0,78
-96.0,97
-91.0,92
-137.0,138
-99.0,100
-117.0,118
-123.0,124
-116.0,117
-102.0,103
-104.0,105
-94.0,95
-128.0,129
-127.0,128
-140.0,141
-95.0,96
-86.0,87
-100.0,101
-105.0,106
-101.0,102
-136.0,137
-89.0,90
-116.0,117
-89.0,90
-83.0,84
-118.0,119
-104.0,105
-113.0,114
-100.0,101
-95.0,96
-84.0,85
-95.0,96
-90.0,91
-106.0,107
-96.0,97
-211.0,212
-78.0,79
-123.0,124
-95.0,96
-95.0,96
-114.0,115
-93.0,94
-79.0,80
-85.0,86
-74.0,75
-102.0,103
-98.0,99
-84.0,85
-87.0,88
-99.0,100
-99.0,100
-106.0,107
-79.0,80
-136.0,137
-87.0,88
-109.0,110
-90.0,91
-110.0,111
-71.0,72
-100.0,101
-99.0,100
-78.0,79
-93.0,94
-92.0,93
-92.0,93
-154.0,155
-213.0,214
-77.0,78
-93.0,94
-93.0,94
-104.0,105
-71.0,72
-80.0,81
-410.0,411
-95.0,96
-101.0,102
-101.0,102
-93.0,94
-77.0,78
-84.0,85
-88.0,89
-92.0,93
-79.0,80
-236.0,237
-204.0,205
-73.0,74
-64.0,65
-75.0,76
-73.0,74
-86.0,87
-87.0,88
-89.0,90
-80.0,81
-86.0,87
-176.0,177
-65.0,66
-80.0,81
-318.0,319
-94.0,95
-95.0,96
-88.0,89
-83.0,84
-73.0,74
-102.0,103
-102.0,103
-99.0,100
-87.0,88
-99.0,100
-66.0,67
-115.0,116
-84.0,85
-82.0,83
-73.0,74
