r,l
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-446.0,447
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-378.0,379
-500.0,500
-413.0,414
-416.0,417
-496.0,497
-411.0,412
-379.0,380
-292.0,293
-307.0,308
-478.0,479
-261.0,262
-347.0,348
-223.0,224
-280.0,281
-281.0,282
-467.0,468
-237.0,238
-241.0,242
-259.0,260
-278.0,279
-248.0,249
-306.0,307
-254.0,255
-153.0,154
-295.0,296
-254.0,255
-235.0,236
-227.0,228
-295.0,296
-178.0,179
-338.0,339
-172.0,173
-239.0,240
-171.0,172
-213.0,214
-166.0,167
-181.0,182
-176.0,177
-179.0,180
-179.0,180
-144.0,145
-171.0,172
-213.0,214
-161.0,162
-207.0,208
-191.0,192
-207.0,208
-205.0,206
-164.0,165
-171.0,172
-135.0,136
-134.0,135
-192.0,193
-200.0,201
-140.0,141
-163.0,164
-291.0,292
-184.0,185
-165.0,166
-123.0,124
-142.0,143
-162.0,163
-142.0,143
-132.0,133
-128.0,129
-134.0,135
-152.0,153
-218.0,219
-112.0,113
-145.0,146
-171.0,172
-130.0,131
-147.0,148
-105.0,106
-135.0,136
-125.0,126
-146.0,147
-204.0,205
-108.0,109
-130.0,131
-138.0,139
-132.0,133
-129.0,130
-139.0,140
-312.0,313
-249.0,250
-148.0,149
-121.0,122
-124.0,125
-112.0,113
-120.0,121
-148.0,149
-98.0,99
-126.0,127
-134.0,135
-105.0,106
-114.0,115
-129.0,130
-139.0,140
-119.0,120
-380.0,381
-126.0,127
-135.0,136
-204.0,205
-100.0,101
-113.0,114
-122.0,123
-107.0,108
-97.0,98
-139.0,140
-266.0,267
-118.0,119
-173.0,174
-112.0,113
-96.0,97
-135.0,136
-88.0,89
-100.0,101
-192.0,193
-80.0,81
-163.0,164
-99.0,100
-115.0,116
-104.0,105
-97.0,98
-179.0,180
-107.0,108
-113.0,114
-80.0,81
-115.0,116
-115.0,116
-121.0,122
-72.0,73
-93.0,94
-86.0,87
-108.0,109
-96.0,97
-108.0,109
-98.0,99
-129.0,130
-88.0,89
-105.0,106
-113.0,114
-97.0,98
-104.0,105
-111.0,112
-114.0,115
-108.0,109
-99.0,100
-158.0,159
-128.0,129
-122.0,123
-102.0,103
-84.0,85
-85.0,86
-101.0,102
-107.0,108
-106.0,107
-112.0,113
-174.0,175
-97.0,98
-99.0,100
-87.0,88
-88.0,89
-98.0,99
-106.0,107
-102.0,103
-91.0,92
-80.0,81
-101.0,102
-86.0,87
-95.0,96
-86.0,87
-84.0,85
-203.0,204
-85.0,86
-94.0,95
-106.0,107
-118.0,119
-107.0,108
-85.0,86
-112.0,113
-91.0,92
-71.0,72
-130.0,131
-95.0,96
-130.0,131
-83.0,84
-85.0,86
-113.0,114
-91.0,92
-84.0,85
-86.0,87
-284.0,285
