r,l
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-446.0,447
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-378.0,379
-500.0,500
-413.0,414
-418.0,419
-397.0,398
-500.0,500
-334.0,335
-298.0,299
-314.0,315
-331.0,332
-303.0,304
-223.0,224
-352.0,353
-452.0,453
-348.0,349
-381.0,382
-258.0,259
-500.0,500
-298.0,299
-226.0,227
-277.0,278
-207.0,208
-500.0,500
-238.0,239
-231.0,232
-122.0,123
-151.0,152
-150.0,151
-157.0,158
-241.0,242
-235.0,236
-183.0,184
-186.0,187
-227.0,228
-202.0,203
-168.0,169
-153.0,154
-178.0,179
-178.0,179
-201.0,202
-145.0,146
-150.0,151
-172.0,173
-147.0,148
-142.0,143
-173.0,174
-180.0,181
-152.0,153
-188.0,189
-136.0,137
-172.0,173
-120.0,121
-110.0,111
-140.0,141
-134.0,135
-127.0,128
-133.0,134
-129.0,130
-157.0,158
-109.0,110
-119.0,120
-116.0,117
-140.0,141
-257.0,258
-123.0,124
-126.0,127
-102.0,103
-152.0,153
-112.0,113
-133.0,134
-100.0,101
-139.0,140
-144.0,145
-119.0,120
-133.0,134
-290.0,291
-117.0,118
-144.0,145
-102.0,103
-140.0,141
-234.0,235
-104.0,105
-107.0,108
-143.0,144
-109.0,110
-121.0,122
-127.0,128
-98.0,99
-130.0,131
-104.0,105
-121.0,122
-113.0,114
-116.0,117
-195.0,196
-114.0,115
-208.0,209
-93.0,94
-91.0,92
-108.0,109
-315.0,316
-134.0,135
-116.0,117
-152.0,153
-108.0,109
-132.0,133
-97.0,98
-103.0,104
-136.0,137
-123.0,124
-92.0,93
-117.0,118
-146.0,147
-105.0,106
-120.0,121
-85.0,86
-124.0,125
-106.0,107
-89.0,90
-141.0,142
-100.0,101
-225.0,226
-125.0,126
-89.0,90
-116.0,117
-161.0,162
-189.0,190
-104.0,105
-108.0,109
-96.0,97
-102.0,103
-115.0,116
-133.0,134
-105.0,106
-138.0,139
-98.0,99
-98.0,99
-87.0,88
-106.0,107
-116.0,117
-117.0,118
-96.0,97
-73.0,74
-78.0,79
-114.0,115
-91.0,92
-81.0,82
-71.0,72
-96.0,97
-91.0,92
-120.0,121
-126.0,127
-106.0,107
-81.0,82
-247.0,248
-92.0,93
-125.0,126
-109.0,110
-98.0,99
-158.0,159
-105.0,106
-89.0,90
-89.0,90
-94.0,95
-116.0,117
-101.0,102
-98.0,99
-106.0,107
-92.0,93
-92.0,93
-96.0,97
-271.0,272
-85.0,86
-85.0,86
-98.0,99
-80.0,81
-105.0,106
-92.0,93
-113.0,114
-91.0,92
-92.0,93
-100.0,101
-87.0,88
-70.0,71
-80.0,81
-97.0,98
-109.0,110
-120.0,121
-89.0,90
-119.0,120
-74.0,75
-96.0,97
-65.0,66
-89.0,90
-86.0,87
-133.0,134
-75.0,76
-126.0,127
-73.0,74
-81.0,82
-96.0,97
-94.0,95
-76.0,77
-83.0,84
-91.0,92
-73.0,74
-95.0,96
-109.0,110
-90.0,91
