r,l
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-446.0,447
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-372.0,373
-425.0,426
-500.0,500
-318.0,319
-386.0,387
-427.0,428
-404.0,405
-267.0,268
-391.0,392
-398.0,399
-241.0,242
-255.0,256
-260.0,261
-235.0,236
-275.0,276
-255.0,256
-230.0,231
-256.0,257
-244.0,245
-248.0,249
-203.0,204
-232.0,233
-200.0,201
-173.0,174
-251.0,252
-208.0,209
-155.0,156
-190.0,191
-189.0,190
-218.0,219
-155.0,156
-200.0,201
-138.0,139
-238.0,239
-224.0,225
-173.0,174
-181.0,182
-189.0,190
-118.0,119
-153.0,154
-197.0,198
-147.0,148
-117.0,118
-219.0,220
-316.0,317
-130.0,131
-178.0,179
-152.0,153
-160.0,161
-159.0,160
-187.0,188
-119.0,120
-127.0,128
-207.0,208
-143.0,144
-111.0,112
-126.0,127
-185.0,186
-161.0,162
-156.0,157
-122.0,123
-132.0,133
-102.0,103
-148.0,149
-109.0,110
-113.0,114
-137.0,138
-160.0,161
-151.0,152
-180.0,181
-96.0,97
-149.0,150
-97.0,98
-142.0,143
-146.0,147
-142.0,143
-125.0,126
-113.0,114
-153.0,154
-109.0,110
-173.0,174
-133.0,134
-128.0,129
-119.0,120
-147.0,148
-94.0,95
-115.0,116
-126.0,127
-114.0,115
-137.0,138
-160.0,161
-138.0,139
-121.0,122
-102.0,103
-86.0,87
-116.0,117
-165.0,166
-100.0,101
-89.0,90
-102.0,103
-130.0,131
-82.0,83
-125.0,126
-89.0,90
-102.0,103
-90.0,91
-95.0,96
-107.0,108
-124.0,125
-108.0,109
-216.0,217
-112.0,113
-106.0,107
-115.0,116
-115.0,116
-116.0,117
-126.0,127
-133.0,134
-117.0,118
-94.0,95
-78.0,79
-97.0,98
-104.0,105
-97.0,98
-219.0,220
-140.0,141
-95.0,96
-132.0,133
-131.0,132
-90.0,91
-88.0,89
-313.0,314
-95.0,96
-93.0,94
-248.0,249
-67.0,68
-109.0,110
-115.0,116
-141.0,142
-76.0,77
-75.0,76
-73.0,74
-104.0,105
-105.0,106
-98.0,99
-96.0,97
-96.0,97
-97.0,98
-91.0,92
-193.0,194
-161.0,162
-86.0,87
-102.0,103
-64.0,65
-115.0,116
-80.0,81
-81.0,82
-169.0,170
-98.0,99
-108.0,109
-91.0,92
-69.0,70
-107.0,108
-94.0,95
-101.0,102
-138.0,139
-167.0,168
-96.0,97
-97.0,98
-88.0,89
-100.0,101
-90.0,91
-107.0,108
-101.0,102
-108.0,109
-94.0,95
-92.0,93
-85.0,86
-85.0,86
-77.0,78
-100.0,101
-90.0,91
-83.0,84
-86.0,87
-86.0,87
-79.0,80
-96.0,97
-85.0,86
-80.0,81
-76.0,77
-115.0,116
-85.0,86
-74.0,75
-88.0,89
-86.0,87
-142.0,143
-84.0,85
-91.0,92
-101.0,102
-93.0,94
-72.0,73
-93.0,94
-92.0,93
-73.0,74
-85.0,86
-72.0,73
-78.0,79
-124.0,125
-73.0,74
-86.0,87
-75.0,76
-82.0,83
-85.0,86
-114.0,115
