r,l
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-446.0,447
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-378.0,379
-500.0,500
-413.0,414
-416.0,417
-496.0,497
-411.0,412
-379.0,380
-249.0,250
-500.0,500
-375.0,376
-409.0,410
-283.0,284
-306.0,307
-326.0,327
-216.0,217
-258.0,259
-354.0,355
-210.0,211
-500.0,500
-268.0,269
-205.0,206
-337.0,338
-283.0,284
-208.0,209
-206.0,207
-213.0,214
-223.0,224
-358.0,359
-246.0,247
-242.0,243
-198.0,199
-156.0,157
-500.0,500
-163.0,164
-154.0,155
-155.0,156
-188.0,189
-177.0,178
-196.0,197
-199.0,200
-158.0,159
-288.0,289
-162.0,163
-147.0,148
-205.0,206
-162.0,163
-178.0,179
-153.0,154
-282.0,283
-123.0,124
-204.0,205
-138.0,139
-112.0,113
-202.0,203
-133.0,134
-119.0,120
-184.0,185
-127.0,128
-127.0,128
-191.0,192
-127.0,128
-114.0,115
-121.0,122
-122.0,123
-141.0,142
-151.0,152
-124.0,125
-126.0,127
-134.0,135
-148.0,149
-106.0,107
-141.0,142
-110.0,111
-115.0,116
-500.0,500
-123.0,124
-157.0,158
-112.0,113
-118.0,119
-120.0,121
-132.0,133
-126.0,127
-142.0,143
-187.0,188
-132.0,133
-134.0,135
-129.0,130
-141.0,142
-105.0,106
-128.0,129
-117.0,118
-134.0,135
-84.0,85
-119.0,120
-132.0,133
-92.0,93
-116.0,117
-102.0,103
-138.0,139
-157.0,158
-132.0,133
-188.0,189
-122.0,123
-108.0,109
-131.0,132
-120.0,121
-104.0,105
-166.0,167
-151.0,152
-103.0,104
-134.0,135
-118.0,119
-114.0,115
-119.0,120
-108.0,109
-115.0,116
-98.0,99
-105.0,106
-113.0,114
-106.0,107
-91.0,92
-106.0,107
-119.0,120
-96.0,97
-116.0,117
-85.0,86
-92.0,93
-81.0,82
-115.0,116
-199.0,200
-99.0,100
-104.0,105
-87.0,88
-90.0,91
-101.0,102
-121.0,122
-83.0,84
-92.0,93
-71.0,72
-105.0,106
-245.0,246
-119.0,120
-91.0,92
-77.0,78
-100.0,101
-109.0,110
-97.0,98
-106.0,107
-95.0,96
-98.0,99
-134.0,135
-84.0,85
-103.0,104
-261.0,262
-93.0,94
-114.0,115
-93.0,94
-500.0,500
-93.0,94
-90.0,91
-95.0,96
-118.0,119
-78.0,79
-102.0,103
-86.0,87
-80.0,81
-72.0,73
-91.0,92
-90.0,91
-94.0,95
-105.0,106
-98.0,99
-138.0,139
-98.0,99
-105.0,106
-107.0,108
-73.0,74
-82.0,83
-128.0,129
-121.0,122
-105.0,106
-93.0,94
-81.0,82
-102.0,103
-93.0,94
-126.0,127
-98.0,99
-102.0,103
-86.0,87
-88.0,89
-100.0,101
-91.0,92
-150.0,151
-89.0,90
-101.0,102
-85.0,86
-86.0,87
