r,l
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-369.0,370
-500.0,500
-433.0,434
-500.0,500
-500.0,500
-401.0,402
-500.0,500
-360.0,361
-500.0,500
-245.0,246
-233.0,234
-322.0,323
-181.0,182
-350.0,351
-365.0,366
-379.0,380
-255.0,256
-171.0,172
-169.0,170
-248.0,249
-220.0,221
-260.0,261
-241.0,242
-386.0,387
-293.0,294
-236.0,237
-203.0,204
-237.0,238
-193.0,194
-150.0,151
-131.0,132
-184.0,185
-186.0,187
-207.0,208
-168.0,169
-176.0,177
-201.0,202
-127.0,128
-198.0,199
-178.0,179
-157.0,158
-161.0,162
-304.0,305
-153.0,154
-185.0,186
-146.0,147
-118.0,119
-205.0,206
-138.0,139
-146.0,147
-126.0,127
-161.0,162
-228.0,229
-147.0,148
-164.0,165
-144.0,145
-172.0,173
-151.0,152
-162.0,163
-119.0,120
-451.0,452
-124.0,125
-113.0,114
-144.0,145
-109.0,110
-127.0,128
-147.0,148
-151.0,152
-112.0,113
-153.0,154
-115.0,116
-127.0,128
-131.0,132
-102.0,103
-90.0,91
-152.0,153
-125.0,126
-120.0,121
-126.0,127
-139.0,140
-110.0,111
-134.0,135
-136.0,137
-148.0,149
-262.0,263
-106.0,107
-90.0,91
-120.0,121
-90.0,91
-128.0,129
-102.0,103
-149.0,150
-144.0,145
-120.0,121
-118.0,119
-98.0,99
-114.0,115
-131.0,132
-96.0,97
-133.0,134
-140.0,141
-97.0,98
-110.0,111
-99.0,100
-103.0,104
-125.0,126
-95.0,96
-101.0,102
-118.0,119
-169.0,170
-109.0,110
-92.0,93
-106.0,107
-118.0,119
-96.0,97
-101.0,102
-103.0,104
-91.0,92
-115.0,116
-133.0,134
-99.0,100
-122.0,123
-116.0,117
-104.0,105
-88.0,89
-116.0,117
-82.0,83
-92.0,93
-97.0,98
-84.0,85
-153.0,154
-118.0,119
-91.0,92
-91.0,92
-102.0,103
-103.0,104
-91.0,92
-117.0,118
-167.0,168
-78.0,79
-209.0,210
-88.0,89
-74.0,75
-180.0,181
-198.0,199
-121.0,122
-92.0,93
-101.0,102
-109.0,110
-106.0,107
-100.0,101
-81.0,82
-73.0,74
-102.0,103
-99.0,100
-95.0,96
-102.0,103
-83.0,84
-85.0,86
-95.0,96
-107.0,108
-104.0,105
-114.0,115
-86.0,87
-91.0,92
-90.0,91
-109.0,110
-105.0,106
-85.0,86
-73.0,74
-71.0,72
-119.0,120
-96.0,97
-84.0,85
-71.0,72
-128.0,129
-87.0,88
-115.0,116
-222.0,223
-99.0,100
-92.0,93
-87.0,88
-99.0,100
-78.0,79
-125.0,126
-84.0,85
-88.0,89
-109.0,110
-99.0,100
-82.0,83
-104.0,105
-78.0,79
-105.0,106
-86.0,87
-89.0,90
-87.0,88
-88.0,89
-84.0,85
-100.0,101
-114.0,115
-108.0,109
-82.0,83
-95.0,96
-101.0,102
-95.0,96
-74.0,75
-70.0,71
-90.0,91
-77.0,78
-104.0,105
-120.0,121
-87.0,88
-89.0,90
-82.0,83
-89.0,90
-73.0,74
-82.0,83
-123.0,124
-77.0,78
-75.0,76
-106.0,107
-85.0,86
-116.0,117
-74.0,75
-80.0,81
-108.0,109
-94.0,95
-76.0,77
-90.0,91
-84.0,85
-78.0,79
-70.0,71
-74.0,75
-89.0,90
-65.0,66
-93.0,94
-72.0,73
-77.0,78
-74.0,75
-100.0,101
-101.0,102
-70.0,71
-82.0,83
-64.0,65
-116.0,117
-94.0,95
-80.0,81
