#{"t_start": 1772716370.2041433, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,1.478184
-500.0,500,1.820322
-500.0,500,2.162263
-500.0,500,2.502711
-500.0,500,4.019498
-500.0,500,4.363011
-500.0,500,4.706748
-500.0,500,5.049261
-500.0,500,6.517726
-500.0,500,6.859652
-500.0,500,7.204651
-500.0,500,7.54879
-500.0,500,9.034713
-500.0,500,9.378926
-500.0,500,9.721967
-500.0,500,10.063401
-500.0,500,11.554556
-500.0,500,11.897278
-500.0,500,12.240498
-500.0,500,12.583235
-500.0,500,13.954941
-500.0,500,14.308349
-500.0,500,14.664138
-500.0,500,15.021262
-500.0,500,16.39529
-500.0,500,16.742842
-500.0,500,17.087665
-500.0,500,17.433047
-500.0,500,18.78939
-500.0,500,19.133484
-500.0,500,19.477713
-500.0,500,19.819919
-500.0,500,21.17981
-446.0,447,21.492543
-500.0,500,21.838888
-500.0,500,22.184343
-500.0,500,23.568099
-500.0,500,23.91583
-500.0,500,24.26204
-500.0,500,24.607762
-500.0,500,24.953462
-372.0,373,26.238052
-500.0,500,26.579717
-317.0,318,26.798453
-314.0,315,27.015992
-410.0,411,27.299045
-347.0,348,28.577672
-500.0,500,28.925348
-258.0,259,29.105324
-346.0,347,29.346932
-254.0,255,29.523811
-253.0,254,29.700993
-389.0,390,30.989299
-249.0,250,31.163542
-320.0,321,31.385353
-208.0,209,31.529826
-304.0,305,31.741958
-210.0,211,31.888333
-262.0,263,32.069837
-157.0,158,32.179985
-254.0,255,33.368753
-177.0,178,33.493395
-262.0,263,33.674059
-269.0,270,33.86045
-262.0,263,34.041868
-225.0,226,34.198372
-151.0,152,34.303054
-143.0,144,34.4021
-155.0,156,34.509646
-160.0,161,34.622532
-276.0,277,35.842012
-214.0,215,35.991073
-159.0,160,36.101526
-132.0,133,36.193838
-151.0,152,36.299081
-173.0,174,36.41907
-139.0,140,36.515649
-192.0,193,36.648707
-159.0,160,36.759134
-119.0,120,36.842105
-208.0,209,36.987244
-131.0,132,37.078115
-129.0,130,37.167648
-161.0,162,38.296682
-156.0,157,38.40369
-125.0,126,38.489505
-154.0,155,38.594994
-123.0,124,38.67936
-107.0,108,38.752697
-138.0,139,38.848022
-144.0,145,38.948298
-141.0,142,39.045985
-103.0,104,39.117262
-113.0,114,39.195837
-128.0,129,39.285415
-118.0,119,39.367224
-142.0,143,39.465515
-157.0,158,39.574191
-118.0,119,40.715725
-99.0,100,40.784733
-139.0,140,40.882918
-106.0,107,40.957227
-125.0,126,41.045197
-128.0,129,41.134234
-152.0,153,41.239881
-124.0,125,41.326833
-105.0,106,41.400058
-109.0,110,41.476407
-131.0,132,41.567837
-137.0,138,41.663134
-143.0,144,41.762548
-171.0,172,41.881174
-105.0,106,41.954779
-124.0,125,42.041698
