r,l
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-446.0,447
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-378.0,379
-500.0,500
-413.0,414
-416.0,417
-496.0,497
-411.0,412
-379.0,380
-249.0,250
-500.0,500
-375.0,376
-409.0,410
-283.0,284
-306.0,307
-326.0,327
-216.0,217
-258.0,259
-354.0,355
-210.0,211
-500.0,500
-268.0,269
-249.0,250
-220.0,221
-184.0,185
-221.0,222
-288.0,289
-191.0,192
-185.0,186
-282.0,283
-266.0,267
-192.0,193
-237.0,238
-179.0,180
-185.0,186
-296.0,297
-162.0,163
-174.0,175
-243.0,244
-131.0,132
-178.0,179
-272.0,273
-205.0,206
-201.0,202
-226.0,227
-160.0,161
-174.0,175
-164.0,165
-229.0,230
-196.0,197
-164.0,165
-136.0,137
-146.0,147
-114.0,115
-151.0,152
-120.0,121
-144.0,145
-119.0,120
-145.0,146
-131.0,132
-193.0,194
-163.0,164
-155.0,156
-212.0,213
-166.0,167
-125.0,126
-155.0,156
-137.0,138
-85.0,86
-144.0,145
-136.0,137
-128.0,129
-146.0,147
-118.0,119
-125.0,126
-138.0,139
-151.0,152
-106.0,107
-119.0,120
-126.0,127
-445.0,446
-106.0,107
-141.0,142
-108.0,109
-163.0,164
-111.0,112
-143.0,144
-137.0,138
-123.0,124
-130.0,131
-110.0,111
-94.0,95
-283.0,284
-118.0,119
-120.0,121
-124.0,125
-93.0,94
-117.0,118
-98.0,99
-114.0,115
-97.0,98
-104.0,105
-130.0,131
-105.0,106
-99.0,100
-229.0,230
-138.0,139
-102.0,103
-87.0,88
-120.0,121
-139.0,140
-128.0,129
-119.0,120
-97.0,98
-120.0,121
-122.0,123
-97.0,98
-117.0,118
-108.0,109
-81.0,82
-224.0,225
-107.0,108
-108.0,109
-117.0,118
-92.0,93
-104.0,105
-105.0,106
-70.0,71
-88.0,89
-106.0,107
-95.0,96
-91.0,92
-89.0,90
-115.0,116
-75.0,76
-105.0,106
-80.0,81
-97.0,98
-101.0,102
-105.0,106
-88.0,89
-112.0,113
-112.0,113
-88.0,89
-95.0,96
-124.0,125
-87.0,88
-108.0,109
-70.0,71
-99.0,100
-201.0,202
-112.0,113
-241.0,242
-87.0,88
-92.0,93
-167.0,168
-93.0,94
-137.0,138
-111.0,112
-98.0,99
-100.0,101
-174.0,175
-91.0,92
-82.0,83
-90.0,91
-100.0,101
-78.0,79
-109.0,110
-71.0,72
-98.0,99
-92.0,93
-87.0,88
-83.0,84
-92.0,93
-106.0,107
-110.0,111
-73.0,74
-110.0,111
-100.0,101
-93.0,94
-97.0,98
-83.0,84
-105.0,106
-86.0,87
-85.0,86
-188.0,189
-81.0,82
-86.0,87
-106.0,107
-102.0,103
-89.0,90
-121.0,122
-101.0,102
-81.0,82
-148.0,149
-76.0,77
-233.0,234
-84.0,85
-97.0,98
-105.0,106
-79.0,80
-128.0,129
-97.0,98
-79.0,80
