r,l
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-446.0,447
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-378.0,379
-500.0,500
-413.0,414
-416.0,417
-496.0,497
-411.0,412
-379.0,380
-249.0,250
-500.0,500
-375.0,376
-409.0,410
-283.0,284
-306.0,307
-326.0,327
-216.0,217
-258.0,259
-354.0,355
-210.0,211
-500.0,500
-268.0,269
-249.0,250
-220.0,221
-173.0,174
-216.0,217
-177.0,178
-230.0,231
-227.0,228
-211.0,212
-200.0,201
-181.0,182
-139.0,140
-184.0,185
-145.0,146
-319.0,320
-181.0,182
-288.0,289
-218.0,219
-204.0,205
-185.0,186
-219.0,220
-208.0,209
-184.0,185
-160.0,161
-177.0,178
-171.0,172
-155.0,156
-153.0,154
-195.0,196
-168.0,169
-161.0,162
-156.0,157
-142.0,143
-141.0,142
-150.0,151
-169.0,170
-136.0,137
-188.0,189
-137.0,138
-157.0,158
-139.0,140
-114.0,115
-175.0,176
-122.0,123
-123.0,124
-141.0,142
-131.0,132
-121.0,122
-135.0,136
-149.0,150
-107.0,108
-167.0,168
-118.0,119
-239.0,240
-137.0,138
-155.0,156
-182.0,183
-114.0,115
-94.0,95
-238.0,239
-130.0,131
-131.0,132
-136.0,137
-71.0,72
-126.0,127
-264.0,265
-141.0,142
-111.0,112
-119.0,120
-108.0,109
-500.0,500
-151.0,152
-96.0,97
-89.0,90
-147.0,148
-110.0,111
-113.0,114
-104.0,105
-114.0,115
-93.0,94
-234.0,235
-101.0,102
-116.0,117
-126.0,127
-87.0,88
-130.0,131
-139.0,140
-121.0,122
-135.0,136
-121.0,122
-97.0,98
-94.0,95
-97.0,98
-95.0,96
-120.0,121
-117.0,118
-94.0,95
-127.0,128
-91.0,92
-103.0,104
-124.0,125
-104.0,105
-91.0,92
-100.0,101
-164.0,165
-238.0,239
-120.0,121
-101.0,102
-83.0,84
-119.0,120
-84.0,85
-97.0,98
-93.0,94
-97.0,98
-147.0,148
-121.0,122
-117.0,118
-180.0,181
-98.0,99
-115.0,116
-120.0,121
-94.0,95
-83.0,84
-93.0,94
-145.0,146
-86.0,87
-85.0,86
-83.0,84
-168.0,169
-86.0,87
-91.0,92
-121.0,122
-97.0,98
-108.0,109
-93.0,94
-181.0,182
-74.0,75
-112.0,113
-98.0,99
-110.0,111
-163.0,164
-113.0,114
-99.0,100
-99.0,100
-115.0,116
-95.0,96
-129.0,130
-80.0,81
-88.0,89
-90.0,91
-95.0,96
-96.0,97
-75.0,76
-118.0,119
-111.0,112
-82.0,83
-105.0,106
-113.0,114
-80.0,81
-86.0,87
-79.0,80
-72.0,73
-104.0,105
-109.0,110
-96.0,97
-89.0,90
-79.0,80
-91.0,92
-86.0,87
-86.0,87
-219.0,220
-82.0,83
-77.0,78
-107.0,108
-79.0,80
-101.0,102
-78.0,79
-80.0,81
-108.0,109
-90.0,91
-98.0,99
-83.0,84
-89.0,90
-101.0,102
