r,l
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-446.0,447
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-378.0,379
-500.0,500
-413.0,414
-416.0,417
-496.0,497
-411.0,412
-379.0,380
-249.0,250
-500.0,500
-375.0,376
-409.0,410
-283.0,284
-306.0,307
-326.0,327
-216.0,217
-258.0,259
-354.0,355
-210.0,211
-500.0,500
-268.0,269
-249.0,250
-220.0,221
-184.0,185
-221.0,222
-288.0,289
-191.0,192
-185.0,186
-282.0,283
-266.0,267
-192.0,193
-237.0,238
-179.0,180
-185.0,186
-296.0,297
-162.0,163
-174.0,175
-243.0,244
-131.0,132
-178.0,179
-272.0,273
-205.0,206
-201.0,202
-226.0,227
-160.0,161
-174.0,175
-396.0,397
-171.0,172
-167.0,168
-134.0,135
-239.0,240
-183.0,184
-107.0,108
-258.0,259
-174.0,175
-146.0,147
-165.0,166
-175.0,176
-121.0,122
-133.0,134
-151.0,152
-344.0,345
-144.0,145
-287.0,288
-134.0,135
-129.0,130
-136.0,137
-124.0,125
-500.0,500
-103.0,104
-109.0,110
-136.0,137
-128.0,129
-98.0,99
-104.0,105
-93.0,94
-151.0,152
-114.0,115
-104.0,105
-145.0,146
-104.0,105
-165.0,166
-138.0,139
-148.0,149
-141.0,142
-110.0,111
-143.0,144
-144.0,145
-137.0,138
-117.0,118
-202.0,203
-115.0,116
-98.0,99
-124.0,125
-164.0,165
-121.0,122
-108.0,109
-91.0,92
-102.0,103
-123.0,124
-108.0,109
-129.0,130
-124.0,125
-113.0,114
-101.0,102
-87.0,88
-95.0,96
-112.0,113
-97.0,98
-139.0,140
-118.0,119
-112.0,113
-157.0,158
-123.0,124
-127.0,128
-85.0,86
-125.0,126
-119.0,120
-113.0,114
-75.0,76
-133.0,134
-109.0,110
-108.0,109
-104.0,105
-95.0,96
-111.0,112
-132.0,133
-79.0,80
-95.0,96
-95.0,96
-102.0,103
-102.0,103
-106.0,107
-128.0,129
-90.0,91
-93.0,94
-91.0,92
-150.0,151
-115.0,116
-116.0,117
-124.0,125
-99.0,100
-83.0,84
-77.0,78
-77.0,78
-109.0,110
-78.0,79
-84.0,85
-98.0,99
-108.0,109
-99.0,100
-99.0,100
-113.0,114
-195.0,196
-96.0,97
-112.0,113
-84.0,85
-112.0,113
-82.0,83
-120.0,121
-107.0,108
-93.0,94
-100.0,101
-89.0,90
-106.0,107
-96.0,97
-109.0,110
-95.0,96
-100.0,101
-79.0,80
-85.0,86
-85.0,86
-72.0,73
-111.0,112
-102.0,103
-96.0,97
-99.0,100
-111.0,112
-92.0,93
-83.0,84
-99.0,100
-92.0,93
-89.0,90
-84.0,85
-83.0,84
-95.0,96
-122.0,123
-98.0,99
-92.0,93
-94.0,95
-86.0,87
-110.0,111
-111.0,112
-84.0,85
-84.0,85
-89.0,90
-97.0,98
-91.0,92
-96.0,97
-94.0,95
-74.0,75
-239.0,240
