#{"t_start": 1773222757.0598617, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,2.718845
-500.0,500,3.646205
-500.0,500,4.564664
-500.0,500,5.476106
-500.0,500,8.556219
-500.0,500,9.484707
-500.0,500,10.424651
-500.0,500,11.381572
-500.0,500,14.226301
-500.0,500,15.147779
-500.0,500,16.085479
-500.0,500,17.004792
-500.0,500,19.864002
-500.0,500,20.824779
-500.0,500,21.79554
-500.0,500,22.746278
-500.0,500,25.632968
-500.0,500,26.555331
-466.0,467,27.415867
-500.0,500,28.311377
-500.0,500,31.096376
-485.0,486,32.015913
-298.0,299,32.583222
-343.0,344,33.242523
-461.0,462,34.107154
-340.0,341,36.640721
-410.0,411,37.376276
-500.0,500,38.272666
-212.0,213,38.65493
-313.0,314,39.217108
-417.0,418,39.964751
-373.0,374,42.657247
-246.0,247,43.126316
-192.0,193,43.49163
-293.0,294,44.053556
-212.0,213,44.457515
-352.0,353,45.107856
-258.0,259,45.578966
-338.0,339,48.134447
-185.0,186,48.480307
-255.0,256,48.955092
-146.0,147,49.225266
-194.0,195,49.586568
-208.0,209,49.975019
-237.0,238,50.413941
-201.0,202,50.786686
-248.0,249,51.249111
-202.0,203,51.627981
-216.0,217,53.950921
-195.0,196,54.311114
-190.0,191,54.661842
-229.0,230,55.084732
-210.0,211,55.475035
-223.0,224,55.890394
-215.0,216,56.292255
-162.0,163,56.592781
-158.0,159,56.889824
-141.0,142,57.154733
-213.0,214,59.492376
-145.0,146,59.761372
-199.0,200,60.14935
-167.0,168,60.460761
-212.0,213,60.851618
-154.0,155,61.1392
-186.0,187,61.482104
-163.0,164,61.785576
-119.0,120,62.006249
-184.0,185,62.348025
-167.0,168,62.677374
-126.0,127,62.911161
-156.0,157,65.118669
-139.0,140,65.378472
-114.0,115,65.589682
-117.0,118,65.808867
-136.0,137,66.061116
-197.0,198,66.427697
-130.0,131,66.673803
-119.0,120,66.889446
-157.0,158,67.171553
-131.0,132,67.408373
-118.0,119,67.620874
