#{"t_start": 1772038083.4753516, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,2.561513
-500.0,500,3.406125
-500.0,500,4.243911
-500.0,500,5.081695
-500.0,500,7.885768
-500.0,500,8.722694
-500.0,500,9.560112
-500.0,500,10.397291
-500.0,500,12.959995
-500.0,500,13.797353
-500.0,500,14.654205
-500.0,500,15.510337
-500.0,500,18.075936
-500.0,500,18.924477
-500.0,500,19.781902
-500.0,500,20.639982
-500.0,500,23.203337
-500.0,500,24.041423
-466.0,467,24.824392
-500.0,500,25.658569
-500.0,500,28.243588
-485.0,486,29.080884
-298.0,299,29.592237
-343.0,344,30.182453
-461.0,462,30.972522
-340.0,341,33.272692
-410.0,411,33.961499
-500.0,500,34.800361
-212.0,213,35.157964
-313.0,314,35.684309
-417.0,418,36.384314
-373.0,374,38.741897
-246.0,247,39.164453
-192.0,193,39.49594
-293.0,294,40.001563
-212.0,213,40.367658
-352.0,353,40.97175
-258.0,259,41.416921
-338.0,339,43.711834
-185.0,186,44.029027
-255.0,256,44.46599
-146.0,147,44.716949
-194.0,195,45.050367
-208.0,209,45.406803
-237.0,238,45.814196
-201.0,202,46.161556
-248.0,249,46.58829
-202.0,203,46.934742
-216.0,217,49.019759
-195.0,196,49.348733
-190.0,191,49.668549
-229.0,230,50.053856
-210.0,211,50.407888
-223.0,224,50.783689
-215.0,216,51.143898
-162.0,163,51.417433
-158.0,159,51.682767
-141.0,142,51.920978
-213.0,214,53.998293
-145.0,146,54.241481
-199.0,200,54.576819
-167.0,168,54.857969
-212.0,213,55.216306
-154.0,155,55.477375
-186.0,187,55.791184
-163.0,164,56.067133
-119.0,120,56.266976
-184.0,185,56.577675
-167.0,168,56.857733
-126.0,127,57.071206
-156.0,157,59.069067
-139.0,140,59.311001
-114.0,115,59.509005
-117.0,118,59.711354
-144.0,145,59.959731
-120.0,121,60.167192
-121.0,122,60.376268
-120.0,121,60.583705
-129.0,130,60.806682
-129.0,130,61.029636
-243.0,244,61.448101
-149.0,150,61.706834
-196.0,197,62.044683
-138.0,139,62.283917
-105.0,106,62.465749
-126.0,127,64.337114
-133.0,134,64.560448
-180.0,181,64.862067
-119.0,120,65.061927
-114.0,115,65.253487
-125.0,126,65.464665
-200.0,201,65.799487
-156.0,157,66.061047
-153.0,154,66.317563
-130.0,131,66.535766
-116.0,117,66.730688
-103.0,104,66.903933
-122.0,123,67.109028
-153.0,154,67.365569
-148.0,149,69.272093
-137.0,138,69.502209
-119.0,120,69.702149
-148.0,149,69.950321
-95.0,96,70.110184
-267.0,268,70.556624
-132.0,133,70.778079
-120.0,121,70.979718
-126.0,127,71.191242
-150.0,151,71.442761
-248.0,249,71.857336
-103.0,104,72.030494
-146.0,147,72.276323
-117.0,118,72.472751
-129.0,130,74.365202
-100.0,101,74.539157
-103.0,104,74.717942
-101.0,102,74.893081
-146.0,147,75.145851
-100.0,101,75.319069
-91.0,92,75.476878
-156.0,157,75.746177
-100.0,101,75.920973
-111.0,112,76.113282
-145.0,146,76.363857
-128.0,129,76.585144
-138.0,139,76.823691
-132.0,133,77.052019
-123.0,124,77.264795
-102.0,103,77.441422
-100.0,101,77.614824
-126.0,127,77.832658
-99.0,100,79.65869
-136.0,137,79.886951
-104.0,105,80.061842
-147.0,148,80.309685
-127.0,128,80.522974
-77.0,78,80.652822
-108.0,109,80.834249
-130.0,131,81.052392
-115.0,116,81.245617
-98.0,99,81.41049
-119.0,120,81.610469
-131.0,132,81.830513
-117.0,118,82.027006
-100.0,101,82.195183
-85.0,86,82.338378
-139.0,140,82.571978
-102.0,103,82.743521
-105.0,106,82.920026
-93.0,94,84.738959
-76.0,77,84.867335
-109.0,110,85.050798
-136.0,137,85.279222
-121.0,122,85.48306
-102.0,103,85.655324
-97.0,98,85.81865
-122.0,123,86.023944
-130.0,131,86.242433
-119.0,120,86.442441
-122.0,123,86.652187
-123.0,124,86.865063
-113.0,114,87.060889
-151.0,152,87.322027
-90.0,91,87.478216
-83.0,84,87.622422
-88.0,89,87.775215
-131.0,132,88.002044
-123.0,124,89.898997
-82.0,83,90.041508
-86.0,87,90.190809
-73.0,74,90.317882
-90.0,91,90.474087
-84.0,85,90.620286
-107.0,108,90.805908
-92.0,93,90.965599
-83.0,84,91.109906
-83.0,84,91.254074
-101.0,102,91.429256
-89.0,90,91.583683
-91.0,92,91.741507
-129.0,130,91.964799
-96.0,97,92.131199
-76.0,77,92.263409
-102.0,103,92.440091
-83.0,84,92.584079
-92.0,93,92.745411
-132.0,133,92.97436
-83.0,84,93.118925
-86.0,87,94.930003
-78.0,79,95.061691
-98.0,99,95.226496
-82.0,83,95.36471
-84.0,85,95.506234
-75.0,76,95.632959
-112.0,113,95.82103
-160.0,161,96.089235
-95.0,96,96.24904
-103.0,104,96.422168
-109.0,110,96.605308
-86.0,87,96.750152
-84.0,85,96.891768
-87.0,88,97.039716
-88.0,89,97.187917
-87.0,88,97.334338
-79.0,80,97.4675
-107.0,108,97.647406
-101.0,102,97.817138
-86.0,87,97.961864
-91.0,92,98.114969
-108.0,109,98.296506
-84.0,85,100.100377
-96.0,97,100.26217
-90.0,91,100.413885
-103.0,104,100.587354
-84.0,85,100.728955
-64.0,65,100.837112
-89.0,90,100.986757
-84.0,85,101.128154
-114.0,115,101.319548
-99.0,100,101.485945
-90.0,91,101.637347
-92.0,93,101.792007
-99.0,100,101.958555
-80.0,81,102.094533
-90.0,91,102.245996
-92.0,93,102.400891
-87.0,88,102.54921
-61.0,62,102.655412
-74.0,75,102.783888
-99.0,100,102.955174
-110.0,111,103.145531
-90.0,91,103.301533
-89.0,90,105.150329
-75.0,76,105.280981
-76.0,77,105.413037
-82.0,83,105.555372
-91.0,92,105.713308
-86.0,87,105.862672
-90.0,91,106.018732
-115.0,116,106.217598
-88.0,89,106.370121
-313.0,314,106.908584
-88.0,89,107.061125
-86.0,87,107.210781
-89.0,90,107.365178
-81.0,82,107.505849
-64.0,65,107.617388
-108.0,109,107.804307
-87.0,88,107.955288
-110.0,111,108.145573
-90.0,91,108.301584
-93.0,94,108.462734
-78.0,79,108.598192
-98.0,99,110.456457
-102.0,103,110.633539
-118.0,119,110.83817
-85.0,86,110.986093
-105.0,106,111.168251
-71.0,72,111.292014
-75.0,76,111.422633
-72.0,73,111.548192
-76.0,77,111.680465
-105.0,106,111.862572
-92.0,93,112.022382
-105.0,106,112.204531
-113.0,114,112.401893
-83.0,84,112.546313
-100.0,101,112.719834
-113.0,114,112.915861
-86.0,87,113.065367
-84.0,85,113.211334
-64.0,65,113.322983
-85.0,86,113.470793
-89.0,90,113.625761
-100.0,101,113.799576
-72.0,73,115.593534
-226.0,227,115.971291
-83.0,84,116.110988
-134.0,135,116.335566
-103.0,104,116.508461
-105.0,106,116.684767
-79.0,80,116.817851
-92.0,93,116.972439
-87.0,88,117.118971
-81.0,82,117.255414
-82.0,83,117.394825
-64.0,65,117.50301
-91.0,92,117.656034
-64.0,65,117.764407
-75.0,76,117.890902
-73.0,74,118.013965
-113.0,114,118.203694
-94.0,95,118.361753
-82.0,83,118.500092
-97.0,98,118.668013
-85.0,86,118.815362
-76.0,77,120.610662
-83.0,84,120.750751
-63.0,64,120.857484
-82.0,83,120.995868
-81.0,82,121.132444
-75.0,76,121.259133
-75.0,76,121.385932
-93.0,94,121.542468
-65.0,66,121.652444
-74.0,75,121.777546
-107.0,108,121.957578
-72.0,73,122.079129
-72.0,73,122.200797
-168.0,169,122.482593
-120.0,121,122.684324
-75.0,76,122.810938
-76.0,77,122.939272
-75.0,76,123.065863
-76.0,77,123.194093
-90.0,91,123.345877
-100.0,101,123.515401
-82.0,83,123.653713
-97.0,98,123.817077
-101.0,102,123.987094
-86.0,87,125.794639
-77.0,78,125.924614
-123.0,124,126.131154
-78.0,79,126.26264
-97.0,98,126.425856
-81.0,82,126.564529
-65.0,66,126.677575
-86.0,87,126.827044
-81.0,82,126.967718
-100.0,101,127.140963
-79.0,80,127.278102
-80.0,81,127.417004
-176.0,177,127.721241
-117.0,118,127.924089
-75.0,76,128.054703
-113.0,114,128.250557
-124.0,125,128.465434
-81.0,82,128.606372
-92.0,93,128.766152
-90.0,91,128.922472
-94.0,95,129.08565
