#{"t_start": 1773132153.4243302, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,2.537082
-500.0,500,3.451758
-500.0,500,4.36803
-500.0,500,5.272522
-500.0,500,8.431834
-500.0,500,9.324619
-500.0,500,10.283803
-500.0,500,11.232855
-500.0,500,14.231686
-500.0,500,15.21345
-500.0,500,16.151442
-500.0,500,17.166223
-500.0,500,20.33516
-500.0,500,21.386999
-500.0,500,22.414843
-500.0,500,23.379933
-500.0,500,26.636529
-500.0,500,27.572018
-466.0,467,28.59501
-500.0,500,29.653343
-500.0,500,32.802089
-485.0,486,33.758956
-298.0,299,34.403792
-343.0,344,35.089212
-461.0,462,36.000689
-340.0,341,38.807606
-410.0,411,39.699339
-500.0,500,40.739388
-212.0,213,41.174536
-313.0,314,41.842098
-417.0,418,42.742342
-373.0,374,45.898212
-246.0,247,46.438503
-192.0,193,46.82504
-293.0,294,47.422061
-212.0,213,47.813233
-352.0,353,48.462594
-258.0,259,48.923037
-338.0,339,51.601064
-185.0,186,51.931297
-255.0,256,52.399166
-146.0,147,52.667635
-194.0,195,53.023168
-208.0,209,53.405162
-237.0,238,53.843498
-201.0,202,54.202293
-248.0,249,54.644617
-202.0,203,55.01229
-216.0,217,57.494936
-195.0,196,57.86177
-190.0,191,58.21136
-229.0,230,58.632067
-210.0,211,59.018474
-223.0,224,59.456272
-215.0,216,59.90621
-162.0,163,60.204515
-158.0,159,60.495421
-141.0,142,60.754445
-213.0,214,63.216764
-145.0,146,63.507668
-199.0,200,63.921169
-167.0,168,64.263037
-212.0,213,64.693659
-154.0,155,64.995475
-186.0,187,65.364056
-163.0,164,65.695605
-119.0,120,65.964679
-184.0,185,66.383929
-167.0,168,66.761738
-126.0,127,67.052613
-156.0,157,69.788597
-139.0,140,70.071892
-114.0,115,70.296587
-117.0,118,70.522692
-144.0,145,70.800339
-120.0,121,71.032758
-121.0,122,71.26471
-120.0,121,71.49306
-129.0,130,71.738085
-129.0,130,71.981402
-243.0,244,72.439336
-149.0,150,72.721624
-196.0,197,73.096441
-138.0,139,73.360065
-105.0,106,73.560085
-126.0,127,76.039259
-133.0,134,76.290009
-180.0,181,76.630611
-119.0,120,76.856196
-114.0,115,77.076841
-125.0,126,77.313748
-200.0,201,77.694349
-156.0,157,77.98706
-153.0,154,78.271431
-129.0,130,78.511337
-130.0,131,78.753795
-175.0,176,79.079286
-213.0,214,79.477771
-146.0,147,81.797682
-103.0,104,81.987526
-124.0,125,82.215629
-111.0,112,82.421826
-110.0,111,82.630083
-115.0,116,82.83533
-459.0,460,83.660435
-125.0,126,83.889971
-102.0,103,84.077972
-217.0,218,84.476031
-103.0,104,84.665602
-149.0,150,84.939351
-109.0,110,85.142412
-110.0,111,85.349597
-104.0,105,87.586094
-139.0,140,87.83376
-103.0,104,88.017427
-104.0,105,88.202804
-89.0,90,88.361542
-84.0,85,88.511314
-104.0,105,88.696353
-92.0,93,88.860272
-101.0,102,89.044768
-91.0,92,89.212592
-147.0,148,89.518438
-118.0,119,89.826312
-118.0,119,90.070441
-90.0,91,90.236696
-146.0,147,90.504724
-143.0,144,90.770404
-104.0,105,90.964686
-121.0,122,91.179786
-101.0,102,93.411788
-95.0,96,93.591545
-100.0,101,93.776796
