#{"t_start": 1773131770.5030472, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,2.341872
-500.0,500,3.074416
-500.0,500,3.803993
-500.0,500,4.541593
-500.0,500,6.954154
-500.0,500,7.696141
-500.0,500,8.434059
-500.0,500,9.166451
-500.0,500,11.391583
-500.0,500,12.116377
-500.0,500,12.845601
-500.0,500,13.575869
-500.0,500,15.795994
-500.0,500,16.526397
-500.0,500,17.263891
-500.0,500,17.991522
-500.0,500,20.194879
-500.0,500,20.931074
-466.0,467,21.619846
-500.0,500,22.355261
-500.0,500,24.565265
-485.0,486,25.279917
-298.0,299,25.720512
-343.0,344,26.224402
-461.0,462,26.891941
-340.0,341,28.777375
-410.0,411,29.351943
-500.0,500,30.066761
-212.0,213,30.377439
-313.0,314,30.841031
-417.0,418,31.450746
-373.0,374,33.494707
-246.0,247,33.861635
-192.0,193,34.145319
-293.0,294,34.582547
-212.0,213,34.894068
-352.0,353,35.412629
-258.0,259,35.791758
-338.0,339,37.756643
-185.0,186,38.026301
-255.0,256,38.398827
-146.0,147,38.614362
-270.0,271,39.012108
-243.0,244,39.367439
-225.0,226,39.695122
-207.0,208,40.000934
-193.0,194,40.287075
-227.0,228,42.095563
-206.0,207,42.401533
-222.0,223,42.733645
-225.0,226,43.076258
-138.0,139,43.289149
-245.0,246,43.668539
-216.0,217,44.003645
-177.0,178,44.278416
-167.0,168,44.54169
-206.0,207,44.859636
-159.0,160,45.097378
-165.0,166,46.824129
-172.0,173,47.084853
-141.0,142,47.293162
-135.0,136,47.495345
-124.0,125,47.68142
-166.0,167,47.927949
-180.0,181,48.195332
-162.0,163,48.435829
-134.0,135,48.637388
-130.0,131,48.832295
-137.0,138,49.041546
-215.0,216,49.376762
-214.0,215,51.191105
-155.0,156,51.421129
-128.0,129,51.610807
-121.0,122,51.793067
-178.0,179,52.060761
-153.0,154,52.290092
-158.0,159,52.526886
-225.0,226,52.862715
-151.0,152,53.087274
-133.0,134,53.284594
-140.0,141,53.499576
-129.0,130,53.701827
-121.0,122,53.884361
-137.0,138,54.099888
-124.0,125,55.797682
-120.0,121,55.990998
-112.0,113,56.170711
-106.0,107,56.337989
-156.0,157,56.585379
-105.0,106,56.746776
-125.0,126,56.936078
-133.0,134,57.14989
-103.0,104,57.310871
-120.0,121,57.492602
-120.0,121,57.680849
-162.0,163,57.931988
-137.0,138,58.142862
-153.0,154,58.377872
-137.0,138,58.581352
-153.0,154,58.815415
-95.0,96,60.433557
-136.0,137,60.632461
-110.0,111,60.792912
-132.0,133,60.989348
-87.0,88,61.118445
-124.0,125,61.299482
-125.0,126,61.483521
-108.0,109,61.641264
-92.0,93,61.773908
-146.0,147,61.988041
-128.0,129,62.174797
-85.0,86,62.299686
-104.0,105,62.452004
-235.0,236,62.795052
-152.0,153,63.016832
-92.0,93,63.151713
-119.0,120,63.32642
-88.0,89,64.930454
-86.0,87,65.058329
-86.0,87,65.189728
-97.0,98,65.336926
-96.0,97,65.485757
-125.0,126,65.68011
-80.0,81,65.802811
-118.0,119,65.984417
-96.0,97,66.138999
-132.0,133,66.343253
-112.0,113,66.516547
-124.0,125,66.70489
-104.0,105,66.856025
-97.0,98,66.997973
-119.0,120,67.181872
-106.0,107,67.351994
-105.0,106,67.510137
-98.0,99,67.659427
-104.0,105,67.819186
-105.0,106,69.438368
-94.0,95,69.576889
-92.0,93,69.710776
-114.0,115,69.877073
-83.0,84,69.999514
-115.0,116,70.167927
-124.0,125,70.349226
-116.0,117,70.519143
-129.0,130,70.711361
-94.0,95,70.849296
-101.0,102,70.996647
-97.0,98,71.145091
-87.0,88,71.279865
-113.0,114,71.453935
-98.0,99,71.608334
-84.0,85,71.737449
-108.0,109,71.904995
-91.0,92,72.046321
-99.0,100,72.200266
-116.0,117,72.374227
-95.0,96,73.979145
-80.0,81,74.098971
-85.0,86,74.22809
-88.0,89,74.361654
-78.0,79,74.477219
-84.0,85,74.599492
-98.0,99,74.749485
-95.0,96,74.895152
-116.0,117,75.063756
-171.0,172,75.323118
-85.0,86,75.454751
-108.0,109,75.620828
-115.0,116,75.799293
-102.0,103,75.955097
-131.0,132,76.156561
-116.0,117,76.324813
-89.0,90,76.462569
-81.0,82,76.588792
-91.0,92,76.728717
-91.0,92,76.868075
-103.0,104,78.488692
-87.0,88,78.614457
-79.0,80,78.736726
-92.0,93,78.873178
-89.0,90,79.008302
-90.0,91,79.143942
-83.0,84,79.263184
-80.0,81,79.383201
-70.0,71,79.4955
-85.0,86,79.62743
-84.0,85,79.759071
-75.0,76,79.872413
-83.0,84,79.997113
-101.0,102,80.153864
-90.0,91,80.292794
-109.0,110,80.45544
-132.0,133,80.653462
-84.0,85,80.783489
-77.0,78,80.902499
-86.0,87,81.038883
-91.0,92,81.182083
-97.0,98,81.336666
-79.0,80,81.456317
-91.0,92,83.076723
-80.0,81,83.195131
-63.0,64,83.293032
-104.0,105,83.451213
-68.0,69,83.558576
-82.0,83,83.685467
-90.0,91,83.824658
-102.0,103,83.983183
-120.0,121,84.167437
-105.0,106,84.329712
-81.0,82,84.454401
-110.0,111,84.627236
-94.0,95,84.771297
-88.0,89,84.905545
-87.0,88,85.038624
-102.0,103,85.189513
-113.0,114,85.359139
-76.0,77,85.475825
-197.0,198,85.777186
-104.0,105,85.930012
-108.0,109,86.09881
-84.0,85,87.688345
-102.0,103,87.835643
-117.0,118,88.005662
-111.0,112,88.171433
-107.0,108,88.327669
-93.0,94,88.462755
-63.0,64,88.554446
-111.0,112,88.715189
-90.0,91,88.847099
-82.0,83,88.967819
-73.0,74,89.07904
-91.0,92,89.213406
-128.0,129,89.39824
-81.0,82,89.520128
-135.0,136,89.725044
-88.0,89,89.856857
-74.0,75,89.968001
-97.0,98,90.11447
-96.0,97,90.260359
-102.0,103,90.412194
-81.0,82,90.534267
-114.0,115,92.176657
-95.0,96,92.316366
-83.0,84,92.438256
-154.0,155,92.666105
-95.0,96,92.808473
-98.0,99,92.953409
-96.0,97,93.094078
-79.0,80,93.210979
-87.0,88,93.339657
-84.0,85,93.463644
-144.0,145,93.67622
-82.0,83,93.797256
-100.0,101,93.946187
-82.0,83,94.065399
-78.0,79,94.182223
-134.0,135,94.379668
-102.0,103,94.530914
-85.0,86,94.657855
-79.0,80,94.772131
-82.0,83,94.895219
-88.0,89,95.026047
-71.0,72,96.613189
-73.0,74,96.72052
-79.0,80,96.839049
-94.0,95,96.978843
-88.0,89,97.109893
-99.0,100,97.256325
-109.0,110,97.415903
-93.0,94,97.55391
-74.0,75,97.662741
-96.0,97,97.804264
-81.0,82,97.923969
-81.0,82,98.044029
-150.0,151,98.267281
-76.0,77,98.379351
-113.0,114,98.547101
-101.0,102,98.697387
-81.0,82,98.817021
-91.0,92,98.953707
-107.0,108,99.111425
-89.0,90,99.241951
-84.0,85,99.36612
-75.0,76,99.47454
-111.0,112,101.118155
-99.0,100,101.2616
-117.0,118,101.434331
-76.0,77,101.544785
-64.0,65,101.644814
-71.0,72,101.752377
-83.0,84,101.877108
-83.0,84,102.001956
-74.0,75,102.113952
-120.0,121,102.29353
-109.0,110,102.459379
-80.0,81,102.580853
-86.0,87,102.709909
-75.0,76,102.821891
-87.0,88,102.951601
-122.0,123,103.133048
-81.0,82,103.254881
-72.0,73,103.365321
-69.0,70,103.465757
-96.0,97,103.610702
-69.0,70,103.713007
-63.0,64,103.807093
-78.0,79,103.924515
-89.0,90,105.543627
-90.0,91,105.677626
-95.0,96,105.81621
-77.0,78,105.932798
-62.0,63,106.025493
-79.0,80,106.143379
-72.0,73,106.250849
-63.0,64,106.345136
-131.0,132,106.539322
-98.0,99,106.684971
-73.0,74,106.796946
-66.0,67,106.895861
-89.0,90,107.029053
-94.0,95,107.170145
-88.0,89,107.305018
-81.0,82,107.427898
-91.0,92,107.564152
-76.0,77,107.680967
-99.0,100,107.831532
-92.0,93,107.967593
-110.0,111,108.134965
-109.0,110,108.29794
-77.0,78,108.412676
-95.0,96,108.553648
-78.0,79,110.176769
-92.0,93,110.310644
-98.0,99,110.45348
-76.0,77,110.564996
-94.0,95,110.708385
-76.0,77,110.825422
-88.0,89,110.959172
-77.0,78,111.07507
-63.0,64,111.171755
-83.0,84,111.299107
-70.0,71,111.406434
-120.0,121,111.584021
-78.0,79,111.700023
-76.0,77,111.812427
-89.0,90,111.941878
-79.0,80,112.056308
-73.0,74,112.163688
-92.0,93,112.300097
-78.0,79,112.424825
-105.0,106,112.585938
-90.0,91,112.725832
-68.0,69,112.826107
-123.0,124,113.003547
