#{"t_start": 1773206405.256942, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.421881
-500.0,500,4.784908
-500.0,500,6.103423
-500.0,500,7.421804
-500.0,500,11.576595
-500.0,500,12.908219
-500.0,500,14.239108
-500.0,500,15.571509
-500.0,500,19.095237
-500.0,500,20.183472
-500.0,500,21.27032
-500.0,500,22.358442
-500.0,500,25.6569
-500.0,500,26.74341
-500.0,500,27.831107
-500.0,500,28.923087
-500.0,500,32.22571
-500.0,500,33.338649
-466.0,467,34.355302
-500.0,500,35.441603
-500.0,500,38.726125
-485.0,486,39.78858
-298.0,299,40.437956
-343.0,344,41.188846
-461.0,462,42.197733
-340.0,341,45.135648
-410.0,411,46.029558
-500.0,500,47.141546
-212.0,213,47.625731
-313.0,314,48.319133
-417.0,418,49.227202
-373.0,374,52.245269
-246.0,247,52.783083
-192.0,193,53.203934
-293.0,294,53.84443
-212.0,213,54.309452
-352.0,353,55.079655
-258.0,259,55.642741
-338.0,339,58.579488
-185.0,186,58.985333
-243.0,244,59.517035
-173.0,174,59.896956
-193.0,194,60.319447
-323.0,324,61.02386
-204.0,205,61.469514
-176.0,177,61.854376
-166.0,167,62.224924
-227.0,228,62.721491
-149.0,150,65.245773
-186.0,187,65.654188
-189.0,190,66.070105
-155.0,156,66.408683
-183.0,184,66.807992
-214.0,215,67.274539
-176.0,177,67.660782
-169.0,170,68.030051
-221.0,222,68.511836
-183.0,184,68.913114
-201.0,202,69.351452
-149.0,150,71.877306
-155.0,156,72.216337
-160.0,161,72.567502
-185.0,186,72.971338
-187.0,188,73.379978
-171.0,172,73.755154
-165.0,166,74.11713
-198.0,199,74.550316
-131.0,132,74.837349
-140.0,141,75.143286
-156.0,157,75.48521
-175.0,176,75.867424
-144.0,145,78.405486
-162.0,163,78.760135
-117.0,118,79.017307
-133.0,134,79.309369
-150.0,151,79.63795
-177.0,178,80.024529
-143.0,144,80.337211
-154.0,155,80.674206
-119.0,120,80.934479
-157.0,158,81.277233
-136.0,137,81.575318
-146.0,147,81.894425
-163.0,164,82.249898
-160.0,161,82.600341
-111.0,112,85.039348
-169.0,170,85.411449
-233.0,234,85.921438
-128.0,129,86.202459
-122.0,123,86.471484
-236.0,237,86.991147
-187.0,188,87.399585
-156.0,157,87.740393
-148.0,149,88.065724
-139.0,140,88.369821
-141.0,142,88.678134
-129.0,130,88.960373
-161.0,162,89.315452
-123.0,124,91.784162
-171.0,172,92.175622
-104.0,105,92.416316
-114.0,115,92.678925
-158.0,159,93.034487
-181.0,182,93.429404
-116.0,117,93.683013
-127.0,128,93.964929
-165.0,166,94.325258
-105.0,106,94.55504
-125.0,126,94.828729
-107.0,108,95.063066
-167.0,168,95.427879
-112.0,113,95.673256
-125.0,126,95.946753
-106.0,107,98.378116
-102.0,103,98.602115
-182.0,183,99.002807
-144.0,145,99.321353
-152.0,153,99.654079
-114.0,115,99.904275
-108.0,109,100.140936
-142.0,143,100.451588
-128.0,129,100.731661
-123.0,124,101.000967
-106.0,107,101.23314
-126.0,127,101.508623
-107.0,108,101.7446
-153.0,154,102.079548
-137.0,138,102.378924
-104.0,105,102.606682
-115.0,116,105.054774
-121.0,122,105.320034
-102.0,103,105.543659
-100.0,101,105.7634
-113.0,114,106.011406
-500.0,500,107.108685
-101.0,102,107.331303
-97.0,98,107.543916
-100.0,101,107.763153
-160.0,161,108.113378
-99.0,100,108.332165
-120.0,121,108.59536
-105.0,106,108.825501
-110.0,111,109.066491
-109.0,110,109.305223
-94.0,95,111.71297
-242.0,243,112.244145
-113.0,114,112.492217
-112.0,113,112.737525
-89.0,90,112.932884
-90.0,91,113.130839
-81.0,82,113.308561
-82.0,83,113.489957
-110.0,111,113.730842
-152.0,153,114.064111
-108.0,109,114.300536
-117.0,118,114.557048
-100.0,101,114.776204
-118.0,119,115.034333
-98.0,99,115.250517
-91.0,92,115.45034
-119.0,120,115.71097
-76.0,77,115.878023
-102.0,103,118.299409
-86.0,87,118.491397
-78.0,79,118.66334
-103.0,104,118.890017
-96.0,97,119.103045
-90.0,91,119.301511
-103.0,104,119.528979
-96.0,97,119.740634
-102.0,103,119.964069
-103.0,104,120.19031
-71.0,72,120.346624
-92.0,93,120.54915
-104.0,105,120.777146
-84.0,85,120.961809
-100.0,101,121.180974
-115.0,116,121.43311
-119.0,120,121.694127
-79.0,80,121.867845
-73.0,74,122.03498
-85.0,86,122.222177
-91.0,92,122.423722
-75.0,76,122.589292
-79.0,80,124.963132
-96.0,97,125.17451
-106.0,107,125.407358
-115.0,116,125.660424
-89.0,90,125.856174
-86.0,87,126.04539
-107.0,108,126.279953
-84.0,85,126.464448
-96.0,97,126.67537
-148.0,149,127.000253
-114.0,115,127.250102
-113.0,114,127.498118
-85.0,86,127.685364
-77.0,78,127.854583
-93.0,94,128.058564
-93.0,94,128.262487
-89.0,90,128.458398
-89.0,90,128.653992
-102.0,103,128.877624
-84.0,85,129.062108
-88.0,89,129.255201
-76.0,77,131.622365
-80.0,81,131.799479
-87.0,88,131.990989
-88.0,89,132.184814
-93.0,94,132.388985
-64.0,65,132.531408
-98.0,99,132.746464
-92.0,93,132.948148
-79.0,80,133.121769
-77.0,78,133.291023
-115.0,116,133.543172
-113.0,114,133.794425
-66.0,67,133.939976
-77.0,78,134.109223
-75.0,76,134.274341
-108.0,109,134.511126
-80.0,81,134.687124
-94.0,95,134.89443
-86.0,87,135.083405
-172.0,173,135.460963
-91.0,92,135.660706
-82.0,83,135.840685
-84.0,85,136.02503
-122.0,123,138.500734
-162.0,163,138.858241
-104.0,105,139.087946
-77.0,78,139.257536
-87.0,88,139.448754
-77.0,78,139.618553
-89.0,90,139.814221
-124.0,125,140.086139
-99.0,100,140.303526
-86.0,87,140.493063
-93.0,94,140.697078
-80.0,81,140.872904
-82.0,83,141.053387
-80.0,81,141.23051
-96.0,97,141.441322
-81.0,82,141.619555
-96.0,97,141.83051
-94.0,95,142.036758
-91.0,92,142.236524
-117.0,118,142.493111
-153.0,154,145.027158
-78.0,79,145.199171
-84.0,85,145.384157
-130.0,131,145.669642
-83.0,84,145.852622
-99.0,100,146.069602
-72.0,73,146.228096
-79.0,80,146.402292
-153.0,154,146.737107
-99.0,100,146.954186
-118.0,119,147.212499
-83.0,84,147.395283
-78.0,79,147.566688
-68.0,69,147.718292
-98.0,99,147.932884
-91.0,92,148.132742
-107.0,108,148.367193
-92.0,93,148.569067
-94.0,95,148.775138
-64.0,65,148.916237
-283.0,284,151.730129
-89.0,90,151.926378
-107.0,108,152.169241
-100.0,101,152.390477
-85.0,86,152.577635
-86.0,87,152.766889
-96.0,97,152.977737
-115.0,116,153.230079
-104.0,105,153.45843
-103.0,104,153.685482
-94.0,95,153.892044
-108.0,109,154.13036
-77.0,78,154.299756
-95.0,96,154.512098
-75.0,76,154.67681
-75.0,76,154.841437
-87.0,88,155.032491
-83.0,84,155.21467
-89.0,90,155.412877
-76.0,77,155.579788
-83.0,84,155.763165
-69.0,70,155.91522
-91.0,92,158.313239
-75.0,76,158.479858
-105.0,106,158.71027
-73.0,74,158.871628
-127.0,128,159.149257
-72.0,73,159.307372
-83.0,84,159.490343
-75.0,76,159.655285
-92.0,93,159.858468
-152.0,153,160.19365
-81.0,82,160.371504
-83.0,84,160.555124
-100.0,101,160.776481
-99.0,100,160.993078
-94.0,95,161.200289
-87.0,88,161.390722
-92.0,93,161.592005
-93.0,94,161.795475
-78.0,79,161.967749
-236.0,237,162.481395
-77.0,78,162.650519
-157.0,158,165.194531
-62.0,63,165.331853
-97.0,98,165.546708
-107.0,108,165.781991
-74.0,75,165.945252
-93.0,94,166.150275
-74.0,75,166.316197
-84.0,85,166.502687
-121.0,122,166.770968
-70.0,71,166.925446
-86.0,87,167.127463
-107.0,108,167.362947
-85.0,86,167.549889
-80.0,81,167.726403
-110.0,111,167.967956
-96.0,97,168.178804
-71.0,72,168.335306
-93.0,94,168.539642
-75.0,76,168.705215
-93.0,94,168.909636
-92.0,93,169.11174
-61.0,62,169.246437
