#{"t_start": 1773170041.9847488, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,1.453899
-500.0,500,1.903341
-500.0,500,2.346711
-500.0,500,2.789301
-500.0,500,4.332931
-500.0,500,4.776844
-500.0,500,5.221592
-500.0,500,5.667149
-500.0,500,7.092084
-500.0,500,7.537167
-500.0,500,7.981476
-500.0,500,8.426268
-500.0,500,9.849369
-500.0,500,10.293109
-500.0,500,10.738365
-500.0,500,11.182473
-500.0,500,12.60872
-500.0,500,13.053159
-466.0,467,13.469607
-500.0,500,13.913539
-500.0,500,15.335424
-485.0,486,15.768654
-298.0,299,16.034206
-343.0,344,16.340428
-461.0,462,16.750548
-340.0,341,18.032126
-410.0,411,18.396153
-500.0,500,18.840297
-212.0,213,19.029233
-313.0,314,19.307164
-417.0,418,19.677943
-373.0,374,20.990867
-246.0,247,21.209739
-192.0,193,21.380738
-293.0,294,21.6409
-212.0,213,21.830404
-352.0,353,22.142915
-258.0,259,22.372226
-338.0,339,23.650818
-185.0,186,23.816175
-243.0,244,24.033133
-173.0,174,24.187771
-193.0,194,24.361254
-323.0,324,24.649112
-204.0,205,24.831471
-176.0,177,24.988789
-166.0,167,25.137247
-227.0,228,25.340007
-149.0,150,26.453534
-186.0,187,26.619315
-189.0,190,26.787982
-155.0,156,26.926398
-183.0,184,27.090368
-214.0,215,27.281139
-176.0,177,27.438174
-169.0,170,27.589011
-221.0,222,27.785836
-183.0,184,27.949088
-201.0,202,28.130709
-149.0,150,29.242693
-155.0,156,29.381365
-160.0,161,29.524146
-185.0,186,29.689243
-187.0,188,29.856799
-171.0,172,30.009559
-165.0,166,30.156937
-198.0,199,30.333625
-144.0,145,30.462365
-184.0,185,30.626415
-162.0,163,30.770934
-210.0,211,31.937896
-165.0,166,32.085031
-120.0,121,32.192217
-121.0,122,32.300145
-127.0,128,32.413438
-142.0,143,32.539838
-113.0,114,32.64088
-99.0,100,32.729555
-110.0,111,32.828136
-113.0,114,32.92943
-107.0,108,33.025522
-122.0,123,33.134929
-150.0,151,33.269033
-149.0,150,33.402465
-153.0,154,33.539199
-184.0,185,33.703476
-106.0,107,34.776344
-97.0,98,34.863791
-120.0,121,34.971333
-175.0,176,35.127034
-174.0,175,35.282062
