#{"t_start": 1772786128.2471497, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.101241
-500.0,500,4.262484
-500.0,500,5.414021
-500.0,500,6.569193
-500.0,500,10.344013
-500.0,500,11.500297
-500.0,500,12.655011
-500.0,500,13.813852
-500.0,500,17.39202
-500.0,500,18.547955
-500.0,500,19.702335
-500.0,500,20.85758
-500.0,500,24.434777
-500.0,500,25.589933
-500.0,500,26.745956
-500.0,500,27.907218
-500.0,500,31.487643
-500.0,500,32.645956
-466.0,467,33.725586
-500.0,500,34.879827
-500.0,500,38.45281
-485.0,486,39.576036
-298.0,299,40.266245
-343.0,344,41.060828
-461.0,462,42.127395
-340.0,341,45.336971
-410.0,411,46.286847
-500.0,500,47.442229
-212.0,213,47.935306
-313.0,314,48.66104
-417.0,418,49.626542
-373.0,374,52.912556
-246.0,247,53.48535
-192.0,193,53.931495
-293.0,294,54.610524
-212.0,213,55.102402
-352.0,353,55.918777
-258.0,259,56.517673
-338.0,339,59.725951
-185.0,186,60.15619
-255.0,256,60.74774
-146.0,147,61.087162
-194.0,195,61.537542
-208.0,209,62.021368
-237.0,238,62.571357
-201.0,202,63.037831
-248.0,249,63.612751
-202.0,203,64.082731
-216.0,217,67.004462
-195.0,196,67.457365
-190.0,191,67.900054
-229.0,230,68.431557
-210.0,211,68.918886
-223.0,224,69.436382
-215.0,216,69.935376
-162.0,163,70.312097
-158.0,159,70.679323
-141.0,142,71.007833
-213.0,214,73.931108
-145.0,146,74.268362
-199.0,200,74.730328
-167.0,168,75.117493
-212.0,213,75.608422
-154.0,155,75.965747
-186.0,187,76.397049
-163.0,164,76.775571
-119.0,120,77.052534
-184.0,185,77.480168
-167.0,168,77.867521
-126.0,127,78.160231
-156.0,157,80.944462
-139.0,140,81.268087
-114.0,115,81.534802
-117.0,118,81.807428
-144.0,145,82.142164
-120.0,121,82.421488
-121.0,122,82.702879
-120.0,121,82.982072
-129.0,130,83.282117
-129.0,130,83.582055
-243.0,244,84.144981
-149.0,150,84.492527
-196.0,197,84.947477
-138.0,139,85.268281
-105.0,106,85.512869
-126.0,127,88.239701
-133.0,134,88.549725
-180.0,181,88.968437
-119.0,120,89.245498
-114.0,115,89.511127
-125.0,126,89.802136
-200.0,201,90.26649
-156.0,157,90.629122
-153.0,154,90.984823
-130.0,131,91.287426
-116.0,117,91.557656
-103.0,104,91.798278
-122.0,123,92.08258
-171.0,172,92.479833
-141.0,142,95.224492
-130.0,131,95.526625
-160.0,161,95.898111
-91.0,92,96.11131
-103.0,104,96.35092
-125.0,126,96.641665
