#{"t_start": 1773158076.9219964, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,2.471968
-500.0,500,3.359159
-500.0,500,4.234649
-500.0,500,5.114821
-500.0,500,7.956827
-500.0,500,8.839195
-500.0,500,9.716652
-500.0,500,10.594742
-500.0,500,13.274896
-500.0,500,14.156422
-500.0,500,15.033856
-500.0,500,15.912934
-500.0,500,18.592372
-500.0,500,19.460641
-500.0,500,20.339875
-500.0,500,21.216192
-500.0,500,23.893092
-500.0,500,24.780354
-466.0,467,25.606061
-500.0,500,26.486176
-500.0,500,29.163809
-485.0,486,30.017286
-298.0,299,30.543455
-343.0,344,31.147147
-461.0,462,31.958627
-340.0,341,34.3649
-410.0,411,35.088956
-500.0,500,35.970828
-212.0,213,36.347501
-313.0,314,36.899446
-417.0,418,37.635129
-373.0,374,40.108226
-246.0,247,40.541683
-192.0,193,40.882093
-293.0,294,41.399637
-212.0,213,41.773216
-352.0,353,42.394538
-258.0,259,42.850894
-338.0,339,45.256703
-185.0,186,45.584782
-255.0,256,46.036183
-146.0,147,46.295377
-270.0,271,46.772846
-243.0,244,47.202979
-225.0,226,47.60191
-207.0,208,47.968795
-193.0,194,48.312848
-227.0,228,50.514022
-206.0,207,50.878952
-222.0,223,51.270679
-225.0,226,51.670351
-138.0,139,51.9148
-245.0,246,52.348111
-216.0,217,52.730733
-177.0,178,53.042862
-167.0,168,53.33924
-206.0,207,53.702127
-159.0,160,53.986088
-165.0,166,56.088069
-172.0,173,56.391832
-141.0,142,56.64246
-135.0,136,56.882494
-140.0,141,57.130929
-202.0,203,57.487829
-186.0,187,57.818326
-152.0,153,58.087562
-129.0,130,58.316616
-150.0,151,58.584783
-142.0,143,58.836369
-181.0,182,59.157566
-172.0,173,61.271161
-255.0,256,61.721389
-141.0,142,61.973703
-132.0,133,62.207551
-107.0,108,62.39679
-128.0,129,62.625312
-127.0,128,62.850142
-150.0,151,63.115851
-139.0,140,63.369199
-184.0,185,63.691245
-152.0,153,63.956764
-121.0,122,64.169647
-120.0,121,64.384417
-126.0,127,64.606857
-112.0,113,64.806144
-105.0,106,66.798163
-146.0,147,67.055856
-160.0,161,67.340049
-118.0,119,67.54965
-112.0,113,67.749331
-124.0,125,67.969115
-139.0,140,68.214852
-121.0,122,68.431201
-148.0,149,68.692764
-129.0,130,68.921884
-150.0,151,69.189302
-100.0,101,69.367026
-128.0,129,69.595055
-111.0,112,69.79208
-118.0,119,70.000353
-127.0,128,70.225753
-165.0,166,72.323887
-138.0,139,72.568995
-184.0,185,72.894647
-110.0,111,73.089867
-116.0,117,73.295794
-147.0,148,73.555334
-119.0,120,73.766594
-146.0,147,74.023767
-137.0,138,74.267848
-107.0,108,74.457618
-154.0,155,74.729798
-107.0,108,74.921262
-114.0,115,75.12305
-156.0,157,75.399703
-107.0,108,75.59014
-265.0,266,77.865788
-152.0,153,78.137738
-93.0,94,78.305613
-86.0,87,78.46105
-102.0,103,78.64412
-96.0,97,78.817791
-91.0,92,78.980122
-81.0,82,79.1237
-134.0,135,79.361214
-90.0,91,79.520651
-83.0,84,79.667078
-111.0,112,79.863257
-106.0,107,80.050814
-129.0,130,80.279615
-120.0,121,80.492894
-103.0,104,80.675825
-101.0,102,80.856389
-158.0,159,82.940158
-87.0,88,83.094191
-96.0,97,83.266349
-101.0,102,83.445682
-92.0,93,83.608402
-106.0,107,83.797146
-89.0,90,83.956547
-122.0,123,84.173045
-91.0,92,84.334614
-151.0,152,84.601218
-106.0,107,84.789376
-131.0,132,85.02042
-115.0,116,85.225416
-102.0,103,85.405682
-94.0,95,85.571677
-92.0,93,85.736603
-87.0,88,85.890636
-113.0,114,86.090426
-93.0,94,86.255969
-127.0,128,86.482761
-153.0,154,88.563382
-113.0,114,88.765623
-90.0,91,88.925259
-118.0,119,89.134585
-113.0,114,89.336267
-129.0,130,89.565053
-116.0,117,89.770904
-95.0,96,89.94111
-94.0,95,90.109124
-112.0,113,90.307183
-93.0,94,90.472433
-93.0,94,90.63798
-92.0,93,90.800968
-101.0,102,90.9796
-91.0,92,91.142044
-79.0,80,91.284007
-96.0,97,91.455791
-77.0,78,91.592467
-81.0,82,91.738368
-109.0,110,93.742439
-86.0,87,93.893408
-87.0,88,94.045835
-90.0,91,94.206421
-95.0,96,94.376303
-98.0,99,94.550506
-132.0,133,94.785285
-114.0,115,94.989731
-117.0,118,95.197562
-101.0,102,95.375829
-88.0,89,95.533967
-81.0,82,95.677885
-98.0,99,95.851606
-73.0,74,95.981366
-99.0,100,96.158664
-95.0,96,96.326793
-86.0,87,96.479095
-85.0,86,96.629879
-128.0,129,96.858549
-108.0,109,97.050267
-116.0,117,97.256838
-181.0,182,99.386637
-112.0,113,99.585432
-92.0,93,99.748555
-104.0,105,99.932694
-85.0,86,100.08423
-101.0,102,100.264764
-99.0,100,100.441688
-99.0,100,100.618149
-102.0,103,100.798748
-75.0,76,100.933452
-89.0,90,101.09205
-108.0,109,101.283408
-100.0,101,101.459856
-80.0,81,101.602157
-85.0,86,101.754923
-74.0,75,101.887112
-86.0,87,102.039638
-96.0,97,102.209493
-79.0,80,102.35074
-65.0,66,102.46656
-82.0,83,102.612859
-97.0,98,104.587862
-161.0,162,104.872382
-122.0,123,105.090017
-81.0,82,105.233926
-70.0,71,105.358007
-103.0,104,105.540764
-106.0,107,105.729082
-80.0,81,105.870729
-87.0,88,106.024838
-104.0,105,106.210639
-95.0,96,106.379323
-76.0,77,106.514621
-156.0,157,106.790714
-120.0,121,107.003792
-100.0,101,107.180995
-140.0,141,107.429421
-87.0,88,107.584218
-104.0,105,107.768433
-88.0,89,107.924087
-66.0,67,108.041234
-82.0,83,109.988006
-89.0,90,110.147529
-79.0,80,110.289345
-86.0,87,110.441219
-86.0,87,110.594222
-82.0,83,110.74061
-83.0,84,110.889115
-113.0,114,111.089279
-92.0,93,111.251613
-78.0,79,111.391889
-110.0,111,111.588211
-75.0,76,111.721177
-71.0,72,111.846944
-85.0,86,111.997525
-110.0,111,112.192948
-100.0,101,112.369769
-82.0,83,112.514937
-114.0,115,112.717358
-97.0,98,112.889348
-78.0,79,113.028317
-76.0,77,113.164276
-88.0,89,113.321458
-108.0,109,113.512567
-63.0,64,115.436592
-135.0,136,115.676541
-118.0,119,115.887463
-92.0,93,116.051533
-65.0,66,116.167176
-86.0,87,116.320174
-105.0,106,116.507468
-89.0,90,116.664934
-83.0,84,116.811677
-102.0,103,116.991755
-85.0,86,117.144685
-75.0,76,117.277933
-88.0,89,117.433845
-80.0,81,117.576858
-99.0,100,117.75466
-75.0,76,117.888499
-84.0,85,118.038072
-98.0,99,118.210945
-80.0,81,118.354853
-92.0,93,118.518833
-92.0,93,118.681992
-84.0,85,118.830904
-109.0,110,120.832447
-89.0,90,120.992512
-89.0,90,121.150164
-81.0,82,121.293629
-97.0,98,121.465253
-80.0,81,121.608117
-106.0,107,121.795409
-91.0,92,121.95662
-89.0,90,122.115922
-127.0,128,122.341082
-98.0,99,122.515099
-80.0,81,122.657895
-82.0,83,122.804776
-102.0,103,122.985728
-103.0,104,123.169965
-79.0,80,123.309694
-122.0,123,123.525495
-134.0,135,123.760691
-101.0,102,123.9378
-94.0,95,124.105256
-72.0,73,124.234123
-216.0,217,126.416326
-93.0,94,126.581061
-91.0,92,126.741591
-146.0,147,127.001138
-80.0,81,127.141822
-98.0,99,127.313683
-73.0,74,127.443259
-72.0,73,127.572591
-97.0,98,127.7427
-85.0,86,127.891821
-99.0,100,128.068176
-105.0,106,128.255991
-92.0,93,128.417632
-96.0,97,128.588287
-84.0,85,128.73655
-89.0,90,128.895382
-98.0,99,129.068477
-81.0,82,129.211426
-103.0,104,129.393639
-82.0,83,129.539356
-77.0,78,129.674654
-75.0,76,131.608226
-110.0,111,131.803123
-93.0,94,131.967725
-94.0,95,132.134992
