#{"t_start": 1772718513.2138658, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,1.516949
-500.0,500,2.002577
-500.0,500,2.479669
-500.0,500,2.95693
-500.0,500,4.746778
-500.0,500,5.227586
-500.0,500,5.708157
-500.0,500,6.188027
-500.0,500,7.804394
-500.0,500,8.281193
-500.0,500,8.76027
-500.0,500,9.24038
-500.0,500,10.866543
-500.0,500,11.347462
-500.0,500,11.829085
-500.0,500,12.311552
-500.0,500,13.926459
-500.0,500,14.404952
-466.0,467,14.850957
-500.0,500,15.327508
-500.0,500,16.943079
-485.0,486,17.413925
-298.0,299,17.7024
-343.0,344,18.034334
-461.0,462,18.481371
-340.0,341,19.945079
-410.0,411,20.33839
-500.0,500,20.817225
-212.0,213,21.022045
-313.0,314,21.324131
-417.0,418,21.725791
-373.0,374,23.220373
-246.0,247,23.456469
-192.0,193,23.640801
-293.0,294,23.921665
-212.0,213,24.125335
-352.0,353,24.466888
-258.0,259,24.716384
-338.0,339,26.17714
-185.0,186,26.355859
-255.0,256,26.600626
-146.0,147,26.741418
-270.0,271,27.001055
-243.0,244,27.234288
-225.0,226,27.450452
-207.0,208,27.649456
-193.0,194,27.836277
-227.0,228,29.192516
-206.0,207,29.390871
-222.0,223,29.604198
-225.0,226,29.821458
-138.0,139,29.954526
-245.0,246,30.19086
-216.0,217,30.399307
-177.0,178,30.570722
-167.0,168,30.732148
-206.0,207,30.931345
-159.0,160,31.085227
-165.0,166,32.37975
-172.0,173,32.545733
-141.0,142,32.682391
-135.0,136,32.813286
-140.0,141,32.949159
-202.0,203,33.144311
-186.0,187,33.324155
-152.0,153,33.471367
-129.0,130,33.596197
-150.0,151,33.741932
-142.0,143,33.879359
-181.0,182,34.054152
-172.0,173,35.355099
-255.0,256,35.600117
-141.0,142,35.736539
-132.0,133,35.865254
-107.0,108,35.96908
-128.0,129,36.093121
-127.0,128,36.216185
-150.0,151,36.361412
-139.0,140,36.496055
-184.0,185,36.673898
-152.0,153,36.82108
-121.0,122,36.938434
-120.0,121,37.054805
-126.0,127,37.176713
-112.0,113,37.285406
-105.0,106,38.521661
-168.0,169,38.683356
-111.0,112,38.790451
-208.0,209,38.990349
-150.0,151,39.134615
-136.0,137,39.265502
-182.0,183,39.443045
-118.0,119,39.558667
-155.0,156,39.708871
-130.0,131,39.835046
-121.0,122,39.953394
-132.0,133,40.081401
-153.0,154,40.229285
-131.0,132,40.356097
-152.0,153,41.637294
-131.0,132,41.763512
-120.0,121,41.879226
-147.0,148,42.020772
-133.0,134,42.148882
-146.0,147,42.289773
-94.0,95,42.380489
-114.0,115,42.490538
-172.0,173,42.655941
-116.0,117,42.767714
-96.0,97,42.860298
-138.0,139,42.992914
-115.0,116,43.103711
-126.0,127,43.224978
-111.0,112,43.331998
-127.0,128,43.454208
-125.0,126,44.70792
-122.0,123,44.825827
-98.0,99,44.92047
-89.0,90,45.006585
-95.0,96,45.098764
-105.0,106,45.20058
-93.0,94,45.290816
-95.0,96,45.382524
-111.0,112,45.489833
-94.0,95,45.580732
-111.0,112,45.687958
-106.0,107,45.790274
-90.0,91,45.877235
-112.0,113,45.985318
-85.0,86,46.067508
-110.0,111,46.173797
-94.0,95,46.264727
-100.0,101,46.361344
-100.0,101,46.457846
-97.0,98,46.55172
-128.0,129,47.810583
-125.0,126,47.931156
-150.0,151,48.075612
-111.0,112,48.182508
-103.0,104,48.281838
-83.0,84,48.362043
-80.0,81,48.439328
-101.0,102,48.53726
-75.0,76,48.610586
-117.0,118,48.724027
-129.0,130,48.848978
-74.0,75,48.921063
-99.0,100,49.01724
-104.0,105,49.118201
-101.0,102,49.216618
-105.0,106,49.318593
-110.0,111,49.426647
-106.0,107,49.529457
-112.0,113,49.637979
-101.0,102,50.870817
-94.0,95,50.962224
-120.0,121,51.078644
-88.0,89,51.164074
-93.0,94,51.2542
-70.0,71,51.322238
-70.0,71,51.390483
