#{"t_start": 1772037163.3818645, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,1.460378
-500.0,500,1.907323
-500.0,500,2.349446
-500.0,500,2.791348
-500.0,500,4.344069
-500.0,500,4.790967
-500.0,500,5.242611
-500.0,500,5.693621
-500.0,500,7.111133
-500.0,500,7.554723
-500.0,500,7.998415
-500.0,500,8.441462
-500.0,500,9.814916
-500.0,500,10.265966
-500.0,500,10.716739
-500.0,500,11.168536
-500.0,500,12.537133
-500.0,500,12.984796
-466.0,467,13.406483
-500.0,500,13.856757
-500.0,500,15.224294
-485.0,486,15.656605
-298.0,299,15.921499
-343.0,344,16.22806
-461.0,462,16.638669
-340.0,341,17.862253
-410.0,411,18.228861
-500.0,500,18.677348
-212.0,213,18.86867
-313.0,314,19.150024
-417.0,418,19.526403
-373.0,374,20.788091
-246.0,247,21.011861
-192.0,193,21.18613
-293.0,294,21.451708
-212.0,213,21.643809
-352.0,353,21.962515
-258.0,259,22.197651
-338.0,339,23.420717
-185.0,186,23.58671
-255.0,256,23.814234
-146.0,147,23.94493
-194.0,195,24.11848
-208.0,209,24.304518
-237.0,238,24.516266
-201.0,202,24.699184
-248.0,249,24.925482
-202.0,203,25.109015
-216.0,217,26.222155
-195.0,196,26.396914
-190.0,191,26.566281
-229.0,230,26.770063
-210.0,211,26.957204
-223.0,224,27.155893
-215.0,216,27.347377
-162.0,163,27.49205
-158.0,159,27.633119
-161.0,162,27.778332
-210.0,211,28.888775
-112.0,113,28.988745
-203.0,204,29.169301
-181.0,182,29.330379
-126.0,127,29.442842
-199.0,200,29.62104
-181.0,182,29.782618
-158.0,159,29.923935
-133.0,134,30.043049
-163.0,164,30.188628
-126.0,127,30.301445
-170.0,171,30.453136
-152.0,153,30.589069
-130.0,131,31.630186
-128.0,129,31.744459
-128.0,129,31.858794
-149.0,150,31.991745
-125.0,126,32.103439
-137.0,138,32.225632
-126.0,127,32.338097
-144.0,145,32.466525
-160.0,161,32.609037
-127.0,128,32.723327
-134.0,135,32.84285
-155.0,156,32.981188
-121.0,122,33.089224
-127.0,128,33.202557
-102.0,103,33.293692
-157.0,158,34.357368
-127.0,128,34.470989
-194.0,195,34.644134
-110.0,111,34.746453
-119.0,120,34.855047
-146.0,147,34.987892
-193.0,194,35.163256
-165.0,166,35.313241
-172.0,173,35.469749
-110.0,111,35.5701
-99.0,100,35.660499
-124.0,125,35.77366
-105.0,106,35.869615
-177.0,178,36.030815
-143.0,144,37.082503
-134.0,135,37.202027
-122.0,123,37.311302
-125.0,126,37.423223
-88.0,89,37.502171
-90.0,91,37.582837
-130.0,131,37.699358
-98.0,99,37.787131
-114.0,115,37.889363
-126.0,127,38.002159
-120.0,121,38.109577
-97.0,98,38.196538
-81.0,82,38.269315
-114.0,115,38.371459
-143.0,144,38.49929
-274.0,275,38.748496
-115.0,116,38.853371
-87.0,88,39.857318
-99.0,100,39.947564
-111.0,112,40.048592
-115.0,116,40.153401
-130.0,131,40.271666
-94.0,95,40.357399
-158.0,159,40.500839
-92.0,93,40.585718
-121.0,122,40.696051
-96.0,97,40.783704
-118.0,119,40.891112
-119.0,120,40.99935
-83.0,84,41.075151
-88.0,89,41.15545
-98.0,99,41.24475
-100.0,101,41.335863
-114.0,115,41.440062
-96.0,97,41.527602
-116.0,117,41.63326
-90.0,91,42.634727
-89.0,90,42.714287
-92.0,93,42.796409
-103.0,104,42.888277
-97.0,98,42.976167
-129.0,130,43.091816
-91.0,92,43.173555
-112.0,113,43.274163
-116.0,117,43.378121
-100.0,101,43.467757
-106.0,107,43.562725
-138.0,139,43.686532
-114.0,115,43.788799
-133.0,134,43.907682
-96.0,97,43.993711
-102.0,103,44.08507
-104.0,105,44.1782
-94.0,95,44.262469
-123.0,124,44.372838
-82.0,83,45.366969
-88.0,89,45.446165
-101.0,102,45.53663
-117.0,118,45.641631
-91.0,92,45.723193
-107.0,108,45.818808
-83.0,84,45.893266
-97.0,98,45.980193
