#{"t_start": 1773132185.4980183, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,2.285685
-500.0,500,3.100414
-500.0,500,3.906639
-500.0,500,4.711425
-500.0,500,7.401744
-500.0,500,8.210715
-500.0,500,9.021188
-500.0,500,9.831041
-500.0,500,12.34483
-500.0,500,13.15123
-500.0,500,13.956771
-500.0,500,14.770259
-500.0,500,17.316475
-500.0,500,18.125284
-500.0,500,18.935427
-500.0,500,19.741115
-500.0,500,22.2475
-500.0,500,23.054697
-466.0,467,23.806899
-500.0,500,24.611562
-500.0,500,27.12512
-485.0,486,27.913133
-298.0,299,28.406501
-343.0,344,28.977967
-461.0,462,29.719551
-340.0,341,31.955555
-410.0,411,32.617732
-500.0,500,33.421357
-212.0,213,33.763827
-313.0,314,34.268217
-417.0,418,34.939117
-373.0,374,37.227214
-246.0,247,37.624146
-192.0,193,37.933973
-293.0,294,38.406274
-212.0,213,38.752496
-352.0,353,39.332716
-258.0,259,39.760001
-338.0,339,42.023186
-185.0,186,42.322693
-255.0,256,42.735306
-146.0,147,42.971613
-194.0,195,43.284997
-208.0,209,43.621335
-237.0,238,44.004692
-201.0,202,44.329262
-248.0,249,44.729642
-202.0,203,45.055922
-216.0,217,47.090503
-195.0,196,47.405068
-190.0,191,47.713264
-229.0,230,48.082373
-210.0,211,48.420999
-223.0,224,48.781201
-215.0,216,49.128479
-162.0,163,49.389957
-158.0,159,49.64549
-141.0,142,49.873372
-213.0,214,51.907511
-145.0,146,52.143023
-199.0,200,52.463542
-167.0,168,52.735869
-212.0,213,53.077453
-154.0,155,53.327431
-186.0,187,53.62826
-163.0,164,53.898891
-119.0,120,54.091914
-184.0,185,54.38932
-167.0,168,54.662042
-126.0,127,54.865935
-156.0,157,56.8247
-139.0,140,57.049352
-114.0,115,57.233932
-117.0,118,57.423145
-144.0,145,57.656733
-120.0,121,57.851956
-121.0,122,58.047677
-120.0,121,58.241618
-129.0,130,58.449848
-129.0,130,58.659914
-243.0,244,59.05244
-149.0,150,59.292923
-196.0,197,59.609006
-138.0,139,59.834414
-105.0,106,60.004427
-126.0,127,61.897619
-133.0,134,62.112841
-180.0,181,62.403048
-119.0,120,62.595615
-114.0,115,62.779948
-125.0,126,62.983293
-200.0,201,63.315333
-156.0,157,63.573944
-153.0,154,63.826843
-129.0,130,64.044484
-130.0,131,64.257806
-175.0,176,64.540195
-213.0,214,64.883973
-146.0,147,66.812698
-103.0,104,66.979567
-124.0,125,67.180304
-111.0,112,67.360663
-110.0,111,67.538851
-115.0,116,67.725071
-459.0,460,68.462291
-125.0,126,68.664172
-102.0,103,68.829617
-217.0,218,69.178928
-103.0,104,69.345351
-149.0,150,69.585519
