#{"t_start": 1772182323.467284, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.182469
7.0,80,0.293161
12.0,140,0.486709
6.0,70,0.583513
7.0,84,0.699654
1.0,16,0.721859
2.0,26,0.757874
1.0,16,0.780106
4.0,48,0.846544
7.0,80,0.957195
17.0,188,1.217074
5.0,58,1.297387
6.0,72,1.397027
10.0,116,1.55756
1.0,16,1.579787
1.0,16,1.601982
10.0,116,1.76248
9.0,104,1.906312
7.0,84,2.022516
5.0,60,2.105532
2.0,26,2.14153
12.0,140,2.335176
12.0,142,2.531866
5.0,58,2.612154
9.0,102,2.753224
2.0,26,2.789278
3.0,38,2.841901
11.0,130,7.44156
5.0,60,7.544694
3.0,38,7.600233
6.0,70,7.697724
4.0,48,7.764559
11.0,126,7.939779
5.0,60,8.023214
1.0,16,8.045392
12.0,142,8.24107
12.0,138,8.431288
10.0,116,8.59113
4.0,48,8.657282
15.0,174,8.896961
9.0,104,9.040225
5.0,60,9.12306
15.0,166,9.351795
2.0,26,9.387712
12.0,140,9.580842
9.0,102,9.723379
7.0,82,9.836739
6.0,74,9.938995
8.0,92,10.066196
1.0,16,10.088384
9.0,102,14.042176
3.0,38,14.115427
11.0,128,14.301676
5.0,58,14.381995
3.0,38,14.43482
3.0,38,14.487498
7.0,82,14.600919
15.0,166,14.830651
12.0,136,15.018777
5.0,58,15.099024
3.0,38,15.151659
15.0,166,15.381782
9.0,104,15.525575
6.0,70,15.624087
2.0,26,15.660166
7.0,82,15.773675
6.0,72,15.873339
12.0,140,16.069118
8.0,90,16.193729
7.0,80,16.304399
1.0,16,16.326568
7.0,80,16.437186
9.0,104,16.581372
4.0,48,16.647787
7.0,80,16.758429
5.0,58,16.838731
