#{"t_start": 1773069567.6682675, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.139743
7.0,80,0.22894
12.0,140,0.384989
6.0,70,0.463002
7.0,84,0.556742
1.0,16,0.574654
2.0,26,0.6037
1.0,16,0.621604
4.0,48,0.675145
7.0,80,0.764312
17.0,188,0.973986
5.0,58,1.038672
6.0,72,1.118961
10.0,116,1.248208
1.0,16,1.266081
1.0,16,1.283957
10.0,116,1.413147
9.0,104,1.528987
7.0,84,1.622557
5.0,60,1.689469
2.0,26,1.718476
12.0,140,1.874421
12.0,142,2.03257
5.0,58,2.097242
9.0,102,2.210884
2.0,26,2.239891
3.0,38,2.2822
11.0,130,4.970433
5.0,60,5.037563
3.0,38,5.077992
6.0,70,5.152424
4.0,48,5.205153
11.0,126,5.346891
7.0,82,5.439124
4.0,48,5.493073
12.0,138,5.648038
7.0,80,5.737947
6.0,70,5.816578
17.0,188,6.027459
6.0,70,6.10607
9.0,106,6.225134
12.0,140,6.382274
6.0,70,6.460927
3.0,38,6.504423
12.0,140,6.661597
15.0,176,6.860502
6.0,70,6.939087
12.0,140,7.095813
4.0,48,7.149646
17.0,192,9.755463
12.0,142,9.906672
0.0,6,9.9132
3.0,38,9.954081
7.0,82,10.043228
2.0,26,10.07102
3.0,38,10.112038
4.0,48,10.164389
11.0,128,10.307736
1.0,16,10.325777
4.0,48,10.379654
7.0,80,10.469344
15.0,178,10.668641
11.0,130,10.814178
5.0,58,10.879146
12.0,142,11.038239
6.0,70,11.11666
12.0,140,11.273605
9.0,106,11.392444
1.0,16,11.410468
5.0,58,11.475504
5.0,60,11.542759
1.0,16,11.560781
2.0,28,11.593083
9.0,106,11.711807
9.0,104,11.828015
1.0,16,11.846039
