#{"t_start": 1772717914.9933443, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.123283
7.0,80,0.230297
12.0,140,0.399677
6.0,70,0.484444
7.0,84,0.586051
1.0,16,0.605484
2.0,26,0.637127
1.0,16,0.656593
4.0,48,0.714784
7.0,80,0.81157
17.0,188,1.040134
5.0,58,1.110226
6.0,72,1.19709
10.0,116,1.337115
1.0,16,1.35652
1.0,16,1.375906
10.0,116,1.515955
9.0,104,1.641491
7.0,84,1.742887
5.0,60,1.815337
2.0,26,1.846753
12.0,140,2.015568
12.0,142,2.186835
5.0,58,2.258778
9.0,102,2.381957
2.0,26,2.41344
3.0,38,2.459332
11.0,130,5.869087
5.0,60,5.941632
3.0,38,5.985186
6.0,70,6.06549
4.0,48,6.120513
11.0,126,6.273488
7.0,82,6.373179
4.0,48,6.431528
12.0,138,6.599314
7.0,80,6.697671
6.0,70,6.782828
17.0,188,7.011468
6.0,70,7.096694
9.0,106,7.227118
12.0,140,7.397841
6.0,70,7.48301
3.0,38,7.529362
12.0,140,7.701616
15.0,176,7.916596
6.0,70,8.001994
12.0,140,8.172416
4.0,48,8.230909
17.0,192,11.675948
12.0,142,11.847411
0.0,6,11.854803
3.0,38,11.901145
8.0,90,12.010808
2.0,26,12.042592
1.0,16,12.062178
7.0,80,12.159877
4.0,48,12.21847
5.0,58,12.290383
11.0,130,12.448869
7.0,80,12.546336
1.0,16,12.565901
12.0,140,12.73639
7.0,82,12.836158
1.0,16,12.85571
12.0,136,13.021224
7.0,80,13.118721
5.0,60,13.191801
12.0,140,13.362247
6.0,70,13.447579
14.0,164,13.647234
12.0,138,13.815141
9.0,102,13.94076
