#{"t_start": 1772719317.777913, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.088448
7.0,80,0.155484
12.0,140,0.272066
6.0,70,0.332547
7.0,84,0.399989
1.0,16,0.41296
2.0,26,0.433815
1.0,16,0.446788
4.0,48,0.48543
7.0,80,0.549536
17.0,188,0.700045
5.0,58,0.746729
6.0,72,0.804758
10.0,116,0.897966
1.0,16,0.911005
1.0,16,0.924085
10.0,116,1.01737
9.0,104,1.101124
7.0,84,1.158481
5.0,60,1.199228
2.0,26,1.217096
12.0,140,1.312649
12.0,142,1.409288
5.0,58,1.448757
9.0,102,1.518403
2.0,26,1.54019
3.0,38,1.568905
11.0,130,4.179586
5.0,60,4.232553
3.0,38,4.26107
6.0,70,4.313095
4.0,48,4.348729
11.0,126,4.442244
5.0,60,4.487066
1.0,16,4.499067
12.0,142,4.604446
12.0,138,4.706801
10.0,116,4.792998
4.0,48,4.82898
15.0,174,4.958448
9.0,104,5.035586
5.0,60,5.080408
15.0,166,5.203627
2.0,26,5.223223
12.0,140,5.327394
9.0,102,5.403416
7.0,82,5.464514
6.0,74,5.519576
8.0,92,5.588177
1.0,16,5.600311
9.0,102,8.225444
3.0,38,8.260548
11.0,126,8.363993
3.0,38,8.394361
6.0,70,8.446717
11.0,130,8.543344
6.0,70,8.595773
1.0,16,8.607778
1.0,16,8.619833
6.0,70,8.672088
1.0,16,8.684282
7.0,80,8.74427
1.0,16,8.756487
6.0,70,8.808695
3.0,38,8.837139
9.0,104,8.914468
15.0,166,9.03826
3.0,38,9.066799
4.0,48,9.103208
4.0,48,9.139235
6.0,70,9.191743
5.0,60,9.236368
13.0,152,9.350207
5.0,58,9.39352
12.0,138,9.496584
4.0,48,9.532664
7.0,84,9.595633
9.0,104,9.673408
