#{"t_start": 1772184971.2693646, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.129592
7.0,80,0.228408
12.0,140,0.401207
6.0,70,0.488118
7.0,84,0.591701
1.0,16,0.611486
2.0,26,0.64365
1.0,16,0.66347
4.0,48,0.722728
7.0,80,0.821424
17.0,188,1.043844
5.0,58,1.107311
6.0,72,1.186061
10.0,116,1.312939
1.0,16,1.33051
1.0,16,1.348063
10.0,116,1.475028
9.0,104,1.588795
7.0,84,1.680781
5.0,60,1.746474
2.0,26,1.774959
12.0,140,1.928091
12.0,142,2.083552
5.0,58,2.147165
9.0,102,2.258974
2.0,26,2.287539
3.0,38,2.329228
11.0,130,4.90333
5.0,60,4.969393
3.0,38,5.011171
6.0,70,5.08802
4.0,48,5.140701
11.0,126,5.278957
7.0,82,5.368945
4.0,48,5.421756
12.0,138,5.573169
7.0,80,5.661016
6.0,70,5.737849
17.0,188,5.94422
6.0,70,6.02122
9.0,106,6.137669
12.0,140,6.291345
6.0,70,6.368228
3.0,38,6.410031
12.0,140,6.563865
15.0,176,6.75727
6.0,70,6.83436
12.0,140,6.98828
4.0,48,7.041037
18.0,202,9.571441
1.0,16,9.589114
9.0,104,9.70329
16.0,178,9.898569
9.0,104,10.01282
17.0,192,10.223536
6.0,70,10.302359
2.0,26,10.331035
8.0,90,10.429915
1.0,16,10.447576
13.0,150,10.612308
5.0,60,10.678612
7.0,82,10.768785
6.0,70,10.845743
11.0,128,10.986431
7.0,82,11.076569
6.0,70,11.153459
7.0,80,11.246291
1.0,16,11.264049
5.0,58,11.327847
11.0,130,11.470698
2.0,28,11.501487
9.0,102,11.61341
