#{"t_start": 1772194898.9547105, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.921806
7.0,80,0.994826
12.0,140,1.122334
6.0,70,1.186748
7.0,84,1.263062
1.0,16,1.277689
2.0,26,1.30138
1.0,16,1.315991
4.0,48,1.359712
7.0,80,1.432484
17.0,188,1.603189
5.0,58,1.65592
6.0,72,1.721344
10.0,116,1.827374
1.0,16,1.841988
1.0,16,1.856708
10.0,116,1.962466
9.0,104,2.056968
7.0,84,2.133562
5.0,60,2.188313
2.0,26,2.212106
12.0,140,2.339564
12.0,142,2.468867
5.0,58,2.52167
9.0,102,2.614617
2.0,26,2.638297
3.0,38,2.677194
11.0,130,142.531627
5.0,60,142.585917
3.0,38,142.620229
6.0,70,142.683198
4.0,48,142.726479
11.0,126,142.839451
5.0,60,142.893332
1.0,16,142.907798
12.0,142,143.035097
12.0,138,143.158851
10.0,116,143.263017
4.0,48,143.306726
15.0,174,143.462377
9.0,104,143.561399
5.0,60,143.615233
15.0,166,143.763911
2.0,26,143.787182
12.0,140,143.915639
9.0,102,144.006496
7.0,82,144.079496
6.0,74,144.145293
8.0,92,144.227193
1.0,16,144.241489
9.0,102,279.652461
3.0,38,279.687207
11.0,126,279.834577
3.0,38,279.868256
6.0,70,279.930807
11.0,130,280.053858
6.0,70,280.115708
1.0,16,280.129954
1.0,16,280.154421
6.0,70,280.35766
1.0,16,280.371957
7.0,80,280.445227
1.0,16,280.459453
6.0,70,280.522467
3.0,38,280.556348
9.0,104,280.648166
15.0,166,280.794742
3.0,38,280.82838
4.0,48,280.870828
4.0,48,280.913339
6.0,70,280.975295
5.0,60,281.028278
13.0,152,281.166289
5.0,58,281.225491
12.0,138,281.35519
4.0,48,281.397723
7.0,84,281.47197
9.0,104,281.563575
