#{"t_start": 1772247229.8558133, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.45551
7.0,80,0.569423
12.0,140,0.755142
6.0,70,0.848115
7.0,84,0.959653
1.0,16,0.980989
2.0,26,1.015565
1.0,16,1.036855
4.0,48,1.100596
7.0,80,1.206749
17.0,188,1.45603
5.0,58,1.532911
6.0,72,1.628262
10.0,116,1.781821
1.0,16,1.80309
1.0,16,1.824371
10.0,116,1.977989
9.0,104,2.115679
7.0,84,2.226882
5.0,60,2.306347
2.0,26,2.340837
12.0,140,2.526133
12.0,142,2.713972
5.0,58,2.790759
9.0,102,2.925723
2.0,26,2.960238
3.0,38,3.010654
11.0,130,37.529374
5.0,60,37.612903
3.0,38,37.663656
6.0,70,37.756785
4.0,48,37.820714
11.0,126,37.988392
7.0,82,38.097466
4.0,48,38.161314
12.0,138,38.344772
7.0,80,38.451151
6.0,70,38.544209
17.0,188,38.794046
6.0,70,38.887253
9.0,106,39.028348
12.0,140,39.215308
6.0,70,39.31076
3.0,38,39.361544
12.0,140,39.548154
15.0,176,39.782676
6.0,70,39.87603
12.0,140,40.062677
4.0,48,40.126688
17.0,192,74.649076
12.0,142,74.839209
0.0,6,74.847342
3.0,38,74.898304
8.0,90,75.018781
2.0,26,75.053648
1.0,16,75.075107
7.0,80,75.182418
6.0,70,75.276048
4.0,48,75.340424
7.0,80,75.44738
4.0,48,75.511612
1.0,16,75.53307
2.0,26,75.567854
14.0,164,75.79001
17.0,188,76.042105
9.0,102,76.178416
9.0,104,76.317211
11.0,128,76.488463
1.0,16,76.509935
12.0,138,76.69451
8.0,92,76.81732
12.0,138,77.001638
10.0,116,77.156489
