#{"t_start": 1773138488.9792778, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.136358
7.0,80,0.249744
12.0,140,0.433704
6.0,70,0.52568
7.0,84,0.636017
1.0,16,0.657132
2.0,26,0.69138
1.0,16,0.712476
4.0,48,0.775635
7.0,80,0.880797
17.0,188,1.12863
5.0,58,1.217763
6.0,72,1.314564
10.0,116,1.467081
1.0,16,1.488197
1.0,16,1.5093
10.0,116,1.66165
9.0,104,1.798226
7.0,84,1.908568
5.0,60,1.987378
2.0,26,2.02158
12.0,140,2.205379
12.0,142,2.391924
5.0,58,2.468172
9.0,102,2.602161
2.0,26,2.636418
3.0,38,2.686441
11.0,130,38.297759
5.0,60,38.377079
3.0,38,38.427213
6.0,70,38.519372
4.0,48,38.582691
11.0,126,38.748541
7.0,82,38.856925
4.0,48,38.920183
12.0,138,39.101794
7.0,80,39.206986
6.0,70,39.299186
17.0,188,39.549783
6.0,70,39.641981
9.0,106,39.781389
12.0,140,39.965625
6.0,70,40.057871
3.0,38,40.108032
12.0,140,40.292762
15.0,176,40.524823
6.0,70,40.617207
12.0,140,40.804303
4.0,48,40.867706
17.0,192,73.807493
12.0,142,74.002199
0.0,6,74.010212
3.0,38,74.060329
8.0,90,74.1791
2.0,26,74.213578
1.0,16,74.234716
7.0,80,74.34017
6.0,70,74.434548
4.0,48,74.498035
7.0,80,74.603428
4.0,48,74.66676
1.0,16,74.687938
2.0,26,74.722244
14.0,164,74.938268
17.0,188,75.187912
9.0,102,75.322213
9.0,104,75.459248
11.0,128,75.629945
1.0,16,75.651198
12.0,138,75.833039
8.0,92,75.954309
12.0,138,76.136133
10.0,116,76.301742
