#{"t_start": 1772182032.1279333, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.22748
7.0,80,0.329714
12.0,140,0.508627
6.0,70,0.598306
7.0,84,0.705868
1.0,16,0.726425
2.0,26,0.759794
1.0,16,0.78035
4.0,48,0.841858
7.0,80,0.94433
17.0,188,1.184941
5.0,58,1.25911
6.0,72,1.351106
10.0,116,1.499212
1.0,16,1.519717
1.0,16,1.540209
10.0,116,1.688412
9.0,104,1.821305
7.0,84,1.928669
5.0,60,2.005346
2.0,26,2.038644
12.0,140,2.219341
12.0,142,2.400914
5.0,58,2.475156
9.0,102,2.605599
2.0,26,2.63892
3.0,38,2.687544
11.0,130,5.730452
5.0,60,5.807743
3.0,38,5.856675
6.0,70,5.948667
4.0,48,6.010522
11.0,126,6.173012
5.0,60,6.250641
1.0,16,6.271354
12.0,142,6.454442
12.0,138,6.632347
10.0,116,6.782113
4.0,48,6.844122
15.0,174,7.068717
9.0,104,7.203561
5.0,60,7.281197
15.0,166,7.495738
2.0,26,7.529439
12.0,140,7.709336
9.0,102,7.826039
7.0,82,7.919783
6.0,74,8.004341
8.0,92,8.109626
1.0,16,8.127982
9.0,102,11.276777
3.0,38,11.331892
11.0,126,11.488196
3.0,38,11.531722
6.0,70,11.612868
9.0,106,11.734226
1.0,16,11.752618
13.0,154,11.928892
12.0,136,12.084592
5.0,58,12.151316
3.0,38,12.195078
15.0,166,12.38571
9.0,106,12.507397
9.0,104,12.628127
1.0,16,12.646538
3.0,38,12.690127
9.0,102,12.80708
6.0,70,12.88729
12.0,140,13.04766
6.0,70,13.128409
8.0,90,13.231839
1.0,16,13.250263
6.0,70,13.330638
6.0,70,13.411028
4.0,48,13.466261
10.0,116,13.599611
