#{"t_start": 1773025003.6359413, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.101146
7.0,80,0.201829
12.0,140,0.366079
6.0,70,0.445336
7.0,84,0.540463
1.0,16,0.55865
2.0,26,0.589657
1.0,16,0.610322
4.0,48,0.672004
7.0,80,0.773152
17.0,188,0.985908
5.0,58,1.051642
6.0,72,1.133202
10.0,116,1.26446
1.0,16,1.282663
1.0,16,1.300863
10.0,116,1.433299
9.0,104,1.551625
7.0,84,1.647113
5.0,60,1.715352
2.0,26,1.744945
12.0,140,1.904082
12.0,142,2.06545
5.0,58,2.131426
9.0,102,2.247415
2.0,26,2.277045
3.0,38,2.320269
11.0,130,5.013773
5.0,60,5.082286
3.0,38,5.125647
6.0,70,5.205428
4.0,48,5.260182
11.0,126,5.403848
5.0,60,5.474366
1.0,16,5.492732
12.0,142,5.654487
12.0,138,5.811746
10.0,116,5.94399
4.0,48,5.998729
15.0,174,6.197003
9.0,104,6.315592
5.0,60,6.384035
15.0,166,6.573184
2.0,26,6.602863
12.0,140,6.762595
9.0,102,6.87906
7.0,82,6.97267
6.0,74,7.057051
8.0,92,7.16213
1.0,16,7.180559
9.0,102,9.763158
3.0,38,9.806685
11.0,126,9.950696
3.0,38,9.994215
6.0,70,10.074162
9.0,106,10.19524
1.0,16,10.213575
13.0,154,10.389245
12.0,136,10.544525
5.0,58,10.610698
3.0,38,10.654091
15.0,166,10.84366
9.0,106,10.964644
9.0,104,11.083345
1.0,16,11.10164
3.0,38,11.145086
9.0,102,11.265031
6.0,70,11.344854
12.0,140,11.504595
6.0,70,11.584445
8.0,90,11.687105
1.0,16,11.705395
6.0,70,11.785295
6.0,70,11.865066
4.0,48,11.919976
10.0,116,12.052325
