#{"t_start": 1772290893.3875442, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.182847
7.0,80,0.295288
12.0,140,0.491997
6.0,70,0.590412
7.0,84,0.708377
1.0,16,0.730957
2.0,26,0.767514
1.0,16,0.790092
4.0,48,0.858064
7.0,80,0.970236
17.0,188,1.233587
5.0,58,1.31494
6.0,72,1.415828
10.0,116,1.578363
1.0,16,1.600868
1.0,16,1.623384
10.0,116,1.785888
9.0,104,1.931572
7.0,84,2.049329
5.0,60,2.133497
2.0,26,2.17001
12.0,140,2.366257
12.0,142,2.565231
5.0,58,2.646601
9.0,102,2.789839
2.0,26,2.826446
3.0,38,2.87987
11.0,130,6.925713
5.0,60,7.014581
3.0,38,7.068179
6.0,70,7.166805
4.0,48,7.234437
11.0,126,7.411733
5.0,60,7.496205
1.0,16,7.518859
12.0,142,7.722456
12.0,138,7.918655
10.0,116,8.081937
4.0,48,8.149485
15.0,174,8.394171
9.0,104,8.540432
5.0,60,8.624938
15.0,166,8.858504
2.0,26,8.895135
12.0,140,9.09223
9.0,102,9.236223
7.0,82,9.351929
6.0,74,9.456402
8.0,92,9.58625
1.0,16,9.608924
9.0,102,13.787788
3.0,38,13.885014
11.0,128,14.07023
5.0,58,14.152271
3.0,38,14.206049
3.0,38,14.259834
7.0,82,14.375599
15.0,166,14.609924
12.0,136,14.802367
5.0,58,14.884265
3.0,38,14.937928
15.0,166,15.172084
9.0,104,15.318886
6.0,70,15.417659
2.0,26,15.454411
7.0,82,15.573898
6.0,72,15.675326
12.0,140,15.87274
8.0,90,15.999223
7.0,80,16.111852
1.0,16,16.134451
7.0,80,16.248784
9.0,104,16.395269
4.0,48,16.462916
7.0,80,16.575497
5.0,58,16.657231
