#{"t_start": 1772786555.0590172, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.122979
7.0,80,0.232614
12.0,140,0.427074
6.0,70,0.523062
7.0,84,0.63811
1.0,16,0.66006
2.0,26,0.69573
1.0,16,0.717732
4.0,48,0.783558
7.0,80,0.895766
17.0,188,1.153399
5.0,58,1.232976
6.0,72,1.331699
10.0,116,1.490829
1.0,16,1.512834
1.0,16,1.534888
10.0,116,1.693947
9.0,104,1.836526
7.0,84,1.953804
5.0,60,2.036103
2.0,26,2.071741
12.0,140,2.263701
12.0,142,2.458186
5.0,58,2.537791
9.0,102,2.677605
2.0,26,2.713308
3.0,38,2.765449
11.0,130,6.585695
5.0,60,6.688251
3.0,38,6.753165
6.0,70,6.872592
4.0,48,6.93938
11.0,126,7.111854
5.0,60,7.194064
1.0,16,7.216035
12.0,142,7.410617
12.0,138,7.599764
10.0,116,7.78893
4.0,48,7.867183
15.0,174,8.110718
9.0,104,8.252939
5.0,60,8.334963
15.0,166,8.562218
2.0,26,8.597863
12.0,140,8.79183
9.0,102,8.931362
7.0,82,9.043425
6.0,74,9.144595
8.0,92,9.270405
1.0,16,9.292368
9.0,102,13.119273
3.0,38,13.188321
11.0,128,13.372437
5.0,58,13.451748
3.0,38,13.503721
3.0,38,13.555745
7.0,82,13.667869
15.0,166,13.894732
12.0,136,14.080538
5.0,58,14.159936
3.0,38,14.211926
15.0,166,14.438574
9.0,104,14.582588
6.0,70,14.678425
2.0,26,14.714022
7.0,82,14.826207
6.0,72,14.92466
12.0,140,15.115925
8.0,90,15.238923
7.0,80,15.348267
1.0,16,15.370221
7.0,80,15.47954
9.0,104,15.623904
4.0,48,15.689698
7.0,80,15.799051
5.0,58,15.87833
