#{"t_start": 1772186342.1860974, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.128994
7.0,80,0.219524
12.0,140,0.378395
6.0,70,0.45861
7.0,84,0.55487
1.0,16,0.573326
2.0,26,0.603246
1.0,16,0.621598
4.0,48,0.676647
7.0,80,0.768366
17.0,188,0.98374
5.0,58,1.050298
6.0,72,1.132995
10.0,116,1.266749
1.0,16,1.285132
1.0,16,1.303532
10.0,116,1.436708
9.0,104,1.55586
7.0,84,1.652185
5.0,60,1.720995
2.0,26,1.750889
12.0,140,1.91144
12.0,142,2.074193
5.0,58,2.140572
9.0,102,2.257659
2.0,26,2.287527
3.0,38,2.331143
11.0,130,5.376452
5.0,60,5.444349
3.0,38,5.486744
6.0,70,5.56477
4.0,48,5.618395
11.0,126,5.758863
5.0,60,5.825775
1.0,16,5.843733
12.0,142,6.002268
12.0,138,6.15583
10.0,116,6.284611
4.0,48,6.338067
15.0,174,6.531311
9.0,104,6.646999
5.0,60,6.713682
15.0,166,6.89819
2.0,26,6.927182
12.0,140,7.082982
9.0,102,7.196363
7.0,82,7.287527
6.0,74,7.369754
8.0,92,7.471994
1.0,16,7.489855
9.0,102,10.525764
3.0,38,10.574726
11.0,126,10.733825
3.0,38,10.777221
6.0,70,10.857076
11.0,130,11.005251
6.0,70,11.08492
1.0,16,11.103299
1.0,16,11.121577
6.0,70,11.201255
1.0,16,11.219562
7.0,80,11.310663
1.0,16,11.328932
6.0,70,11.408618
3.0,38,11.45191
9.0,104,11.57036
15.0,166,11.779601
3.0,38,11.831108
4.0,48,11.892715
4.0,48,11.954294
6.0,70,12.043988
5.0,60,12.120812
13.0,152,12.31836
5.0,58,12.39281
12.0,138,12.569805
4.0,48,12.631467
7.0,84,12.739271
9.0,104,12.87258
