#{"t_start": 1772889394.7364697, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.119573
7.0,80,0.21603
12.0,140,0.374978
6.0,70,0.457141
7.0,84,0.554918
1.0,16,0.573594
2.0,26,0.603911
1.0,16,0.622557
4.0,48,0.678258
7.0,80,0.770933
17.0,188,0.988642
5.0,58,1.055938
6.0,72,1.139514
10.0,116,1.27417
1.0,16,1.292764
1.0,16,1.311386
10.0,116,1.44558
9.0,104,1.565888
7.0,84,1.663126
5.0,60,1.732715
2.0,26,1.762842
12.0,140,1.924909
12.0,142,2.089687
5.0,58,2.157162
9.0,102,2.275676
2.0,26,2.305893
3.0,38,2.350056
11.0,130,5.972927
5.0,60,6.046223
3.0,38,6.089742
6.0,70,6.169802
4.0,48,6.224735
11.0,126,6.368765
5.0,60,6.437402
1.0,16,6.455743
12.0,142,6.617881
12.0,138,6.775234
10.0,116,6.907691
4.0,48,6.962601
15.0,174,7.160952
9.0,104,7.27973
5.0,60,7.348191
15.0,166,7.537552
2.0,26,7.567154
12.0,140,7.72677
9.0,102,7.843168
7.0,82,7.93675
6.0,74,8.021086
8.0,92,8.126039
1.0,16,8.144572
9.0,102,11.573557
3.0,38,11.628395
11.0,126,11.779419
3.0,38,11.822787
6.0,70,11.902529
11.0,130,12.050486
6.0,70,12.130266
1.0,16,12.148592
1.0,16,12.16688
6.0,70,12.246593
1.0,16,12.264829
7.0,80,12.355884
1.0,16,12.374215
6.0,70,12.453687
3.0,38,12.496889
9.0,104,12.616658
15.0,166,12.810072
3.0,38,12.854388
4.0,48,12.910319
4.0,48,12.966172
6.0,70,13.047638
5.0,60,13.117579
13.0,152,13.295535
5.0,58,13.363185
12.0,138,13.523996
4.0,48,13.580071
7.0,84,13.680147
9.0,104,13.801898
