#{"t_start": 1772192889.583952, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.428899
7.0,80,0.557235
12.0,140,0.781702
6.0,70,0.89408
7.0,84,1.028758
1.0,16,1.054547
2.0,26,1.09634
1.0,16,1.122083
4.0,48,1.199307
7.0,80,1.328563
17.0,188,1.631414
5.0,58,1.736215
6.0,72,1.849002
10.0,116,2.030728
1.0,16,2.055924
1.0,16,2.081128
10.0,116,2.262849
9.0,104,2.425757
7.0,84,2.557364
5.0,60,2.651373
2.0,26,2.692232
12.0,140,2.909876
12.0,142,3.130087
5.0,58,3.220096
9.0,102,3.37834
2.0,26,3.418822
3.0,38,3.47795
11.0,130,7.545254
5.0,60,7.644035
3.0,38,7.707269
6.0,70,7.822489
4.0,48,7.901515
11.0,126,8.108559
7.0,82,8.243061
4.0,48,8.321946
12.0,138,8.548619
7.0,80,8.679949
6.0,70,8.79487
17.0,188,9.103423
6.0,70,9.218432
9.0,106,9.392436
12.0,140,9.622226
6.0,70,9.737395
3.0,38,9.799948
12.0,140,10.029793
15.0,176,10.319102
6.0,70,10.434311
12.0,140,10.66432
4.0,48,10.743324
17.0,192,14.805055
12.0,142,15.024486
0.0,6,15.033884
3.0,38,15.092591
8.0,90,15.231629
2.0,26,15.271964
1.0,16,15.296747
7.0,80,15.420251
6.0,70,15.528274
4.0,48,15.602373
7.0,80,15.725835
4.0,48,15.799924
1.0,16,15.824683
2.0,26,15.864898
14.0,164,16.117758
17.0,188,16.407681
9.0,102,16.565458
9.0,104,16.725893
11.0,128,16.923315
8.0,92,17.06519
4.0,48,17.139286
0.0,6,17.148668
1.0,16,17.173421
0.0,6,17.182783
9.0,104,17.343174
6.0,72,17.45429
2.0,28,17.497561
7.0,80,17.620984
7.0,80,17.744394
