#{"t_start": 1773165267.573846, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.214633
7.0,80,0.375818
12.0,140,0.601944
6.0,70,0.714786
7.0,84,0.850922
1.0,16,0.882279
2.0,26,0.933298
1.0,16,0.959607
4.0,48,1.037027
7.0,80,1.166056
17.0,188,1.468434
5.0,58,1.561819
6.0,72,1.677828
10.0,116,1.864733
1.0,16,1.890556
1.0,16,1.916455
10.0,116,2.103219
9.0,104,2.27151
7.0,84,2.406865
5.0,60,2.503504
2.0,26,2.545441
12.0,140,2.770608
12.0,142,2.999009
5.0,58,3.092302
9.0,102,3.256644
2.0,26,3.298623
3.0,38,3.359959
11.0,130,7.332312
5.0,60,7.433596
3.0,38,7.495221
6.0,70,7.608437
4.0,48,7.686053
11.0,126,7.892511
7.0,82,8.039875
4.0,48,8.117272
12.0,138,8.340171
7.0,80,8.479867
6.0,70,8.616448
17.0,188,8.921472
6.0,70,9.034592
9.0,106,9.207147
12.0,140,9.432912
6.0,70,9.549297
3.0,38,9.610651
12.0,140,9.836993
15.0,176,10.12082
6.0,70,10.233692
12.0,140,10.45937
4.0,48,10.536836
17.0,192,14.619148
12.0,142,14.849279
0.0,6,14.859156
3.0,38,14.920625
8.0,90,15.072603
2.0,26,15.123679
1.0,16,15.153758
7.0,80,15.283191
6.0,70,15.396416
4.0,48,15.474156
7.0,80,15.603432
4.0,48,15.681308
1.0,16,15.70731
2.0,26,15.758193
14.0,164,16.038672
17.0,188,16.342356
9.0,102,16.507164
9.0,104,16.677803
11.0,128,16.884308
8.0,92,17.032755
4.0,48,17.110302
0.0,6,17.120107
1.0,16,17.146037
0.0,6,17.155858
9.0,104,17.323502
6.0,72,17.440297
2.0,28,17.4856
7.0,80,17.61467
7.0,80,17.743974
