#{"t_start": 1772182031.93419, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.140109
7.0,80,0.254559
12.0,140,0.456173
6.0,70,0.556082
7.0,84,0.675838
1.0,16,0.698736
2.0,26,0.735897
1.0,16,0.758815
4.0,48,0.827298
7.0,80,0.9426
17.0,188,1.210722
5.0,58,1.293474
6.0,72,1.396109
10.0,116,1.563355
1.0,16,1.586307
1.0,16,1.609213
10.0,116,1.774765
9.0,104,1.923117
7.0,84,2.042928
5.0,60,2.128467
2.0,26,2.165635
12.0,140,2.365231
12.0,142,2.56765
5.0,58,2.650488
9.0,102,2.796059
2.0,26,2.833207
3.0,38,2.887445
11.0,130,6.227533
5.0,60,6.312035
3.0,38,6.363714
6.0,70,6.458733
4.0,48,6.523812
11.0,126,6.712673
7.0,82,6.824098
4.0,48,6.888818
12.0,138,7.086156
7.0,80,7.183374
6.0,70,7.268374
17.0,188,7.496001
6.0,70,7.580761
9.0,106,7.709044
12.0,140,7.878502
6.0,70,7.963297
3.0,38,8.009396
12.0,140,8.178834
15.0,176,8.391955
6.0,70,8.476708
12.0,140,8.646199
4.0,48,8.704409
17.0,192,11.539381
12.0,142,11.710966
0.0,6,11.718374
3.0,38,11.76447
8.0,90,11.873569
2.0,26,11.905177
1.0,16,11.92466
7.0,80,12.021577
4.0,48,12.079789
5.0,58,12.16747
11.0,130,12.333821
7.0,80,12.430764
1.0,16,12.450228
12.0,140,12.621759
7.0,82,12.721267
1.0,16,12.740737
12.0,136,12.905643
7.0,80,13.002625
5.0,60,13.075363
12.0,140,13.247855
6.0,70,13.332839
14.0,164,13.531703
12.0,138,13.699032
9.0,102,13.8227
