#{"t_start": 1773132345.5360994, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.098204
7.0,80,0.193864
12.0,140,0.362024
6.0,70,0.445915
7.0,84,0.546593
1.0,16,0.565835
2.0,26,0.597074
1.0,16,0.616324
4.0,48,0.67395
7.0,80,0.76991
17.0,188,0.997008
5.0,58,1.066529
6.0,72,1.152755
10.0,116,1.291584
1.0,16,1.312423
1.0,16,1.331698
10.0,116,1.470621
9.0,104,1.595157
7.0,84,1.695772
5.0,60,1.767606
2.0,26,1.798784
12.0,140,1.967615
12.0,142,2.137564
5.0,58,2.207083
9.0,102,2.331142
2.0,26,2.362442
3.0,38,2.408009
11.0,130,5.696059
5.0,60,5.780102
3.0,38,5.833176
6.0,70,5.919125
4.0,48,5.977107
11.0,126,6.128778
7.0,82,6.227535
4.0,48,6.289013
12.0,138,6.455081
7.0,80,6.551319
6.0,70,6.637032
17.0,188,6.87318
6.0,70,6.957408
9.0,106,7.084908
12.0,140,7.253342
6.0,70,7.338153
3.0,38,7.383932
12.0,140,7.552366
15.0,176,7.764273
6.0,70,7.848662
12.0,140,8.019517
4.0,48,8.077469
17.0,192,10.867948
12.0,142,11.039184
0.0,6,11.046498
3.0,38,11.092368
8.0,90,11.200811
2.0,26,11.232225
1.0,16,11.251572
7.0,80,11.348034
4.0,48,11.405883
5.0,58,11.475763
11.0,130,11.632781
7.0,80,11.72919
1.0,16,11.748538
12.0,140,11.917011
7.0,82,12.015752
1.0,16,12.035095
12.0,136,12.198807
7.0,80,12.295141
5.0,60,12.367356
12.0,140,12.535957
6.0,70,12.620283
14.0,164,12.817707
12.0,138,12.992556
9.0,102,13.115358
