#{"t_start": 1772181906.6825318, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.314422
7.0,80,0.489401
12.0,140,0.793366
6.0,70,0.945557
7.0,84,1.128654
1.0,16,1.163779
2.0,26,1.221345
1.0,16,1.257058
4.0,48,1.363374
7.0,80,1.540425
17.0,188,1.955735
5.0,58,2.083964
6.0,72,2.243108
10.0,116,2.499169
1.0,16,2.534642
1.0,16,2.570116
10.0,116,2.826224
9.0,104,3.055875
7.0,84,3.241539
5.0,60,3.374218
2.0,26,3.431852
12.0,140,3.74149
12.0,142,4.055477
5.0,58,4.185832
9.0,102,4.411487
2.0,26,4.469268
3.0,38,4.553456
11.0,130,63.289748
5.0,60,63.427775
3.0,38,63.510943
6.0,70,63.663807
4.0,48,63.774935
11.0,126,64.09853
5.0,60,64.229429
1.0,16,64.264367
12.0,142,64.572468
12.0,138,64.871747
10.0,116,65.126099
4.0,48,65.230495
15.0,174,65.608177
9.0,104,65.833965
5.0,60,65.96432
15.0,166,66.326898
2.0,26,66.383665
12.0,140,66.688006
9.0,102,66.909609
7.0,82,67.088513
6.0,74,67.249456
8.0,92,67.449513
1.0,16,67.484476
9.0,102,126.146124
3.0,38,126.224871
11.0,126,126.491589
3.0,38,126.574121
6.0,70,126.724511
11.0,130,127.003392
11.0,130,127.286591
10.0,116,127.536226
15.0,166,127.895025
3.0,38,127.976962
9.0,106,128.205104
0.0,6,128.220654
12.0,140,128.52236
5.0,58,128.647357
6.0,70,128.798109
5.0,58,128.922901
8.0,90,129.116119
5.0,58,129.240595
9.0,102,129.45948
6.0,70,129.623531
1.0,16,129.668026
7.0,80,129.892115
9.0,104,130.158038
4.0,48,130.265346
7.0,80,130.442349
7.0,80,130.617371
