#{"t_start": 1772721339.890668, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.295482
7.0,80,0.475096
12.0,140,0.788647
6.0,70,0.945984
7.0,84,1.133575
1.0,16,1.169447
2.0,26,1.227557
1.0,16,1.263376
4.0,48,1.370622
7.0,80,1.548927
17.0,188,1.967406
5.0,58,2.096735
6.0,72,2.25715
10.0,116,2.515527
1.0,16,2.560213
1.0,16,2.596503
10.0,116,2.863427
9.0,104,3.100304
7.0,84,3.287363
5.0,60,3.421177
2.0,26,3.479155
12.0,140,3.790933
12.0,142,4.110038
5.0,58,4.23955
9.0,102,4.467173
2.0,26,4.525414
3.0,38,4.610318
11.0,130,63.335272
5.0,60,63.470693
3.0,38,63.556037
6.0,70,63.7123
4.0,48,63.819541
11.0,126,64.100624
5.0,60,64.234716
1.0,16,64.270704
12.0,142,64.590141
12.0,138,64.898653
10.0,116,65.157403
4.0,48,65.264526
15.0,174,65.655234
9.0,104,65.887533
5.0,60,66.021582
15.0,166,66.392258
2.0,26,66.450503
12.0,140,66.764937
9.0,102,66.992797
7.0,82,67.176055
6.0,74,67.34143
8.0,92,67.547154
1.0,16,67.583056
9.0,102,125.923007
3.0,38,126.030555
11.0,126,126.326489
3.0,38,126.413517
6.0,70,126.573303
11.0,130,126.86865
11.0,130,127.164727
10.0,116,127.428273
15.0,166,127.813277
3.0,38,127.899988
9.0,106,128.141033
0.0,6,128.154825
12.0,140,128.474166
5.0,58,128.606183
6.0,70,128.765609
5.0,58,128.897787
8.0,90,129.102288
5.0,58,129.23233
9.0,102,129.464386
6.0,70,129.623237
1.0,16,129.659695
7.0,80,129.841247
9.0,104,130.077317
4.0,48,130.185888
7.0,80,130.366903
7.0,80,130.547924
