#{"t_start": 1772527308.9183972, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.088903
7.0,80,0.146748
12.0,140,0.247732
6.0,70,0.298184
7.0,84,0.358922
1.0,16,0.370621
2.0,26,0.389565
1.0,16,0.401181
4.0,48,0.435939
7.0,80,0.4937
17.0,188,0.629204
5.0,58,0.67108
6.0,72,0.723059
10.0,116,0.806857
1.0,16,0.818567
1.0,16,0.830182
10.0,116,0.913825
9.0,104,0.988651
7.0,84,1.049162
5.0,60,1.09248
2.0,26,1.11123
12.0,140,1.211967
12.0,142,1.314337
5.0,58,1.356216
9.0,102,1.429774
2.0,26,1.448615
3.0,38,1.476158
11.0,130,3.507315
5.0,60,3.550909
3.0,38,3.578249
6.0,70,3.627957
4.0,48,3.662372
11.0,126,3.753719
7.0,82,3.81301
4.0,48,3.847903
12.0,138,3.947559
7.0,80,4.005626
6.0,70,4.056382
17.0,188,4.192781
6.0,70,4.243716
9.0,106,4.320603
12.0,140,4.421855
6.0,70,4.472597
3.0,38,4.500249
12.0,140,4.601628
15.0,176,4.729199
6.0,70,4.780005
12.0,140,4.8814
4.0,48,4.9164
17.0,192,7.011145
12.0,142,7.113982
0.0,6,7.118423
3.0,38,7.146003
7.0,82,7.205408
2.0,26,7.224374
3.0,38,7.25206
4.0,48,7.286921
11.0,128,7.379385
1.0,16,7.39117
4.0,48,7.425935
7.0,80,7.483989
15.0,178,7.612784
11.0,130,7.706771
5.0,58,7.748969
12.0,142,7.851788
6.0,70,7.902505
12.0,140,8.003926
9.0,106,8.080765
1.0,16,8.092481
5.0,58,8.134615
5.0,60,8.178244
1.0,16,8.190023
2.0,28,8.210535
9.0,106,8.287447
9.0,104,8.362776
1.0,16,8.374483
