#{"t_start": 1772718266.572998, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.08073
7.0,80,0.138316
12.0,140,0.239146
6.0,70,0.289502
7.0,84,0.349851
1.0,16,0.361463
2.0,26,0.380259
1.0,16,0.391919
4.0,48,0.426493
7.0,80,0.484153
17.0,188,0.619284
5.0,58,0.661046
6.0,72,0.712411
10.0,116,0.795163
1.0,16,0.806757
1.0,16,0.818279
10.0,116,0.900975
9.0,104,0.975037
7.0,84,1.036889
5.0,60,1.079778
2.0,26,1.098466
12.0,140,1.197989
12.0,142,1.29917
5.0,58,1.340549
9.0,102,1.413261
2.0,26,1.432042
3.0,38,1.459155
11.0,130,3.592679
5.0,60,3.64416
3.0,38,3.668857
6.0,70,3.712218
4.0,48,3.742651
11.0,126,3.821868
7.0,82,3.872774
4.0,48,3.902724
12.0,138,3.987773
7.0,80,4.037579
6.0,70,4.083322
17.0,188,4.199455
6.0,70,4.242785
9.0,106,4.30874
12.0,140,4.394547
6.0,70,4.437496
3.0,38,4.460625
12.0,140,4.545848
15.0,176,4.65309
6.0,70,4.696641
12.0,140,4.782658
4.0,48,4.812086
17.0,192,6.819349
12.0,142,6.904702
0.0,6,6.90855
3.0,38,6.931388
7.0,82,6.980615
2.0,26,6.996086
3.0,38,7.018832
4.0,48,7.04752
11.0,128,7.125451
1.0,16,7.135474
4.0,48,7.164967
7.0,80,7.214409
15.0,178,7.323823
11.0,130,7.403415
5.0,58,7.438802
12.0,142,7.525914
6.0,70,7.568836
12.0,140,7.655877
9.0,106,7.720006
1.0,16,7.729848
5.0,58,7.765362
5.0,60,7.802318
1.0,16,7.812343
2.0,28,7.829775
9.0,106,7.894892
9.0,104,7.9582
1.0,16,7.972422
