#{"t_start": 1772182038.3859825, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.119784
7.0,80,0.211106
12.0,140,0.360005
6.0,70,0.435033
7.0,84,0.525246
1.0,16,0.54252
2.0,26,0.570819
1.0,16,0.588257
4.0,48,0.640452
7.0,80,0.727485
17.0,188,0.931467
5.0,58,0.995664
6.0,72,1.071622
10.0,116,1.196906
1.0,16,1.214356
1.0,16,1.231769
10.0,116,1.357572
9.0,104,1.474447
7.0,84,1.566574
5.0,60,1.63173
2.0,26,1.660037
12.0,140,1.811931
12.0,142,1.965951
5.0,58,2.028937
9.0,102,2.139685
2.0,26,2.167969
3.0,38,2.209277
11.0,130,5.272834
5.0,60,5.343169
3.0,38,5.383618
6.0,70,5.458895
4.0,48,5.510618
11.0,126,5.646426
7.0,82,5.734866
4.0,48,5.787489
12.0,138,5.936124
7.0,80,6.022392
6.0,70,6.09779
17.0,188,6.301053
6.0,70,6.377427
9.0,106,6.494161
12.0,140,6.646889
6.0,70,6.723225
3.0,38,6.764747
12.0,140,6.917726
15.0,176,7.110497
6.0,70,7.186887
12.0,140,7.339578
4.0,48,7.391945
18.0,202,9.944801
1.0,16,9.962002
9.0,104,10.072923
16.0,178,10.262949
9.0,104,10.37408
17.0,192,10.579009
6.0,70,10.653727
2.0,26,10.681405
8.0,90,10.777517
1.0,16,10.794705
13.0,150,10.954132
5.0,60,11.018144
7.0,82,11.105668
6.0,70,11.180554
11.0,128,11.319523
7.0,82,11.409236
6.0,70,11.485836
7.0,80,11.573373
1.0,16,11.590957
5.0,58,11.654363
11.0,130,11.796415
2.0,28,11.827093
9.0,102,11.938551
