#{"t_start": 1772724347.523517, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.140282
7.0,80,0.28236
12.0,140,0.521002
6.0,70,0.619659
7.0,84,0.738104
1.0,16,0.760745
2.0,26,0.797531
1.0,16,0.820228
4.0,48,0.888435
7.0,80,0.999605
17.0,188,1.263066
5.0,58,1.343077
6.0,72,1.444674
10.0,116,1.608347
1.0,16,1.63103
1.0,16,1.6537
10.0,116,1.817416
9.0,104,1.964189
7.0,84,2.082735
5.0,60,2.167449
2.0,26,2.204221
12.0,140,2.401848
12.0,142,2.602218
5.0,58,2.684142
9.0,102,2.828341
2.0,26,2.865237
3.0,38,2.91939
11.0,130,53.863126
5.0,60,53.951049
3.0,38,54.005227
6.0,70,54.104617
4.0,48,54.17285
11.0,126,54.351713
7.0,82,54.468356
4.0,48,54.536663
12.0,138,54.732887
7.0,80,54.846681
6.0,70,54.946335
17.0,188,55.213823
6.0,70,55.313421
9.0,106,55.464226
12.0,140,55.663351
6.0,70,55.76325
3.0,38,55.817452
12.0,140,56.0169
15.0,176,56.267718
6.0,70,56.367514
12.0,140,56.566982
4.0,48,56.635458
17.0,192,107.636294
12.0,142,107.839272
0.0,6,107.847952
3.0,38,107.902353
8.0,90,108.030947
2.0,26,108.068222
1.0,16,108.091184
7.0,80,108.205518
6.0,70,108.30562
4.0,48,108.374292
7.0,80,108.48893
4.0,48,108.557593
1.0,16,108.580543
2.0,26,108.617817
14.0,164,108.855492
17.0,188,109.124063
9.0,102,109.269719
9.0,104,109.418244
11.0,128,109.60117
1.0,16,109.624104
12.0,138,109.821155
8.0,92,109.952589
12.0,138,110.149602
10.0,116,110.315208
