#{"t_start": 1772181904.8507783, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.26483
7.0,80,0.424372
12.0,140,0.703909
6.0,70,0.843843
7.0,84,1.013368
1.0,16,1.04556
2.0,26,1.097495
1.0,16,1.129506
4.0,48,1.225306
7.0,80,1.385114
17.0,188,1.762269
5.0,58,1.878488
6.0,72,2.022239
10.0,116,2.255384
1.0,16,2.287631
1.0,16,2.319873
10.0,116,2.551832
9.0,104,2.761495
7.0,84,2.92952
5.0,60,3.049522
2.0,26,3.101492
12.0,140,3.380717
12.0,142,3.666023
5.0,58,3.782126
9.0,102,3.985929
2.0,26,4.03793
3.0,38,4.113937
11.0,130,55.66537
5.0,60,55.784246
3.0,38,55.859652
6.0,70,55.998164
4.0,48,56.09326
11.0,126,56.342272
5.0,60,56.460895
1.0,16,56.492623
12.0,142,56.774893
12.0,138,57.072935
10.0,116,57.309562
4.0,48,57.407997
15.0,174,57.763545
9.0,104,57.975588
5.0,60,58.098024
15.0,166,58.440642
2.0,26,58.493953
12.0,140,58.780789
9.0,102,58.989714
7.0,82,59.157728
6.0,74,59.309179
8.0,92,59.499424
1.0,16,59.53228
9.0,102,110.850345
3.0,38,110.933425
11.0,126,111.182462
3.0,38,111.257792
6.0,70,111.396279
11.0,130,111.653213
11.0,130,111.909938
10.0,116,112.14285
15.0,166,112.470567
3.0,38,112.545646
9.0,106,112.754625
0.0,6,112.76667
12.0,140,113.042656
5.0,58,113.157085
6.0,70,113.295182
5.0,58,113.409565
8.0,90,113.587028
5.0,58,113.701451
9.0,102,113.905813
6.0,70,114.04462
1.0,16,114.076468
7.0,80,114.234653
9.0,104,114.440192
4.0,48,114.535126
7.0,80,114.693132
7.0,80,114.851343
