#{"t_start": 1772721682.7278388, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.255897
7.0,80,0.411495
12.0,140,0.69266
6.0,70,0.833403
7.0,84,1.00242
1.0,16,1.034668
2.0,26,1.086989
1.0,16,1.119318
4.0,48,1.216146
7.0,80,1.377491
17.0,188,1.756544
5.0,58,1.876414
6.0,72,2.031079
10.0,116,2.281288
1.0,16,2.315073
1.0,16,2.348163
10.0,116,2.592609
9.0,104,2.803903
7.0,84,2.972774
5.0,60,3.093424
2.0,26,3.145885
12.0,140,3.427601
12.0,142,3.713325
5.0,58,3.830084
9.0,102,4.035389
2.0,26,4.08938
3.0,38,4.166105
11.0,130,55.643918
5.0,60,55.790054
3.0,38,55.867761
6.0,70,56.010797
4.0,48,56.108806
11.0,126,56.368352
5.0,60,56.49095
1.0,16,56.523686
12.0,142,56.813529
12.0,138,57.095087
10.0,116,57.331957
4.0,48,57.429984
15.0,174,57.78739
9.0,104,58.001894
5.0,60,58.131359
15.0,166,58.469999
2.0,26,58.523673
12.0,140,58.811702
9.0,102,59.021707
7.0,82,59.190458
6.0,74,59.344757
8.0,92,59.533824
1.0,16,59.566701
9.0,102,111.043693
3.0,38,111.121827
11.0,126,111.371888
3.0,38,111.44768
6.0,70,111.586073
11.0,130,111.84338
11.0,130,112.100204
10.0,116,112.32954
15.0,166,112.657772
3.0,38,112.732962
9.0,106,112.943036
0.0,6,112.955081
12.0,140,113.231446
5.0,58,113.346046
6.0,70,113.484324
5.0,58,113.598939
8.0,90,113.776652
5.0,58,113.891414
9.0,102,114.092434
6.0,70,114.230309
1.0,16,114.261953
7.0,80,114.419665
9.0,104,114.624637
4.0,48,114.719343
7.0,80,114.876834
7.0,80,115.034681
