#{"t_start": 1772797005.637628, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.161749
7.0,80,0.272597
12.0,140,0.455455
6.0,70,0.547712
7.0,84,0.658432
1.0,16,0.679627
2.0,26,0.713997
1.0,16,0.735174
4.0,48,0.798584
7.0,80,0.904131
17.0,188,1.151797
5.0,58,1.228106
6.0,72,1.322875
10.0,116,1.475453
1.0,16,1.496609
1.0,16,1.517752
10.0,116,1.670349
9.0,104,1.807193
7.0,84,1.917763
5.0,60,1.996792
2.0,26,2.031169
12.0,140,2.215593
12.0,142,2.402769
5.0,58,2.479271
9.0,102,2.613766
2.0,26,2.648072
3.0,38,2.698201
11.0,130,6.316117
5.0,60,6.405548
3.0,38,6.458895
6.0,70,6.548962
4.0,48,6.611004
11.0,126,6.775854
5.0,60,6.854653
1.0,16,6.875652
12.0,142,7.061501
12.0,138,7.242766
10.0,116,7.394511
4.0,48,7.457342
15.0,174,7.684933
9.0,104,7.821063
5.0,60,7.899598
15.0,166,8.127811
2.0,26,8.161921
12.0,140,8.344963
9.0,102,8.478343
7.0,82,8.58571
6.0,74,8.682752
8.0,92,8.803318
1.0,16,8.824368
9.0,102,11.903064
3.0,38,11.953654
11.0,128,12.119094
7.0,80,12.221094
6.0,70,12.310347
15.0,166,12.525722
7.0,80,12.63113
10.0,118,12.787766
7.0,80,12.893051
8.0,90,13.014403
2.0,26,13.048748
9.0,102,13.182936
11.0,126,13.349003
5.0,58,13.427136
6.0,70,13.519538
5.0,58,13.595932
6.0,70,13.688127
6.0,70,13.780302
3.0,38,13.830379
3.0,38,13.885777
2.0,26,13.922199
12.0,140,14.120548
4.0,48,14.191815
12.0,140,14.39888
11.0,126,14.567042
