#{"t_start": 1772785947.4798362, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.118797
7.0,80,0.234538
12.0,140,0.409018
6.0,70,0.501193
7.0,84,0.612174
1.0,16,0.632775
2.0,26,0.666012
1.0,16,0.688106
4.0,48,0.755793
7.0,80,0.872884
17.0,188,1.114587
5.0,58,1.186608
6.0,72,1.27603
10.0,116,1.419939
1.0,16,1.439858
1.0,16,1.459783
10.0,116,1.603782
9.0,104,1.732848
7.0,84,1.837244
5.0,60,1.911941
2.0,26,1.944361
12.0,140,2.118588
12.0,142,2.295382
5.0,58,2.367574
9.0,102,2.494489
2.0,26,2.526934
3.0,38,2.57425
11.0,130,6.139215
5.0,60,6.22014
3.0,38,6.267786
6.0,70,6.355505
4.0,48,6.415771
11.0,126,6.573631
5.0,60,6.648823
1.0,16,6.668934
12.0,142,6.848748
12.0,138,7.02182
10.0,116,7.167119
4.0,48,7.227308
15.0,174,7.445333
9.0,104,7.576246
5.0,60,7.651494
15.0,166,7.859329
2.0,26,7.891972
12.0,140,8.067622
9.0,102,8.195693
7.0,82,8.301376
6.0,74,8.39431
8.0,92,8.509729
1.0,16,8.529877
9.0,102,11.993798
3.0,38,12.093232
11.0,128,12.253509
5.0,58,12.32616
3.0,38,12.373789
3.0,38,12.421443
7.0,82,12.524119
15.0,166,12.731805
12.0,136,12.902007
5.0,58,12.974645
3.0,38,13.022299
15.0,166,13.233034
9.0,104,13.363215
6.0,70,13.450822
2.0,26,13.483417
7.0,82,13.585999
6.0,72,13.67612
12.0,140,13.85117
8.0,90,13.96366
7.0,80,14.063731
1.0,16,14.083818
7.0,80,14.183861
9.0,104,14.313887
4.0,48,14.373944
7.0,80,14.474015
5.0,58,14.546547
