#{"t_start": 1772181903.6187744, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.282204
7.0,80,0.438623
12.0,140,0.712418
6.0,70,0.84943
7.0,84,1.013854
1.0,16,1.045354
2.0,26,1.096464
1.0,16,1.127928
4.0,48,1.221976
7.0,80,1.37871
17.0,188,1.746918
5.0,58,1.860372
6.0,72,2.001109
10.0,116,2.227468
1.0,16,2.258897
1.0,16,2.290218
10.0,116,2.5164
9.0,104,2.719303
7.0,84,2.883469
5.0,60,3.000766
2.0,26,3.051635
12.0,140,3.324869
12.0,142,3.602092
5.0,58,3.715572
9.0,102,3.91483
2.0,26,3.96579
3.0,38,4.040154
11.0,130,56.432706
5.0,60,56.579779
3.0,38,56.672768
6.0,70,56.84461
4.0,48,56.961504
11.0,126,57.223142
5.0,60,57.341346
1.0,16,57.372912
12.0,142,57.650952
12.0,138,57.921079
10.0,116,58.148194
4.0,48,58.24223
15.0,174,58.582632
9.0,104,58.786352
5.0,60,58.904024
15.0,166,59.229313
2.0,26,59.280651
12.0,140,59.555928
9.0,102,59.756449
7.0,82,59.917827
6.0,74,60.063454
8.0,92,60.244572
1.0,16,60.276196
9.0,102,112.494948
3.0,38,112.588226
11.0,126,112.875795
3.0,38,112.971114
6.0,70,113.146237
11.0,130,113.421524
11.0,130,113.677132
10.0,116,113.905159
15.0,166,114.231337
3.0,38,114.306131
9.0,106,114.514565
0.0,6,114.526576
12.0,140,114.801338
5.0,58,114.915339
6.0,70,115.053035
5.0,58,115.1671
8.0,90,115.343855
5.0,58,115.460335
9.0,102,115.660977
6.0,70,115.798354
1.0,16,115.829932
7.0,80,115.987002
9.0,104,116.191228
4.0,48,116.285619
7.0,80,116.442908
7.0,80,116.600001
