#{"t_start": 1772721336.9204497, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.270188
7.0,80,0.422077
12.0,140,0.693468
6.0,70,0.831609
7.0,84,0.997185
1.0,16,1.028956
2.0,26,1.08032
1.0,16,1.112012
4.0,48,1.206726
7.0,80,1.364308
17.0,188,1.734572
5.0,58,1.849111
6.0,72,1.991184
10.0,116,2.219874
1.0,16,2.251614
1.0,16,2.283345
10.0,116,2.512022
9.0,104,2.717077
7.0,84,2.882695
5.0,60,3.001044
2.0,26,3.052466
12.0,140,3.328451
12.0,142,3.60825
5.0,58,3.722854
9.0,102,3.923977
2.0,26,3.975411
3.0,38,4.050488
11.0,130,56.685025
5.0,60,56.802256
3.0,38,56.877228
6.0,70,57.048998
4.0,48,57.145252
11.0,126,57.395257
5.0,60,57.514559
1.0,16,57.546518
12.0,142,57.828458
12.0,138,58.102324
10.0,116,58.332634
4.0,48,58.428058
15.0,174,58.775247
9.0,104,58.980207
5.0,60,59.098376
15.0,166,59.425803
2.0,26,59.477173
12.0,140,59.753079
9.0,102,59.958909
7.0,82,60.122289
6.0,74,60.267918
8.0,92,60.449144
1.0,16,60.480778
9.0,102,111.69567
3.0,38,111.789465
11.0,126,112.055617
3.0,38,112.130079
6.0,70,112.283703
11.0,130,112.538926
11.0,130,112.791735
10.0,116,113.017229
15.0,166,113.339676
3.0,38,113.413659
9.0,106,113.619658
0.0,6,113.631476
12.0,140,113.903481
5.0,58,114.021397
6.0,70,114.157608
5.0,58,114.270265
8.0,90,114.445065
5.0,58,114.557806
9.0,102,114.755847
6.0,70,114.891721
1.0,16,114.922886
7.0,80,115.078143
9.0,104,115.279991
4.0,48,115.373307
7.0,80,115.528382
7.0,80,115.683591
